index,Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,2013-10-29,Indiana Pacers,Orlando Magic,97 - 87,,2013-2014,07:00,97,87,0.6049382716049383,0.24390243902439024,0.5829341666318415,0.24838606879189742,3.341266119997063,45.4334381197974,-42.092171999800335,-7.121576296863501,45.284371954005046,-52.40594825086855,8336.735557422813,7650.871777238938,0.9177299345217687,7466.303910620326,7731.03150636212,1.0354563113035402,0.03696204899495324,0.022371034809517104,0.03799938686099709,0.021224270165827758,0.03233553323742087,0.03254779220343271
1,2013-10-29,Miami Heat,Chicago Bulls,107 - 95,,2013-2014,08:00,107,95,0.8048780487804879,0.5487804878048781,0.7715193936575869,0.5364787137109985,7.030458082685871,53.756803390218366,-46.7263453075325,-0.01433964107365121,44.076554792545245,-44.0908944336189,8628.765010417132,8430.245588203621,0.9769932983487385,8043.589000986958,7639.490282944458,0.9497613915886408,0.045357703428023075,0.0356765016887513,0.047711935812612294,0.030957121540172276,0.034221561082080805,0.032322395410247846
2,2013-10-29,Los Angeles Lakers,Los Angeles Clippers,116 - 103,,2013-2014,10:30,116,103,0.5487804878048781,0.6829268292682927,0.5553808383657777,0.678469624275513,1.4837183391661017,52.95660921717793,-51.472890878011825,6.43130218799238,51.79338975763084,-45.36208756963846,8160.225493554258,8364.229802036354,1.024999837154407,8595.217685764317,8272.541639535788,0.9624586534017684,0.03474449075989537,0.042326223404287565,0.03334774258679671,0.04982148364981094,0.034189102546511634,0.03391076243939989
3,2013-10-30,Cleveland Cavaliers,Brooklyn Nets,98 - 94,,2013-2014,07:00,98,94,0.2926829268292683,0.5975609756097561,0.29518257986901897,0.5783341803397554,-4.871829854323516,47.72942042518539,-52.6012502795089,1.2520353584707449,47.81950194264299,-46.567466584172244,7669.317700859561,7935.075316795114,1.0346520546287667,8168.850860492732,7943.401702052596,0.9724013619185432,0.023849339289803054,0.034179073949385075,0.020243683352214093,0.03413671978795944,0.03299072214848493,0.03298897425424143
4,2013-10-30,Toronto Raptors,Boston Celtics,93 - 87,,2013-2014,07:00,93,87,0.4146341463414634,0.5061728395061729,0.4036442252313344,0.49642171709739535,-1.9556154145341917,48.28555808139749,-50.24117349593168,-0.6178112142053097,47.40009239487073,-48.01790360907604,7904.067503654155,7982.388732089186,1.009908977674953,8013.066434348122,7812.490785653654,0.9749689272717498,0.028493203340039748,0.03376273719590422,0.0271205576602751,0.03005273975139006,0.033084282649124226,0.032707055470609196
5,2013-10-30,Philadelphia 76ers,Miami Heat,114 - 110,,2013-2014,07:00,114,110,0.4146341463414634,0.8072289156626506,0.41278091583029475,0.7744436041923366,-3.5089862398569593,44.14620593055298,-47.65519217040994,7.086850924864901,53.862103397102274,-46.77525247223737,7775.06694755991,7650.353002584958,0.9839597593414817,8655.244493486327,8544.043605303523,0.9871521956119794,0.028681220859936962,0.04581613755494005,0.026223199435471013,0.04806234201528657,0.03231020328866357,0.03443991517595678
6,2013-10-30,Detroit Pistons,Washington Wizards,113 - 102,,2013-2014,07:30,113,102,0.35365853658536583,0.35365853658536583,0.3477433921917993,0.3539280704114287,-4.325020287574456,45.92696089341184,-50.25198118098629,-2.781896426400608,44.24146372894026,-47.02336015534087,7705.700206700444,7786.0743988971635,1.010430485230509,7829.588671522225,7650.098321787811,0.9770753794018253,0.025288671332169107,0.03009757404732069,0.024933472461848086,0.02697674268164316,0.03260832837926783,0.0323024340795797
7,2013-10-30,New York Knicks,Milwaukee Bucks,90 - 83,,2013-2014,07:30,90,83,0.6585365853658537,0.4634146341463415,0.6394869383051747,0.4563962039007846,3.7325238048054783,51.07838825540844,-47.34586445060296,-1.824946687828385,50.100085868751485,-51.92503255657987,8372.27042954025,8213.325298291611,0.9810152893905785,7906.896010462153,8128.855577192038,1.0280716435926558,0.04162092564312621,0.031214043435877536,0.04636062502199998,0.02870429914823523,0.03364346809164581,0.03344676763010907
8,2013-10-30,New Orleans Pelicans,Indiana Pacers,90 - 95,,2013-2014,08:00,90,95,0.32926829268292684,0.6097560975609756,0.3565756437573788,0.5847821635701856,-3.113706969386659,44.97492720270699,-48.088634172093656,3.3352333660280045,45.41724101726424,-42.08200765123623,7799.4058177248435,7709.267200143879,0.988442886588089,8356.535144713123,7746.179264610272,0.9269606518092608,0.02648731708549618,0.037108856439210094,0.02653757884159541,0.03812397392582835,0.03252902497832043,0.03251564183846677
9,2013-10-30,Minnesota Timberwolves,Orlando Magic,120 - 115,OT,2013-2014,08:00,120,115,0.3780487804878049,0.24096385542168675,0.3980416878591906,0.24652643568623311,-1.8300555259223565,46.532718011603336,-48.36277353752569,-7.116263477296275,45.27304289596725,-52.38930637326352,7907.769124492489,7844.179897547385,0.9919586389101636,7483.998910889491,7826.232728540321,1.0457287369661248,0.029216960938556875,0.02233933026350004,0.03038950903315701,0.021217963153343556,0.032850534635940384,0.03272783240170532
