index,Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,2015-10-27,Chicago Bulls,Cleveland Cavaliers,97 - 95,,2015-2016,08:00,97,95,0.6097560975609756,0.6463414634146342,0.5930820348876935,0.6322188810084519,2.5430374594301437,50.82779922340291,-48.28476176397277,4.079540080628882,53.26092664243889,-49.18138656181001,8409.375736198066,8264.11010384259,0.982725753145958,8547.634168787039,8474.532520780525,0.9914477331899094,0.03890679858418109,0.04086892881108306,0.039405939231155866,0.04794015489046597,0.03345649971048329,0.033960149308771996
1,2015-10-27,Atlanta Hawks,Detroit Pistons,94 - 106,,2015-2016,08:00,94,106,0.7317073170731707,0.3902439024390244,0.7050820864499974,0.38473390155991005,4.750864825115842,52.575841902350994,-47.824977077235154,-1.3920774430154519,48.63468228925729,-50.026759732272744,8602.080829474908,8413.881178616683,0.9781216132946158,8083.062791558936,8091.965449817147,1.0011013966472595,0.04392559659450471,0.02939099471204132,0.04485491860117099,0.028734210173325683,0.033791500344438445,0.033022253434999205
2,2015-10-27,Golden State Warriors,New Orleans Pelicans,111 - 95,,2015-2016,10:30,111,95,0.8170731707317073,0.5487804878048781,0.8053987287845263,0.5562295606269722,10.00812598092296,59.70242520789833,-49.69429922697537,1.1332056133989246,49.02877559090628,-47.89556997750736,9022.352758433623,8998.109394314239,0.9973129664990407,8300.321115348781,8123.813375244879,0.978734829935976,0.04859009587553389,0.0375970339616968,0.05999293612608028,0.032596547298980684,0.03527198865559152,0.0332079509004382
3,2015-10-28,Orlando Magic,Washington Wizards,87 - 88,,2015-2016,07:00,87,88,0.3048780487804878,0.5609756097560976,0.30697520948746293,0.5436704362420366,-5.868007108084202,45.91730653659874,-51.78531364468294,0.16537660225591602,48.623789439066115,-48.4584128368102,7744.666611857862,7864.143297846471,1.0154269630929855,8244.532961798082,8086.58012834349,0.9808415062215795,0.02430905460544462,0.03435658785812525,0.019544789035796133,0.03260910699727469,0.03244540752399432,0.032948037208952036
4,2015-10-28,Boston Celtics,Philadelphia 76ers,112 - 95,,2015-2016,07:30,112,95,0.4878048780487805,0.21951219512195122,0.47334792154263167,0.22550368088457515,-0.4003864794403036,51.53488634928273,-51.935272828723036,-9.03857732817542,42.13758308217307,-51.176160410348494,8185.889825027087,8322.23236590679,1.016655799649643,7484.886811960078,7553.254237551649,1.00913406271987,0.030990875260828776,0.02091379061430163,0.026580880450555948,0.01866941357126954,0.03351267349379192,0.03170390372732115
5,2015-10-28,Brooklyn Nets,Chicago Bulls,100 - 115,,2015-2016,07:30,100,115,0.4634146341463415,0.6144578313253012,0.45709460272146135,0.5991764430637483,-3.131232039280437,48.196073801322385,-51.32730584060282,2.585607214422412,50.792517148999984,-48.206909934577574,7961.718449971554,8046.311590412303,1.01062498516775,8432.44676395269,8363.328373062363,0.9918032816778877,0.031007269894144516,0.03958984757496391,0.029082369105697874,0.039425597424412026,0.03288633091679551,0.03365071835296726
6,2015-10-28,Detroit Pistons,Utah Jazz,92 - 87,,2015-2016,07:30,92,87,0.39759036144578314,0.4634146341463415,0.39385237996774763,0.4798682353871921,-1.1858251002292715,48.74680780335983,-49.9326329035891,0.7110953894109423,44.70585696343256,-43.99476157402162,8118.2758328197415,8200.334463101315,1.0101078889127955,8285.118792814052,7771.236185121776,0.9379752275684952,0.030438791224359118,0.032771299389840074,0.029875898465143665,0.03438270552814395,0.03324028408096196,0.032327333330597896
7,2015-10-28,Toronto Raptors,Indiana Pacers,106 - 99,,2015-2016,07:30,106,99,0.5975609756097561,0.4634146341463415,0.5778375093102363,0.45154988566715265,2.454288755410499,54.11147833567625,-51.65718958026575,-0.22092093380970867,47.38985695783855,-47.61077789164826,8419.888243986372,8533.929110163508,1.0135442256325178,8210.08278961796,7985.031479831691,0.972588423825536,0.036266982399849865,0.030810206247353242,0.037685384387519186,0.02760761839658754,0.0340246502250375,0.03271292731748988
8,2015-10-28,Miami Heat,Charlotte Hornets,104 - 94,,2015-2016,07:30,104,94,0.45121951219512196,0.4024390243902439,0.4431150589098595,0.39749103377609846,-2.9228236639993765,44.72846346832812,-47.6512871323275,-3.4392914797593175,44.18201875801316,-47.62131023777248,7969.840717694405,7766.273671467966,0.9744578275228907,7931.274123378341,7718.973914597186,0.9732325216001076,0.028685181776564282,0.027944566305518753,0.02589886304576944,0.026566994142387536,0.03219635219156038,0.03210000484919131
9,2015-10-28,Milwaukee Bucks,New York Knicks,97 - 122,,2015-2016,08:00,97,122,0.5,0.2073170731707317,0.486157348267228,0.2092020319777028,-0.09046496974961302,47.88272870552436,-47.97319367527397,-9.491235765657194,42.022094021174155,-51.51332978683135,8212.099155173835,8023.273311059506,0.9770063852680878,7449.046360374911,7544.213878896588,1.0127757989301716,0.030485210591247123,0.021151421595822287,0.028184336297400997,0.017750390517487908,0.03280236053505931,0.031672962098460655
