Date,Home Team,Away Team,Result,Overtime,Season
30/10/2007 08:00,San Antonio Spurs,Portland Trail Blazers,106 - 97,,2007-2008
30/10/2007 10:30,Golden State Warriors,Utah Jazz,96 - 117,,2007-2008
30/10/2007 10:30,Los Angeles Lakers,Houston Rockets,93 - 95,,2007-2008
31/10/2007 07:00,Indiana Pacers,Washington Wizards,119 - 110,OT,2007-2008
31/10/2007 07:00,Orlando Magic,Milwaukee Bucks,102 - 83,,2007-2008
31/10/2007 07:00,Toronto Raptors,Philadelphia 76ers,106 - 97,,2007-2008
31/10/2007 07:30,New Jersey Nets,Chicago Bulls,112 - 103,OT,2007-2008
31/10/2007 08:00,Cleveland Cavaliers,Dallas Mavericks,74 - 92,,2007-2008
31/10/2007 08:00,Memphis Grizzlies,San Antonio Spurs,101 - 104,,2007-2008
31/10/2007 08:00,New Orleans Hornets,Sacramento Kings,104 - 90,,2007-2008
31/10/2007 10:30,Denver Nuggets,Seattle SuperSonics,120 - 103,,2007-2008
01/11/2007 08:00,Miami Heat,Detroit Pistons,80 - 91,,2007-2008
01/11/2007 09:00,Utah Jazz,Houston Rockets,95 - 106,,2007-2008
01/11/2007 10:30,Seattle SuperSonics,Phoenix Suns,99 - 106,,2007-2008
02/11/2007 07:00,Charlotte Bobcats,Milwaukee Bucks,102 - 99,,2007-2008
02/11/2007 07:00,Indiana Pacers,Miami Heat,87 - 85,,2007-2008
02/11/2007 07:00,Orlando Magic,Detroit Pistons,92 - 116,,2007-2008
02/11/2007 07:30,Atlanta Hawks,Dallas Mavericks,101 - 94,,2007-2008
02/11/2007 07:30,Cleveland Cavaliers,New York Knicks,110 - 106,,2007-2008
02/11/2007 07:30,New Jersey Nets,Toronto Raptors,69 - 106,,2007-2008
02/11/2007 08:00,Boston Celtics,Washington Wizards,103 - 83,,2007-2008
02/11/2007 08:00,Minnesota Timberwolves,Denver Nuggets,91 - 99,,2007-2008
02/11/2007 08:00,New Orleans Hornets,Portland Trail Blazers,113 - 93,,2007-2008
02/11/2007 08:30,Chicago Bulls,Philadelphia 76ers,85 - 96,,2007-2008
02/11/2007 08:30,San Antonio Spurs,Sacramento Kings,96 - 80,,2007-2008
02/11/2007 10:30,Los Angeles Clippers,Golden State Warriors,120 - 114,,2007-2008
02/11/2007 10:30,Phoenix Suns,Los Angeles Lakers,98 - 119,,2007-2008
03/11/2007 07:00,Philadelphia 76ers,New Jersey Nets,88 - 93,,2007-2008
03/11/2007 07:00,Washington Wizards,Orlando Magic,82 - 94,,2007-2008
03/11/2007 08:00,Memphis Grizzlies,Indiana Pacers,111 - 121,,2007-2008
03/11/2007 08:30,Dallas Mavericks,Sacramento Kings,123 - 102,,2007-2008
03/11/2007 08:30,Houston Rockets,Portland Trail Blazers,89 - 80,,2007-2008
