Date,Home Team,Away Team,Result,Overtime,Season
30/10/2012 07:00,Cleveland Cavaliers,Washington Wizards,94 - 84,,2012-2013
30/10/2012 08:00,Miami Heat,Boston Celtics,120 - 107,,2012-2013
30/10/2012 10:30,Los Angeles Lakers,Dallas Mavericks,91 - 99,,2012-2013
31/10/2012 07:00,Philadelphia 76ers,Denver Nuggets,84 - 75,,2012-2013
31/10/2012 07:00,Toronto Raptors,Indiana Pacers,88 - 90,,2012-2013
31/10/2012 07:30,Detroit Pistons,Houston Rockets,96 - 105,,2012-2013
31/10/2012 08:00,Chicago Bulls,Sacramento Kings,93 - 87,,2012-2013
31/10/2012 08:00,New Orleans Hornets,San Antonio Spurs,95 - 99,,2012-2013
31/10/2012 09:00,Utah Jazz,Dallas Mavericks,113 - 94,,2012-2013
31/10/2012 10:00,Phoenix Suns,Golden State Warriors,85 - 87,,2012-2013
31/10/2012 10:30,Los Angeles Clippers,Memphis Grizzlies,101 - 92,,2012-2013
31/10/2012 10:30,Portland Trail Blazers,Los Angeles Lakers,116 - 106,,2012-2013
01/11/2012 09:30,San Antonio Spurs,Oklahoma City Thunder,86 - 84,,2012-2013
02/11/2012 07:00,Charlotte Bobcats,Indiana Pacers,90 - 89,,2012-2013
02/11/2012 07:00,Orlando Magic,Denver Nuggets,102 - 89,,2012-2013
02/11/2012 07:30,Atlanta Hawks,Houston Rockets,102 - 109,,2012-2013
02/11/2012 07:30,Boston Celtics,Milwaukee Bucks,88 - 99,,2012-2013
02/11/2012 07:30,Cleveland Cavaliers,Chicago Bulls,86 - 115,,2012-2013
02/11/2012 08:00,Minnesota Timberwolves,Sacramento Kings,92 - 80,,2012-2013
02/11/2012 08:00,New Orleans Hornets,Utah Jazz,88 - 86,,2012-2013
02/11/2012 08:00,New York Knicks,Miami Heat,104 - 84,,2012-2013
02/11/2012 08:00,Oklahoma City Thunder,Portland Trail Blazers,106 - 92,,2012-2013
02/11/2012 10:00,Phoenix Suns,Detroit Pistons,92 - 89,,2012-2013
02/11/2012 10:30,Golden State Warriors,Memphis Grizzlies,94 - 104,,2012-2013
02/11/2012 10:30,Los Angeles Lakers,Los Angeles Clippers,95 - 105,,2012-2013
03/11/2012 07:00,Indiana Pacers,Sacramento Kings,106 - 98,2OT,2012-2013
03/11/2012 07:00,Washington Wizards,Boston Celtics,86 - 89,,2012-2013
03/11/2012 07:30,Brooklyn Nets,Toronto Raptors,107 - 100,,2012-2013
03/11/2012 07:30,Miami Heat,Denver Nuggets,119 - 116,,2012-2013
03/11/2012 08:00,Chicago Bulls,New Orleans Hornets,82 - 89,,2012-2013
03/11/2012 08:00,Houston Rockets,Portland Trail Blazers,85 - 95,OT,2012-2013
03/11/2012 08:30,Dallas Mavericks,Charlotte Bobcats,126 - 99,,2012-2013
03/11/2012 08:30,Milwaukee Bucks,Cleveland Cavaliers,105 - 102,,2012-2013
03/11/2012 08:30,San Antonio Spurs,Utah Jazz,110 - 100,,2012-2013
03/11/2012 10:30,Los Angeles Clippers,Golden State Warriors,110 - 114,,2012-2013
04/11/2012 12:00,New York Knicks,Philadelphia 76ers,100 - 84,,2012-2013
04/11/2012 06:00,Orlando Magic,Phoenix Suns,115 - 94,,2012-2013
04/11/2012 06:00,Toronto Raptors,Minnesota Timberwolves,105 - 86,,2012-2013
04/11/2012 07:00,Oklahoma City Thunder,Atlanta Hawks,95 - 104,,2012-2013
04/11/2012 09:30,Los Angeles Lakers,Detroit Pistons,108 - 79,,2012-2013
05/11/2012 07:00,Philadelphia 76ers,New York Knicks,88 - 110,,2012-2013
05/11/2012 07:30,Brooklyn Nets,Minnesota Timberwolves,96 - 107,,2012-2013
05/11/2012 07:30,Miami Heat,Phoenix Suns,124 - 99,,2012-2013
05/11/2012 08:00,Memphis Grizzlies,Utah Jazz,103 - 94,,2012-2013
05/11/2012 08:30,Dallas Mavericks,Portland Trail Blazers,114 - 91,,2012-2013
05/11/2012 08:30,San Antonio Spurs,Indiana Pacers,101 - 79,,2012-2013
05/11/2012 10:00,Sacramento Kings,Golden State Warriors,94 - 92,,2012-2013
05/11/2012 10:30,Los Angeles Clippers,Cleveland Cavaliers,101 - 108,,2012-2013
06/11/2012 08:00,Chicago Bulls,Orlando Magic,99 - 93,,2012-2013
06/11/2012 08:00,Oklahoma City Thunder,Toronto Raptors,108 - 88,,2012-2013
06/11/2012 09:00,Denver Nuggets,Detroit Pistons,109 - 97,,2012-2013
07/11/2012 07:00,Charlotte Bobcats,Phoenix Suns,110 - 117,,2012-2013
07/11/2012 07:30,Atlanta Hawks,Indiana Pacers,89 - 86,,2012-2013
07/11/2012 07:30,Boston Celtics,Washington Wizards,100 - 94,OT,2012-2013
07/11/2012 07:30,Miami Heat,Brooklyn Nets,103 - 73,,2012-2013
07/11/2012 08:00,Houston Rockets,Denver Nuggets,87 - 93,,2012-2013
07/11/2012 08:00,Milwaukee Bucks,Memphis Grizzlies,90 - 108,,2012-2013
07/11/2012 08:00,Minnesota Timberwolves,Orlando Magic,90 - 75,,2012-2013
07/11/2012 08:00,New Orleans Hornets,Philadelphia 76ers,62 - 77,,2012-2013
07/11/2012 08:30,Dallas Mavericks,Toronto Raptors,109 - 104,,2012-2013
07/11/2012 09:00,Utah Jazz,Los Angeles Lakers,95 - 86,,2012-2013
07/11/2012 10:00,Sacramento Kings,Detroit Pistons,105 - 103,,2012-2013
07/11/2012 10:30,Golden State Warriors,Cleveland Cavaliers,106 - 96,,2012-2013
07/11/2012 10:30,Los Angeles Clippers,San Antonio Spurs,106 - 84,,2012-2013
08/11/2012 08:00,Chicago Bulls,Oklahoma City Thunder,91 - 97,,2012-2013
08/11/2012 10:30,Portland Trail Blazers,Los Angeles Clippers,90 - 103,,2012-2013
09/11/2012 07:00,Orlando Magic,Brooklyn Nets,68 - 107,,2012-2013
09/11/2012 07:00,Washington Wizards,Milwaukee Bucks,91 - 101,,2012-2013
09/11/2012 07:30,Atlanta Hawks,Miami Heat,89 - 95,,2012-2013
09/11/2012 07:30,Boston Celtics,Philadelphia 76ers,100 - 106,,2012-2013
09/11/2012 07:30,New York Knicks,Dallas Mavericks,104 - 94,,2012-2013
09/11/2012 08:00,Memphis Grizzlies,Houston Rockets,93 - 85,,2012-2013
09/11/2012 08:00,Minnesota Timberwolves,Indiana Pacers,96 - 94,,2012-2013
09/11/2012 08:00,New Orleans Hornets,Charlotte Bobcats,107 - 99,,2012-2013
09/11/2012 08:00,Oklahoma City Thunder,Detroit Pistons,105 - 94,,2012-2013
09/11/2012 09:00,Phoenix Suns,Cleveland Cavaliers,107 - 105,,2012-2013
09/11/2012 10:00,Sacramento Kings,San Antonio Spurs,86 - 97,,2012-2013
09/11/2012 10:30,Denver Nuggets,Utah Jazz,104 - 84,,2012-2013
09/11/2012 10:30,Los Angeles Lakers,Golden State Warriors,101 - 77,,2012-2013
10/11/2012 07:00,Indiana Pacers,Washington Wizards,89 - 85,,2012-2013
10/11/2012 07:00,Toronto Raptors,Philadelphia 76ers,83 - 93,,2012-2013
10/11/2012 07:30,Charlotte Bobcats,Dallas Mavericks,101 - 97,OT,2012-2013
