Date,Home Team,Away Team,Result,Overtime,Season
22/10/2019 08:00,Toronto Raptors,New Orleans Pelicans,130 - 122,OT,2019-2020
22/10/2019 10:30,Los Angeles Clippers,Los Angeles Lakers,112 - 102,,2019-2020
23/10/2019 07:00,Charlotte Hornets,Chicago Bulls,126 - 125,,2019-2020
23/10/2019 07:00,Indiana Pacers,Detroit Pistons,110 - 119,,2019-2020
23/10/2019 07:00,Orlando Magic,Cleveland Cavaliers,94 - 85,,2019-2020
23/10/2019 07:30,Brooklyn Nets,Minnesota Timberwolves,126 - 127,OT,2019-2020
23/10/2019 07:30,Miami Heat,Memphis Grizzlies,120 - 101,,2019-2020
23/10/2019 07:30,Philadelphia 76ers,Boston Celtics,107 - 93,,2019-2020
23/10/2019 08:30,Dallas Mavericks,Washington Wizards,108 - 100,,2019-2020
23/10/2019 08:30,San Antonio Spurs,New York Knicks,120 - 111,,2019-2020
23/10/2019 09:00,Utah Jazz,Oklahoma City Thunder,100 - 95,,2019-2020
23/10/2019 10:00,Phoenix Suns,Sacramento Kings,124 - 95,,2019-2020
23/10/2019 10:00,Portland Trail Blazers,Denver Nuggets,100 - 108,,2019-2020
24/10/2019 07:00,Detroit Pistons,Atlanta Hawks,100 - 117,,2019-2020
24/10/2019 08:00,Houston Rockets,Milwaukee Bucks,111 - 117,,2019-2020
24/10/2019 10:30,Golden State Warriors,Los Angeles Clippers,122 - 141,,2019-2020
25/10/2019 07:00,Boston Celtics,Toronto Raptors,112 - 106,,2019-2020
25/10/2019 07:00,Charlotte Hornets,Minnesota Timberwolves,99 - 121,,2019-2020
25/10/2019 07:30,Brooklyn Nets,New York Knicks,113 - 109,,2019-2020
25/10/2019 08:00,Memphis Grizzlies,Chicago Bulls,102 - 110,,2019-2020
25/10/2019 08:00,New Orleans Pelicans,Dallas Mavericks,116 - 123,,2019-2020
25/10/2019 08:00,Oklahoma City Thunder,Washington Wizards,85 - 97,,2019-2020
25/10/2019 09:00,Denver Nuggets,Phoenix Suns,108 - 107,OT,2019-2020
25/10/2019 10:00,Sacramento Kings,Portland Trail Blazers,112 - 122,,2019-2020
25/10/2019 10:30,Los Angeles Lakers,Utah Jazz,95 - 86,,2019-2020
26/10/2019 05:00,Milwaukee Bucks,Miami Heat,126 - 131,OT,2019-2020
26/10/2019 07:00,Detroit Pistons,Philadelphia 76ers,111 - 117,,2019-2020
26/10/2019 07:30,Atlanta Hawks,Orlando Magic,103 - 99,,2019-2020
26/10/2019 07:30,New York Knicks,Boston Celtics,95 - 118,,2019-2020
26/10/2019 08:00,Chicago Bulls,Toronto Raptors,84 - 108,,2019-2020
26/10/2019 08:00,Cleveland Cavaliers,Indiana Pacers,110 - 99,,2019-2020
26/10/2019 08:00,Houston Rockets,New Orleans Pelicans,126 - 123,,2019-2020
26/10/2019 08:30,San Antonio Spurs,Washington Wizards,124 - 122,,2019-2020
