,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2012-10-30,Cleveland Cavaliers,Washington Wizards,94 - 84,07:00,94,84,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333,0.03333333333333345,0.033333333333333,0.03333333333333345,0.033333333333333,0.03333333333333345
1,1,2012-10-30,Miami Heat,Boston Celtics,120 - 107,08:00,120,107,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333333,0.03333333333333317,0.03333333333333333,0.03333333333333317,0.03333333333333333,0.03333333333333317
2,2,2012-10-30,Los Angeles Lakers,Dallas Mavericks,91 - 99,10:30,91,99,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333332,0.03333333333333305,0.03333333333333332,0.03333333333333305,0.03333333333333332,0.03333333333333305
3,3,2012-10-31,Philadelphia 76ers,Denver Nuggets,84 - 75,07:00,84,75,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333334,0.03333333333333338,0.0333333333333334,0.03333333333333338,0.033333333333333305,0.03333333333333364
4,4,2012-10-31,Toronto Raptors,Indiana Pacers,88 - 90,07:00,88,90,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333326,0.03333333333333317,0.033333333333333326,0.03333333333333317,0.03333333333333334,0.03333333333333338
5,5,2012-10-31,Detroit Pistons,Houston Rockets,96 - 105,07:30,96,105,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333325,0.03333333333333319,0.03333333333333325,0.03333333333333319,0.03333333333333334,0.03333333333333341
6,6,2012-10-31,Chicago Bulls,Sacramento Kings,93 - 87,08:00,93,87,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333328,0.0333333333333334,0.03333333333333328,0.0333333333333334,0.03333333333333353,0.03333333333333331
7,7,2012-10-31,New Orleans Hornets,San Antonio Spurs,95 - 99,08:00,95,99,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333603,0.033333333333333395,0.033333333333333603,0.033333333333333395,0.033333333333333444,0.03333333333333331
8,8,2012-10-31,Utah Jazz,Dallas Mavericks,113 - 94,09:00,113,94,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.03333333333333362,0.05333333333333332,0.03333333333333362,0.05333333333333332,0.033333333333333486,0.03333333333333318
9,9,2012-10-31,Phoenix Suns,Golden State Warriors,85 - 87,10:00,85,87,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333395,0.03333333333333317,0.033333333333333395,0.03333333333333317,0.033333333333333305,0.03333333333333333
10,10,2012-10-31,Los Angeles Clippers,Memphis Grizzlies,101 - 92,10:30,101,92,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333334,0.0333333333333334,0.0333333333333334,0.0333333333333334,0.03333333333333316,0.033333333333333166
11,11,2012-10-31,Portland Trail Blazers,Los Angeles Lakers,116 - 106,10:30,116,106,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.033333333333333395,0.013333333333333286,0.033333333333333395,0.013333333333333286,0.0333333333333333,0.03333333333333319
12,12,2012-11-01,San Antonio Spurs,Oklahoma City Thunder,86 - 84,09:30,86,84,1.0,0.0,0.6250000000000001,0.5,,,,,,,,,,,,,0.05333333333333335,0.03333333333333344,0.05333333333333336,0.03333333333333348,0.03333333333333324,0.033333333333333395
13,13,2012-11-02,Charlotte Bobcats,Indiana Pacers,90 - 89,07:00,90,89,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.03333333333333355,0.05333333333333329,0.03333333333333342,0.053333333333333205,0.03333333333333378,0.03333333333333343
14,14,2012-11-02,Orlando Magic,Denver Nuggets,102 - 89,07:00,102,89,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.033333333333333444,0.01333333333333333,0.03333333333333347,0.013333333333333322,0.033333333333333395,0.033333333333333284
15,15,2012-11-02,Atlanta Hawks,Houston Rockets,102 - 109,07:30,102,109,0.0,1.0,0.5,0.6250000000000001,,,,,,,,,,,,,0.03333333333333318,0.05333333333333319,0.03333333333333312,0.053333333333333115,0.033333333333333263,0.0333333333333332
16,16,2012-11-02,Boston Celtics,Milwaukee Bucks,88 - 99,07:30,88,99,0.0,0.0,0.375,0.5,,,,,,,,,,,,,0.013333333333333265,0.03333333333333353,0.013333333333333296,0.033333333333333555,0.03333333333333317,0.033333333333333486
17,17,2012-11-02,Cleveland Cavaliers,Chicago Bulls,86 - 115,07:30,86,115,1.0,1.0,0.625,0.625,,,,,,,,,,,,,0.053333333333333004,0.05333333333333339,0.053333333333333004,0.05333333333333335,0.03333333333333323,0.033333333333333375
18,18,2012-11-02,Minnesota Timberwolves,Sacramento Kings,92 - 80,08:00,92,80,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.033333333333333534,0.013333333333333332,0.03333333333333359,0.013333333333333329,0.03333333333333349,0.033333333333333375
19,19,2012-11-02,New Orleans Hornets,Utah Jazz,88 - 86,08:00,88,86,0.0,1.0,0.3999999999999999,0.6607142857142857,,,,,,,,,,,,,0.013333333333333365,0.05933333333333345,0.01333333333333337,0.05866666666666674,0.027928305400372423,0.026765917786716355
20,20,2012-11-02,New York Knicks,Miami Heat,104 - 84,08:00,104,84,0.0,1.0,0.5,0.6250000000000001,,,,,,,,,,,,,0.033333333333333416,0.05333333333333314,0.03333333333333347,0.05333333333333318,0.033333333333333395,0.03333333333333319
21,21,2012-11-02,Oklahoma City Thunder,Portland Trail Blazers,106 - 92,08:00,106,92,0.0,1.0,0.3999999999999999,0.5892857142857143,,,,,,,,,,,,,0.013333333333333345,0.04333333333333322,0.013333333333333353,0.04444444444444438,0.026238361266294204,0.026250040877726418
22,22,2012-11-02,Phoenix Suns,Detroit Pistons,92 - 89,10:00,92,89,0.0,0.0,0.375,0.375,,,,,,,,,,,,,0.013333333333333308,0.013333333333333303,0.013333333333333294,0.013333333333333286,0.03333333333333326,0.033333333333333194
