,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2015-10-27,Chicago Bulls,Cleveland Cavaliers,97 - 95,08:00,97,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333308,0.033333333333333,0.03333333333333308,0.033333333333333,0.03333333333333308,0.033333333333333
1,1,2015-10-27,Atlanta Hawks,Detroit Pistons,94 - 106,08:00,94,106,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333331,0.03333333333333326,0.03333333333333331,0.03333333333333326,0.03333333333333331,0.03333333333333326
2,2,2015-10-27,Golden State Warriors,New Orleans Pelicans,111 - 95,10:30,111,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333284,0.033333333333333534,0.033333333333333284,0.033333333333333534,0.033333333333333284,0.033333333333333534
3,3,2015-10-28,Orlando Magic,Washington Wizards,87 - 88,07:00,87,88,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333337,0.03333333333333328,0.03333333333333337,0.03333333333333328,0.033333333333333166,0.0333333333333333
4,4,2015-10-28,Boston Celtics,Philadelphia 76ers,112 - 95,07:30,112,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333345,0.033333333333333506,0.03333333333333345,0.033333333333333506,0.03333333333333381,0.033333333333333305
5,5,2015-10-28,Brooklyn Nets,Chicago Bulls,100 - 115,07:30,100,115,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.03333333333333302,0.05333333333333322,0.03333333333333302,0.05333333333333322,0.03333333333333408,0.03333333333333297
6,6,2015-10-28,Detroit Pistons,Utah Jazz,92 - 87,07:30,92,87,1.0,0.0,0.6250000000000001,0.5,,,,,,,,,,,,,0.053333333333333094,0.03333333333333333,0.053333333333333094,0.03333333333333333,0.03333333333333275,0.0333333333333333
7,7,2015-10-28,Toronto Raptors,Indiana Pacers,106 - 99,07:30,106,99,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333312,0.03333333333333315,0.03333333333333312,0.03333333333333315,0.03333333333333329,0.03333333333333349
8,8,2015-10-28,Miami Heat,Charlotte Hornets,104 - 94,07:30,104,94,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333342,0.033333333333333055,0.03333333333333342,0.033333333333333055,0.03333333333333362,0.033333333333333465
9,9,2015-10-28,Milwaukee Bucks,New York Knicks,97 - 122,08:00,97,122,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333166,0.03333333333333338,0.033333333333333166,0.03333333333333338,0.0333333333333333,0.03333333333333318
10,10,2015-10-28,Oklahoma City Thunder,San Antonio Spurs,112 - 106,08:00,112,106,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333337,0.033333333333333506,0.03333333333333337,0.033333333333333506,0.03333333333333319,0.033333333333333305
11,11,2015-10-28,Memphis Grizzlies,Cleveland Cavaliers,76 - 106,08:00,76,106,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.0333333333333334,0.01333333333333329,0.0333333333333334,0.01333333333333329,0.03333333333333356,0.03333333333333297
12,12,2015-10-28,Houston Rockets,Denver Nuggets,85 - 105,08:00,85,105,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333076,0.033333333333333194,0.033333333333333076,0.033333333333333194,0.033333333333333395,0.033333333333333465
13,13,2015-10-28,Phoenix Suns,Dallas Mavericks,95 - 111,10:00,95,111,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333506,0.03333333333333325,0.033333333333333506,0.03333333333333325,0.033333333333333326,0.033333333333333465
14,14,2015-10-28,Portland Trail Blazers,New Orleans Pelicans,112 - 94,10:00,112,94,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.0333333333333335,0.013333333333333443,0.0333333333333335,0.013333333333333443,0.03333333333333331,0.03333333333333302
15,15,2015-10-28,Sacramento Kings,Los Angeles Clippers,104 - 111,10:00,104,111,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333506,0.03333333333333344,0.033333333333333506,0.03333333333333344,0.03333333333333331,0.03333333333333362
16,16,2015-10-28,Los Angeles Lakers,Minnesota Timberwolves,111 - 112,10:30,111,112,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333345,0.033333333333333236,0.03333333333333345,0.033333333333333236,0.03333333333333361,0.03333333333333329
17,17,2015-10-29,Indiana Pacers,Memphis Grizzlies,103 - 112,07:00,103,112,0.0,0.0,0.375,0.33928571428571436,,,,,,,99.0,99.0,1.0,116.91600073289878,2.249555443507246,0.019240783377858457,0.013333333333333365,0.013333333333333178,0.013333333333333367,0.013333333333333176,0.03333333333333345,0.023924642730410412
18,18,2015-10-29,New York Knicks,Atlanta Hawks,101 - 112,08:00,101,112,1.0,0.0,0.6250000000000001,0.39999999999999997,,,,,,,122.0,122.0,1.0,175.58490566037736,3.509071205572103e-299,1.9985039103301253e-301,0.05333333333333382,0.013333333333333268,0.05333333333333384,0.013333333333333289,0.03333333333333348,0.02761510128913411
19,19,2015-10-29,Los Angeles Clippers,Dallas Mavericks,104 - 88,10:30,104,88,1.0,1.0,0.625,0.625,,,,,,,111.0,111.0,1.0,111.0,111.0,1.0,0.053333333333333725,0.05333333333333359,0.053333333333333746,0.053333333333333566,0.033333333333333624,0.03333333333333351
20,20,2015-10-30,Cleveland Cavaliers,Miami Heat,102 - 92,07:00,102,92,0.5,1.0,0.5480769230769231,0.6250000000000001,,,,,,,208.20384106166298,130.5195342292199,0.6268834117741583,104.0,104.0,1.0,0.0237333333333332,0.053333333333333295,0.024033333333333247,0.05333333333333326,0.035819526944311,0.0333333333333332
21,21,2015-10-30,Philadelphia 76ers,Utah Jazz,71 - 99,07:00,71,99,0.0,0.0,0.375,0.4138755980861244,,,,,,,95.0,95.0,1.0,222.2201014103712,1.7330872299330275e-174,7.79896696533567e-177,0.013333333333333417,0.01333333333333345,0.013333333333333416,0.01333333333333344,0.033333333333333375,0.024886719119980638
