,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2017-10-17,Cleveland Cavaliers,Boston Celtics,102 - 99,08:01,102,99,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333,0.03333333333333317,0.033333333333333,0.03333333333333317,0.033333333333333,0.03333333333333317
1,1,2017-10-17,Golden State Warriors,Houston Rockets,121 - 122,10:30,121,122,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333284,0.03333333333333321,0.033333333333333284,0.03333333333333321,0.033333333333333284,0.03333333333333321
2,2,2017-10-18,Detroit Pistons,Charlotte Hornets,102 - 90,07:00,102,90,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333284,0.03333333333333342,0.033333333333333284,0.03333333333333342,0.03333333333333317,0.03333333333333352
3,3,2017-10-18,Indiana Pacers,Brooklyn Nets,140 - 131,07:00,140,131,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333326,0.033333333333333416,0.03333333333333326,0.033333333333333416,0.03333333333333337,0.033333333333333375
4,4,2017-10-18,Orlando Magic,Miami Heat,116 - 109,07:00,116,109,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333444,0.033333333333333354,0.033333333333333444,0.033333333333333354,0.033333333333333416,0.03333333333333342
5,5,2017-10-18,Washington Wizards,Philadelphia 76ers,120 - 115,07:00,120,115,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333326,0.03333333333333334,0.03333333333333326,0.03333333333333334,0.03333333333333354,0.033333333333333284
6,6,2017-10-18,Boston Celtics,Milwaukee Bucks,100 - 108,07:30,100,108,0.0,0.0,0.375,0.5,,,,,,,,,,,,,0.01333333333333319,0.033333333333333534,0.01333333333333319,0.033333333333333534,0.03333333333333286,0.033333333333333506
7,7,2017-10-18,Memphis Grizzlies,New Orleans Pelicans,103 - 91,08:00,103,91,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333334,0.033333333333333534,0.03333333333333334,0.033333333333333534,0.033333333333333416,0.03333333333333349
8,8,2017-10-18,Dallas Mavericks,Atlanta Hawks,111 - 117,08:30,111,117,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333444,0.033333333333332896,0.033333333333333444,0.033333333333332896,0.03333333333333349,0.03333333333333344
9,9,2017-10-18,Utah Jazz,Denver Nuggets,106 - 96,09:00,106,96,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333325,0.033333333333333416,0.03333333333333325,0.033333333333333416,0.033333333333333444,0.033333333333333416
