,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2013-10-29,Indiana Pacers,Orlando Magic,97 - 87,07:00,97,87,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333318,0.03333333333333356,0.03333333333333318,0.03333333333333356,0.03333333333333318,0.03333333333333356
1,1,2013-10-29,Miami Heat,Chicago Bulls,107 - 95,08:00,107,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333333,0.03333333333333308,0.03333333333333333,0.03333333333333308,0.03333333333333333,0.03333333333333308
2,2,2013-10-29,Los Angeles Lakers,Los Angeles Clippers,116 - 103,10:30,116,103,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333332,0.03333333333333337,0.03333333333333332,0.03333333333333337,0.03333333333333332,0.03333333333333337
3,3,2013-10-30,Cleveland Cavaliers,Brooklyn Nets,98 - 94,07:00,98,94,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333104,0.03333333333333344,0.033333333333333104,0.03333333333333344,0.03333333333333337,0.033333333333333486
4,4,2013-10-30,Toronto Raptors,Boston Celtics,93 - 87,07:00,93,87,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333506,0.03333333333333324,0.033333333333333506,0.03333333333333324,0.033333333333333506,0.03333333333333364
5,5,2013-10-30,Philadelphia 76ers,Miami Heat,114 - 110,07:00,114,110,0.0,1.0,0.5,0.6250000000000001,,,,,,,,,,,,,0.03333333333333346,0.0533333333333327,0.03333333333333346,0.0533333333333327,0.03333333333333348,0.03333333333333282
6,6,2013-10-30,Detroit Pistons,Washington Wizards,113 - 102,07:30,113,102,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333338,0.03333333333333336,0.03333333333333338,0.03333333333333336,0.03333333333333355,0.03333333333333347
7,7,2013-10-30,New York Knicks,Milwaukee Bucks,90 - 83,07:30,90,83,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333347,0.03333333333333347,0.03333333333333347,0.03333333333333347,0.03333333333333322,0.03333333333333321
8,8,2013-10-30,New Orleans Pelicans,Indiana Pacers,90 - 95,08:00,90,95,0.0,1.0,0.5,0.625,,,,,,,,,,,,,0.03333333333333345,0.0533333333333333,0.03333333333333345,0.0533333333333333,0.033333333333333215,0.03333333333333308
9,9,2013-10-30,Minnesota Timberwolves,Orlando Magic,120 - 115,08:00,120,115,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.03333333333333347,0.01333333333333332,0.03333333333333347,0.01333333333333332,0.033333333333333215,0.033333333333333076
10,10,2013-10-30,Houston Rockets,Charlotte Bobcats,96 - 83,08:00,96,83,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333337,0.033333333333333326,0.03333333333333337,0.033333333333333326,0.033333333333333506,0.03333333333333362
11,11,2013-10-30,San Antonio Spurs,Memphis Grizzlies,101 - 94,08:30,101,94,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333465,0.03333333333333332,0.033333333333333465,0.03333333333333332,0.03333333333333348,0.03333333333333344
12,12,2013-10-30,Dallas Mavericks,Atlanta Hawks,118 - 109,08:30,118,109,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333331,0.03333333333333284,0.0333333333333331,0.03333333333333284,0.033333333333333305,0.03333333333333303
13,13,2013-10-30,Utah Jazz,Oklahoma City Thunder,98 - 101,09:00,98,101,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333534,0.033333333333333465,0.033333333333333534,0.033333333333333465,0.03333333333333353,0.0333333333333332
14,14,2013-10-30,Phoenix Suns,Portland Trail Blazers,104 - 91,10:00,104,91,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333346,0.033333333333333465,0.03333333333333346,0.033333333333333465,0.03333333333333347,0.03333333333333348
15,15,2013-10-30,Sacramento Kings,Denver Nuggets,90 - 88,10:00,90,88,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333465,0.03333333333333303,0.033333333333333465,0.03333333333333303,0.03333333333333348,0.03333333333333324
16,16,2013-10-30,Golden State Warriors,Los Angeles Lakers,125 - 94,10:30,125,94,0.0,1.0,0.5,0.6250000000000001,,,,,,,,,,,,,0.03333333333333337,0.05333333333333335,0.03333333333333337,0.05333333333333335,0.03333333333333353,0.033333333333333194
17,17,2013-10-31,Chicago Bulls,New York Knicks,82 - 81,08:00,82,81,0.0,1.0,0.3333333333333333,0.6250000000000001,,,,,,,192.66355140186917,3.546401750312232e-299,1.8407227129925238e-301,90.0,90.0,1.0,0.013333333333333267,0.05333333333333393,0.013333333333333312,0.05333333333333392,0.025833333333333437,0.0333333333333334
18,18,2013-10-31,Los Angeles Clippers,Golden State Warriors,126 - 115,10:30,126,115,0.0,1.0,0.3333333333333333,0.6666666666666666,,,,,,,186.4655172413793,3.845046108233262e-299,2.0620681856452076e-301,279.25531914893617,4.6663180925160944e-299,1.6709862883676682e-301,0.013333333333333247,0.06533333333333294,0.01333333333333325,0.06533333333333297,0.02575657894736848,0.028410087719298278
19,19,2013-11-01,Charlotte Bobcats,Cleveland Cavaliers,90 - 84,07:00,90,84,0.0,1.0,0.375,0.6250000000000001,,,,,,,83.0,83.0,1.0,98.00000000000003,98.00000000000003,1.0,0.01333333333333335,0.05333333333333373,0.013333333333333336,0.05333333333333383,0.033333333333333263,0.03333333333333312
20,20,2013-11-01,Orlando Magic,New Orleans Pelicans,110 - 90,07:00,110,90,0.0,0.0,0.3214285714285714,0.39285714285714285,,,,,,,148.6349270282585,5336.833377522408,35.905648048037655,157.04898718486584,2.7627492262301536,0.0175916398809886,0.013333333333333409,0.013333333333333343,0.013333333333333468,0.01333333333333334,0.04123634888908199,0.025430317777584595
21,21,2013-11-01,Washington Wizards,Philadelphia 76ers,102 - 109,07:00,102,109,0.0,1.0,0.375,0.6818181818181818,,,,,,,102.0,102.0,1.0,213.2808612126197,1.9324498346370552e-174,9.060587169659803e-177,0.0133333333333333,0.07685333333333332,0.0133333333333333,0.07685333333333329,0.03333333333333341,0.027010270909988532
22,22,2013-11-01,Atlanta Hawks,Toronto Raptors,102 - 95,07:30,102,95,0.0,1.0,0.375,0.6250000000000001,,,,,,,109.0,109.0,1.0,93.0,93.0,1.0,0.013333333333333303,0.05333333333333305,0.013333333333333239,0.05333333333333303,0.03333333333333275,0.03333333333333319
23,23,2013-11-01,Boston Celtics,Milwaukee Bucks,98 - 105,07:30,98,105,0.0,0.0,0.375,0.3181818181818182,,,,,,,87.0,87.0,1.0,166.45095704962543,1.6300135800292234e-174,9.792755829834332e-177,0.01333333333333324,0.013333333333333272,0.013333333333333182,0.013333333333333268,0.03333333333333312,0.02461409696213522
24,24,2013-11-01,Brooklyn Nets,Miami Heat,101 - 100,08:00,101,100,0.0,0.5,0.375,0.5454545454545454,,,,,,,94.00000000000001,94.0,0.9999999999999998,137.1982148151355,1.2140493539794525e+178,8.848871361885392e+175,0.013333333333333374,0.029013333333333207,0.013333333333333367,0.029013333333333197,0.033333333333333125,0.041790642595335284
25,25,2013-11-01,Houston Rockets,Dallas Mavericks,113 - 105,08:00,113,105,1.0,1.0,0.6250000000000001,0.6250000000000001,,,,,,,96.0,96.0,1.0,118.0,118.0,1.0,0.0533333333333337,0.05333333333333321,0.05333333333333374,0.05333333333333317,0.03333333333333328,0.03333333333333278
26,26,2013-11-01,Memphis Grizzlies,Detroit Pistons,111 - 108,08:00,111,108,0.0,1.0,0.375,0.625,,,,,,,94.0,94.0,1.0,113.0,113.0,1.0,0.013333333333333388,0.05333333333333307,0.013333333333333388,0.05333333333333308,0.033333333333333444,0.03333333333333338
27,27,2013-11-01,Minnesota Timberwolves,Oklahoma City Thunder,100 - 81,08:00,100,81,1.0,1.0,0.6071428571428571,0.625,,,,,,,155.174942244866,3.3437653184600786,0.021548358711057987,101.00000000000003,101.0,0.9999999999999998,0.043333333333333716,0.053333333333333906,0.040000000000000396,0.05333333333333391,0.027015439877176237,0.033333333333333555
28,28,2013-11-01,Denver Nuggets,Portland Trail Blazers,98 - 113,09:00,98,113,0.0,0.0,0.375,0.375,,,,,,,88.0,88.0,1.0,91.0,91.0,1.0,0.013333333333333352,0.013333333333333416,0.013333333333333341,0.013333333333333416,0.03333333333333344,0.03333333333333368
29,29,2013-11-01,Phoenix Suns,Utah Jazz,87 - 84,10:00,87,84,1.0,0.0,0.625,0.375,,,,,,,104.0,104.0,1.0,98.00000000000003,98.00000000000003,1.0,0.05333333333333366,0.013333333333333437,0.05333333333333365,0.013333333333333437,0.03333333333333368,0.033333333333333555
30,30,2013-11-01,Sacramento Kings,Los Angeles Clippers,101 - 110,10:00,101,110,1.0,0.5,0.6250000000000001,0.5,,,,,,,90.0,90.0,1.0,223.98207246061486,233.58335285094938,1.0428662896313847,0.053333333333333725,0.03333333333333271,0.0533333333333337,0.033333333333332715,0.033333333333333465,0.03375760291105318
31,31,2013-11-01,Los Angeles Lakers,San Antonio Spurs,85 - 91,10:30,85,91,0.5,1.0,0.5,0.6250000000000001,,,,,,,213.8661971202754,205.53750137945482,0.9610565117210336,101.0,101.0,1.0,0.03333333333333271,0.05333333333333361,0.03333333333333272,0.053333333333333593,0.03222522196339585,0.03333333333333345
32,32,2013-11-02,Indiana Pacers,Cleveland Cavaliers,89 - 74,07:00,89,74,1.0,0.5,0.679789195437196,0.5153351549633578,37.438888888888854,60.258918128654955,-22.820029239766104,-11.061111111111103,54.179970760234426,-65.24108187134553,366.74054969698915,181.2188131859329,0.4941335593668623,166.47287443620687,880596476739.0385,5289729511.317394,0.05633333333333352,0.026711253333333244,0.05706666666666679,0.023489286564102544,0.02997740182242851,0.03157863133342711
33,33,2013-11-02,Philadelphia 76ers,Chicago Bulls,107 - 104,07:30,107,104,1.0,0.5,0.6780773100122713,0.4755489605531814,-8.561111111111101,43.75891812865457,-52.320029239765674,-22.81111111111111,25.758918128654493,-48.5700292397656,172.5074950113812,3.354630933785536e-07,1.944629091950013e-09,151.23746373302578,3.3442428302181486e-08,2.2112529182065787e-10,0.06574133333333342,0.027573333333333224,0.07704366495726538,0.027684102564102635,0.032418307883202734,0.030445236045773667
34,34,2013-11-02,New Orleans Pelicans,Charlotte Bobcats,105 - 84,08:00,105,84,0.0,0.5,0.279789195437196,0.5755352490438395,24.105555555555526,61.59225146198829,-37.486695906432765,-6.811111111111109,23.75891812865445,-30.57002923976556,345.3296362982613,190.46363684138885,0.5515415325572733,176.12594413658545,3.491174128345682e-08,1.9822032156933568e-10,0.013333333333333338,0.029360085333333275,0.013333333333333334,0.02742690527179486,0.03014501729794195,0.031763267469914216
35,35,2013-11-02,Dallas Mavericks,Memphis Grizzlies,111 - 99,08:30,111,99,0.5,0.5,0.5716881158041612,0.5540344365620622,-5.3111111111111144,43.758918128654436,-49.07002923976555,-1.561111111111094,58.6799707602341,-60.241081871345195,181.4426196383798,4.47610694921961e-08,2.4669545436130806e-10,182.3667226004766,4169742761.276075,22864603.266523678,0.027573333333333346,0.023733333333333367,0.027462564102564105,0.024266666666666742,0.03631564583644788,0.03307957618898856
36,36,2013-11-02,Milwaukee Bucks,Toronto Raptors,90 - 97,08:30,90,97,0.5,0.5,0.42168909519768566,0.4280983722144176,-27.311111111111114,28.758918128654468,-56.07002923976558,-24.811111111111114,18.758918128654454,-43.57002923976557,143.74937886016662,3.735914018539213e-08,2.5989079383594093e-10,149.6289087863436,3.5183040011469274e-08,2.351353110628337e-10,0.017333333333333246,0.01733333333333324,0.017641025641025695,0.017025641025641074,0.03287607055531493,0.03162103961386352
37,37,2013-11-02,Utah Jazz,Houston Rockets,93 - 104,09:00,93,104,0.0,1.0,0.3014227650068625,0.7868058412120003,18.772222222222215,75.47821637426901,-56.70599415204679,4.438888888888885,64.67997076023445,-60.241081871345564,305.911542095792,1.2169525629566218,0.003978119147186508,197.65696345472605,933575765667.6057,4723212121.395582,0.013333333333333381,0.1187334613333336,0.01333333333333332,0.11566753739487177,0.03226468870772035,0.03458857346294521
38,38,2013-11-02,Portland Trail Blazers,San Antonio Spurs,115 - 105,10:00,115,105,0.5,1.0,0.4826591694125279,0.756523409164214,8.772222222222226,76.79400584795322,-68.02178362573099,5.438888888888908,40.758918128654855,-35.320029239765944,277.39120198035783,0.1304137654010335,0.0004701438418737886,197.25007459242784,6.200147820226279e-05,3.1432930167643616e-07,0.017333333333333433,0.0961530642750375,0.02039215686274531,0.07902086672050046,0.033890543097447164,0.029469944159241673
39,39,2013-11-02,Golden State Warriors,Sacramento Kings,98 - 87,10:30,98,87,0.5,0.5,0.5151663582809101,0.45580560676852755,12.10555555555557,67.01330409356726,-54.90774853801168,-4.227777777777765,48.109795321637435,-52.3375730994152,244.85730672093763,0.0010141209352014747,4.141681327718197e-06,246.1811443051498,0.009881177419975986,4.013783203366678e-05,0.02422122571001476,0.017333333333333235,0.03252756900014442,0.014274509803921465,0.03085071525914054,0.029054133666715238
