,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2019-10-22,Toronto Raptors,New Orleans Pelicans,130 - 122,08:00,130,122,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333444,0.033333333333333534,0.033333333333333444,0.033333333333333534,0.033333333333333444,0.033333333333333534
1,1,2019-10-22,Los Angeles Clippers,Los Angeles Lakers,112 - 102,10:30,112,102,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333337,0.03333333333333332,0.03333333333333337,0.03333333333333332,0.03333333333333337,0.03333333333333332
2,2,2019-10-23,Charlotte Hornets,Chicago Bulls,126 - 125,07:00,126,125,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333332,0.03333333333333308,0.0333333333333332,0.03333333333333308,0.033333333333333416,0.0333333333333332
3,3,2019-10-23,Indiana Pacers,Detroit Pistons,110 - 119,07:00,110,119,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333322,0.03333333333333326,0.03333333333333322,0.03333333333333326,0.03333333333333336,0.03333333333333338
4,4,2019-10-23,Orlando Magic,Cleveland Cavaliers,94 - 85,07:00,94,85,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333355,0.033333333333333,0.03333333333333355,0.033333333333333,0.03333333333333344,0.03333333333333315
5,5,2019-10-23,Brooklyn Nets,Minnesota Timberwolves,126 - 127,07:30,126,127,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333336,0.03333333333333354,0.03333333333333336,0.03333333333333354,0.033333333333333465,0.03333333333333341
6,6,2019-10-23,Miami Heat,Memphis Grizzlies,120 - 101,07:30,120,101,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333333,0.03333333333333334,0.03333333333333333,0.03333333333333334,0.033333333333333506,0.0333333333333335
7,7,2019-10-23,Philadelphia 76ers,Boston Celtics,107 - 93,07:30,107,93,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333416,0.03333333333333326,0.033333333333333416,0.03333333333333326,0.03333333333333329,0.033333333333333603
8,8,2019-10-23,Dallas Mavericks,Washington Wizards,108 - 100,08:30,108,100,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333304,0.033333333333333444,0.03333333333333304,0.033333333333333444,0.03333333333333324,0.0333333333333333
9,9,2019-10-23,San Antonio Spurs,New York Knicks,120 - 111,08:30,120,111,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333395,0.033333333333333555,0.033333333333333395,0.033333333333333555,0.03333333333333329,0.03333333333333343
10,10,2019-10-23,Utah Jazz,Oklahoma City Thunder,100 - 95,09:00,100,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333344,0.03333333333333356,0.03333333333333344,0.03333333333333356,0.03333333333333327,0.03333333333333343
11,11,2019-10-23,Phoenix Suns,Sacramento Kings,124 - 95,10:00,124,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333341,0.033333333333333395,0.03333333333333341,0.033333333333333395,0.0333333333333333,0.0333333333333333
12,12,2019-10-23,Portland Trail Blazers,Denver Nuggets,100 - 108,10:00,100,108,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333334,0.03333333333333299,0.0333333333333334,0.03333333333333299,0.0333333333333333,0.0333333333333331
13,13,2019-10-24,Detroit Pistons,Atlanta Hawks,100 - 117,07:00,100,117,1.0,0.0,0.625,0.5,,,,,,,,,,,,,0.0533333333333334,0.03333333333333294,0.0533333333333334,0.03333333333333294,0.03333333333333332,0.033333333333333284
14,14,2019-10-24,Houston Rockets,Milwaukee Bucks,111 - 117,08:00,111,117,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333341,0.033333333333333444,0.03333333333333341,0.033333333333333444,0.03333333333333371,0.03333333333333371
