,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
0,0,2014-10-28,New Orleans Pelicans,Orlando Magic,101 - 84,08:00,101,84,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333534,0.03333333333333356,0.033333333333333534,0.03333333333333356,0.033333333333333534,0.03333333333333356
1,1,2014-10-28,San Antonio Spurs,Dallas Mavericks,101 - 100,08:00,101,100,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333416,0.03333333333333305,0.033333333333333416,0.03333333333333305,0.033333333333333416,0.03333333333333305
2,2,2014-10-28,Los Angeles Lakers,Houston Rockets,90 - 108,10:30,90,108,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333332,0.03333333333333321,0.03333333333333332,0.03333333333333321,0.03333333333333332,0.03333333333333321
3,3,2014-10-29,Charlotte Hornets,Milwaukee Bucks,108 - 106,07:00,108,106,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333355,0.03333333333333331,0.03333333333333355,0.03333333333333331,0.03333333333333367,0.03333333333333338
4,4,2014-10-29,Indiana Pacers,Philadelphia 76ers,103 - 91,07:00,103,91,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333284,0.03333333333333336,0.033333333333333284,0.03333333333333336,0.033333333333333444,0.03333333333333338
5,5,2014-10-29,Toronto Raptors,Atlanta Hawks,109 - 102,07:30,109,102,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333337,0.03333333333333338,0.03333333333333337,0.03333333333333338,0.03333333333333338,0.033333333333333395
6,6,2014-10-29,Miami Heat,Washington Wizards,107 - 95,07:30,107,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333341,0.03333333333333335,0.03333333333333341,0.03333333333333335,0.03333333333333361,0.03333333333333336
7,7,2014-10-29,Boston Celtics,Brooklyn Nets,121 - 105,07:30,121,105,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333348,0.0333333333333335,0.03333333333333348,0.0333333333333335,0.03333333333333352,0.033333333333333506
8,8,2014-10-29,New York Knicks,Chicago Bulls,80 - 104,08:00,80,104,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333331,0.033333333333333305,0.03333333333333331,0.033333333333333305,0.033333333333333354,0.03333333333333342
9,9,2014-10-29,Memphis Grizzlies,Minnesota Timberwolves,105 - 101,08:00,105,101,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333343,0.03333333333333329,0.03333333333333343,0.03333333333333329,0.03333333333333362,0.03333333333333334
