Date,Home Team,Away Team,Result,Overtime,Season
17/10/2017 08:01,Cleveland Cavaliers,Boston Celtics,102 - 99,,2017-2018
17/10/2017 10:30,Golden State Warriors,Houston Rockets,121 - 122,,2017-2018
18/10/2017 07:00,Detroit Pistons,Charlotte Hornets,102 - 90,,2017-2018
18/10/2017 07:00,Indiana Pacers,Brooklyn Nets,140 - 131,,2017-2018
18/10/2017 07:00,Orlando Magic,Miami Heat,116 - 109,,2017-2018
18/10/2017 07:00,Washington Wizards,Philadelphia 76ers,120 - 115,,2017-2018
18/10/2017 07:30,Boston Celtics,Milwaukee Bucks,100 - 108,,2017-2018
18/10/2017 08:00,Memphis Grizzlies,New Orleans Pelicans,103 - 91,,2017-2018
18/10/2017 08:30,Dallas Mavericks,Atlanta Hawks,111 - 117,,2017-2018
18/10/2017 09:00,Utah Jazz,Denver Nuggets,106 - 96,,2017-2018
18/10/2017 09:30,San Antonio Spurs,Minnesota Timberwolves,107 - 99,,2017-2018
18/10/2017 10:00,Phoenix Suns,Portland Trail Blazers,76 - 124,,2017-2018
18/10/2017 10:00,Sacramento Kings,Houston Rockets,100 - 105,,2017-2018
19/10/2017 07:30,Toronto Raptors,Chicago Bulls,117 - 100,,2017-2018
19/10/2017 08:00,Oklahoma City Thunder,New York Knicks,105 - 84,,2017-2018
19/10/2017 10:30,Los Angeles Lakers,Los Angeles Clippers,92 - 108,,2017-2018
20/10/2017 07:00,Charlotte Hornets,Atlanta Hawks,109 - 91,,2017-2018
20/10/2017 07:00,Indiana Pacers,Portland Trail Blazers,96 - 114,,2017-2018
20/10/2017 07:00,Milwaukee Bucks,Cleveland Cavaliers,97 - 116,,2017-2018
20/10/2017 07:00,Philadelphia 76ers,Boston Celtics,92 - 102,,2017-2018
20/10/2017 07:00,Washington Wizards,Detroit Pistons,115 - 111,,2017-2018
20/10/2017 07:30,Brooklyn Nets,Orlando Magic,126 - 121,,2017-2018
20/10/2017 08:00,Minnesota Timberwolves,Utah Jazz,100 - 97,,2017-2018
20/10/2017 08:30,Dallas Mavericks,Sacramento Kings,88 - 93,,2017-2018
20/10/2017 09:30,New Orleans Pelicans,Golden State Warriors,120 - 128,,2017-2018
20/10/2017 10:00,Phoenix Suns,Los Angeles Lakers,130 - 132,,2017-2018
21/10/2017 07:30,Toronto Raptors,Philadelphia 76ers,128 - 94,,2017-2018
21/10/2017 08:00,Chicago Bulls,San Antonio Spurs,77 - 87,,2017-2018
21/10/2017 08:00,Cleveland Cavaliers,Orlando Magic,93 - 114,,2017-2018
21/10/2017 08:00,Houston Rockets,Dallas Mavericks,107 - 91,,2017-2018
21/10/2017 08:00,Memphis Grizzlies,Golden State Warriors,111 - 101,,2017-2018
21/10/2017 08:00,Miami Heat,Indiana Pacers,112 - 108,,2017-2018
21/10/2017 08:00,New York Knicks,Detroit Pistons,107 - 111,,2017-2018
21/10/2017 08:30,Milwaukee Bucks,Portland Trail Blazers,113 - 110,,2017-2018
21/10/2017 09:00,Denver Nuggets,Sacramento Kings,96 - 79,,2017-2018
21/10/2017 09:00,Utah Jazz,Oklahoma City Thunder,96 - 87,,2017-2018
21/10/2017 10:30,Los Angeles Clippers,Phoenix Suns,130 - 88,,2017-2018
22/10/2017 03:30,Brooklyn Nets,Atlanta Hawks,116 - 104,,2017-2018
22/10/2017 07:00,Oklahoma City Thunder,Minnesota Timberwolves,113 - 115,,2017-2018
22/10/2017 09:30,Los Angeles Lakers,New Orleans Pelicans,112 - 119,,2017-2018
23/10/2017 07:00,Detroit Pistons,Philadelphia 76ers,86 - 97,,2017-2018
23/10/2017 07:30,Miami Heat,Atlanta Hawks,104 - 93,,2017-2018
23/10/2017 08:00,Houston Rockets,Memphis Grizzlies,90 - 98,,2017-2018
23/10/2017 08:00,Milwaukee Bucks,Charlotte Hornets,103 - 94,,2017-2018
23/10/2017 08:30,Dallas Mavericks,Golden State Warriors,103 - 133,,2017-2018
23/10/2017 08:30,San Antonio Spurs,Toronto Raptors,101 - 97,,2017-2018
23/10/2017 09:00,Denver Nuggets,Washington Wizards,104 - 109,,2017-2018
23/10/2017 10:00,Phoenix Suns,Sacramento Kings,117 - 115,,2017-2018
24/10/2017 07:00,Cleveland Cavaliers,Chicago Bulls,119 - 112,,2017-2018
24/10/2017 07:00,Orlando Magic,Brooklyn Nets,125 - 121,,2017-2018
24/10/2017 07:30,Boston Celtics,New York Knicks,110 - 89,,2017-2018
24/10/2017 08:00,Minnesota Timberwolves,Indiana Pacers,107 - 130,,2017-2018
24/10/2017 10:00,Portland Trail Blazers,New Orleans Pelicans,103 - 93,,2017-2018
24/10/2017 10:30,Los Angeles Clippers,Utah Jazz,102 - 84,,2017-2018
25/10/2017 07:00,Charlotte Hornets,Denver Nuggets,110 - 93,,2017-2018
25/10/2017 07:00,Detroit Pistons,Minnesota Timberwolves,122 - 101,,2017-2018
25/10/2017 07:00,Philadelphia 76ers,Houston Rockets,104 - 105,,2017-2018
25/10/2017 07:30,Brooklyn Nets,Cleveland Cavaliers,112 - 107,,2017-2018
25/10/2017 08:00,Miami Heat,San Antonio Spurs,100 - 117,,2017-2018
25/10/2017 08:00,Oklahoma City Thunder,Indiana Pacers,114 - 96,,2017-2018
25/10/2017 08:30,Dallas Mavericks,Memphis Grizzlies,103 - 94,,2017-2018
25/10/2017 10:00,Phoenix Suns,Utah Jazz,97 - 88,,2017-2018
25/10/2017 10:30,Golden State Warriors,Toronto Raptors,117 - 112,,2017-2018
25/10/2017 10:30,Los Angeles Lakers,Washington Wizards,102 - 99,OT,2017-2018
26/10/2017 08:00,Chicago Bulls,Atlanta Hawks,91 - 86,,2017-2018
26/10/2017 08:00,Memphis Grizzlies,Dallas Mavericks,96 - 91,,2017-2018
26/10/2017 08:00,Milwaukee Bucks,Boston Celtics,89 - 96,,2017-2018
26/10/2017 10:00,Portland Trail Blazers,Los Angeles Clippers,103 - 104,,2017-2018
26/10/2017 10:30,Sacramento Kings,New Orleans Pelicans,106 - 114,,2017-2018
27/10/2017 07:00,Charlotte Hornets,Houston Rockets,93 - 109,,2017-2018
27/10/2017 07:00,Orlando Magic,San Antonio Spurs,114 - 87,,2017-2018
27/10/2017 07:30,Atlanta Hawks,Denver Nuggets,100 - 105,,2017-2018
27/10/2017 07:30,New York Knicks,Brooklyn Nets,107 - 86,,2017-2018
27/10/2017 08:00,Minnesota Timberwolves,Oklahoma City Thunder,119 - 116,,2017-2018
27/10/2017 10:30,Golden State Warriors,Washington Wizards,120 - 117,,2017-2018
27/10/2017 10:30,Los Angeles Lakers,Toronto Raptors,92 - 101,,2017-2018
28/10/2017 07:00,New Orleans Pelicans,Cleveland Cavaliers,123 - 101,,2017-2018
28/10/2017 08:00,Chicago Bulls,Oklahoma City Thunder,69 - 101,,2017-2018
28/10/2017 08:00,Memphis Grizzlies,Houston Rockets,103 - 89,,2017-2018
28/10/2017 08:00,Miami Heat,Boston Celtics,90 - 96,,2017-2018
28/10/2017 08:30,Dallas Mavericks,Philadelphia 76ers,110 - 112,,2017-2018
28/10/2017 09:00,Utah Jazz,Los Angeles Lakers,96 - 81,,2017-2018
28/10/2017 10:00,Portland Trail Blazers,Phoenix Suns,114 - 107,,2017-2018
28/10/2017 10:30,Los Angeles Clippers,Detroit Pistons,87 - 95,,2017-2018
29/10/2017 03:30,Atlanta Hawks,Milwaukee Bucks,106 - 117,,2017-2018
29/10/2017 04:30,Indiana Pacers,San Antonio Spurs,97 - 94,,2017-2018
29/10/2017 06:00,Brooklyn Nets,Denver Nuggets,111 - 124,,2017-2018
29/10/2017 06:00,Charlotte Hornets,Orlando Magic,120 - 113,,2017-2018
29/10/2017 06:00,Sacramento Kings,Washington Wizards,83 - 110,,2017-2018
29/10/2017 07:00,Cleveland Cavaliers,New York Knicks,95 - 114,,2017-2018
29/10/2017 08:30,Golden State Warriors,Detroit Pistons,107 - 115,,2017-2018
30/10/2017 07:30,Boston Celtics,San Antonio Spurs,108 - 94,,2017-2018
30/10/2017 07:30,Miami Heat,Minnesota Timberwolves,122 - 125,OT,2017-2018
30/10/2017 07:30,New York Knicks,Denver Nuggets,116 - 110,,2017-2018
30/10/2017 08:00,Houston Rockets,Philadelphia 76ers,107 - 115,,2017-2018
30/10/2017 08:00,Memphis Grizzlies,Charlotte Hornets,99 - 104,,2017-2018
30/10/2017 08:00,New Orleans Pelicans,Orlando Magic,99 - 115,,2017-2018
30/10/2017 09:00,Utah Jazz,Dallas Mavericks,104 - 89,,2017-2018
30/10/2017 10:00,Portland Trail Blazers,Toronto Raptors,85 - 99,,2017-2018
30/10/2017 10:30,Los Angeles Clippers,Golden State Warriors,113 - 141,,2017-2018
31/10/2017 07:00,Indiana Pacers,Sacramento Kings,101 - 83,,2017-2018
31/10/2017 07:30,Brooklyn Nets,Phoenix Suns,114 - 122,,2017-2018
31/10/2017 08:00,Milwaukee Bucks,Oklahoma City Thunder,91 - 110,,2017-2018
31/10/2017 10:30,Los Angeles Lakers,Detroit Pistons,113 - 93,,2017-2018
01/11/2017 07:00,Charlotte Hornets,Milwaukee Bucks,126 - 121,,2017-2018
01/11/2017 07:00,Cleveland Cavaliers,Indiana Pacers,107 - 124,,2017-2018
01/11/2017 07:00,Philadelphia 76ers,Atlanta Hawks,119 - 109,,2017-2018
01/11/2017 07:00,Washington Wizards,Phoenix Suns,116 - 122,,2017-2018
01/11/2017 07:30,Boston Celtics,Sacramento Kings,113 - 86,,2017-2018
01/11/2017 07:30,Miami Heat,Chicago Bulls,97 - 91,,2017-2018
01/11/2017 08:00,Memphis Grizzlies,Orlando Magic,99 - 101,,2017-2018
01/11/2017 08:00,New Orleans Pelicans,Minnesota Timberwolves,98 - 104,,2017-2018
01/11/2017 08:00,New York Knicks,Houston Rockets,97 - 119,,2017-2018
01/11/2017 09:00,Denver Nuggets,Toronto Raptors,129 - 111,,2017-2018
01/11/2017 09:00,Utah Jazz,Portland Trail Blazers,112 - 103,OT,2017-2018
01/11/2017 10:30,Los Angeles Clippers,Dallas Mavericks,119 - 98,,2017-2018
02/11/2017 08:00,San Antonio Spurs,Golden State Warriors,92 - 112,,2017-2018
02/11/2017 10:30,Portland Trail Blazers,Los Angeles Lakers,113 - 110,,2017-2018
03/11/2017 07:00,Detroit Pistons,Milwaukee Bucks,105 - 96,,2017-2018
03/11/2017 07:00,Orlando Magic,Chicago Bulls,83 - 105,,2017-2018
03/11/2017 07:00,Philadelphia 76ers,Indiana Pacers,121 - 110,,2017-2018
03/11/2017 07:00,Washington Wizards,Cleveland Cavaliers,122 - 130,,2017-2018
03/11/2017 07:30,Atlanta Hawks,Houston Rockets,104 - 119,,2017-2018
03/11/2017 07:30,New York Knicks,Phoenix Suns,120 - 107,,2017-2018
03/11/2017 08:30,Dallas Mavericks,New Orleans Pelicans,94 - 99,,2017-2018
03/11/2017 08:30,San Antonio Spurs,Charlotte Hornets,108 - 101,,2017-2018
03/11/2017 09:00,Denver Nuggets,Miami Heat,95 - 94,,2017-2018
03/11/2017 09:00,Utah Jazz,Toronto Raptors,100 - 109,,2017-2018
03/11/2017 09:30,Oklahoma City Thunder,Boston Celtics,94 - 101,,2017-2018
03/11/2017 10:30,Los Angeles Lakers,Brooklyn Nets,124 - 112,,2017-2018
04/11/2017 03:30,Los Angeles Clippers,Memphis Grizzlies,104 - 113,,2017-2018
04/11/2017 07:00,Detroit Pistons,Sacramento Kings,108 - 99,,2017-2018
04/11/2017 08:00,Chicago Bulls,New Orleans Pelicans,90 - 96,OT,2017-2018
04/11/2017 08:00,Minnesota Timberwolves,Dallas Mavericks,112 - 99,,2017-2018
04/11/2017 09:00,Denver Nuggets,Golden State Warriors,108 - 127,,2017-2018
05/11/2017 03:00,Cleveland Cavaliers,Atlanta Hawks,115 - 117,,2017-2018
05/11/2017 03:30,Los Angeles Clippers,Miami Heat,101 - 104,,2017-2018
05/11/2017 06:00,Orlando Magic,Boston Celtics,88 - 104,,2017-2018
05/11/2017 06:00,Toronto Raptors,Washington Wizards,96 - 107,,2017-2018
05/11/2017 07:00,Houston Rockets,Utah Jazz,137 - 110,,2017-2018
05/11/2017 07:00,San Antonio Spurs,Phoenix Suns,112 - 95,,2017-2018
05/11/2017 07:30,New York Knicks,Indiana Pacers,108 - 101,,2017-2018
05/11/2017 08:00,Minnesota Timberwolves,Charlotte Hornets,112 - 94,,2017-2018
05/11/2017 09:00,Portland Trail Blazers,Oklahoma City Thunder,103 - 99,,2017-2018
05/11/2017 09:30,Los Angeles Lakers,Memphis Grizzlies,107 - 102,,2017-2018
06/11/2017 07:30,Atlanta Hawks,Boston Celtics,107 - 110,,2017-2018
06/11/2017 09:00,Phoenix Suns,Brooklyn Nets,92 - 98,,2017-2018
06/11/2017 10:30,Golden State Warriors,Miami Heat,97 - 80,,2017-2018
07/11/2017 07:00,Cleveland Cavaliers,Milwaukee Bucks,124 - 119,,2017-2018
07/11/2017 07:00,Indiana Pacers,New Orleans Pelicans,112 - 117,,2017-2018
07/11/2017 07:00,Washington Wizards,Dallas Mavericks,99 - 113,,2017-2018
07/11/2017 07:30,New York Knicks,Charlotte Hornets,118 - 113,,2017-2018
07/11/2017 07:30,Toronto Raptors,Chicago Bulls,119 - 114,,2017-2018
07/11/2017 08:30,San Antonio Spurs,Los Angeles Clippers,120 - 107,,2017-2018
07/11/2017 09:00,Denver Nuggets,Brooklyn Nets,112 - 104,,2017-2018
07/11/2017 09:00,Utah Jazz,Philadelphia 76ers,97 - 104,,2017-2018
07/11/2017 10:00,Portland Trail Blazers,Memphis Grizzlies,97 - 98,,2017-2018
07/11/2017 10:00,Sacramento Kings,Oklahoma City Thunder,94 - 86,,2017-2018
08/11/2017 07:00,Detroit Pistons,Indiana Pacers,114 - 97,,2017-2018
08/11/2017 07:00,Orlando Magic,New York Knicks,112 - 99,,2017-2018
08/11/2017 08:00,Boston Celtics,Los Angeles Lakers,107 - 96,,2017-2018
08/11/2017 09:00,Phoenix Suns,Miami Heat,115 - 126,,2017-2018
08/11/2017 10:30,Golden State Warriors,Minnesota Timberwolves,125 - 101,,2017-2018
09/11/2017 07:00,Washington Wizards,Los Angeles Lakers,111 - 95,,2017-2018
09/11/2017 07:30,Toronto Raptors,New Orleans Pelicans,122 - 118,,2017-2018
09/11/2017 08:00,Houston Rockets,Cleveland Cavaliers,117 - 113,,2017-2018
09/11/2017 10:00,Sacramento Kings,Philadelphia 76ers,109 - 108,,2017-2018
09/11/2017 10:30,Denver Nuggets,Oklahoma City Thunder,102 - 94,,2017-2018
10/11/2017 07:00,Detroit Pistons,Atlanta Hawks,111 - 104,,2017-2018
10/11/2017 07:30,Boston Celtics,Charlotte Hornets,90 - 87,,2017-2018
10/11/2017 08:00,Chicago Bulls,Indiana Pacers,87 - 105,,2017-2018
10/11/2017 09:00,Oklahoma City Thunder,Los Angeles Clippers,120 - 111,,2017-2018
10/11/2017 09:00,Phoenix Suns,Orlando Magic,112 - 128,,2017-2018
10/11/2017 09:00,San Antonio Spurs,Milwaukee Bucks,87 - 94,,2017-2018
10/11/2017 09:00,Utah Jazz,Miami Heat,74 - 84,,2017-2018
10/11/2017 10:00,Portland Trail Blazers,Brooklyn Nets,97 - 101,,2017-2018
11/11/2017 07:00,New Orleans Pelicans,Los Angeles Clippers,111 - 103,,2017-2018
11/11/2017 07:00,Washington Wizards,Atlanta Hawks,113 - 94,,2017-2018
11/11/2017 08:00,Houston Rockets,Memphis Grizzlies,111 - 96,,2017-2018
11/11/2017 08:00,New York Knicks,Sacramento Kings,118 - 91,,2017-2018
11/11/2017 08:30,Dallas Mavericks,Cleveland Cavaliers,104 - 111,,2017-2018
11/11/2017 08:30,Golden State Warriors,Philadelphia 76ers,135 - 114,,2017-2018
11/11/2017 08:30,Milwaukee Bucks,Los Angeles Lakers,98 - 90,,2017-2018
11/11/2017 08:30,San Antonio Spurs,Chicago Bulls,133 - 94,,2017-2018
11/11/2017 09:00,Denver Nuggets,Orlando Magic,125 - 107,,2017-2018
11/11/2017 09:00,Phoenix Suns,Minnesota Timberwolves,118 - 110,,2017-2018
11/11/2017 09:00,Utah Jazz,Brooklyn Nets,114 - 106,,2017-2018
12/11/2017 03:30,Boston Celtics,Toronto Raptors,95 - 94,,2017-2018
12/11/2017 04:00,Detroit Pistons,Miami Heat,112 - 103,,2017-2018
12/11/2017 06:00,Indiana Pacers,Houston Rockets,95 - 118,,2017-2018
12/11/2017 07:00,Oklahoma City Thunder,Dallas Mavericks,112 - 99,,2017-2018
13/11/2017 07:00,Washington Wizards,Sacramento Kings,110 - 92,,2017-2018
13/11/2017 07:30,New York Knicks,Cleveland Cavaliers,101 - 104,,2017-2018
13/11/2017 08:00,Milwaukee Bucks,Memphis Grizzlies,110 - 103,,2017-2018
13/11/2017 08:00,New Orleans Pelicans,Atlanta Hawks,106 - 105,,2017-2018
13/11/2017 09:00,Phoenix Suns,Los Angeles Lakers,93 - 100,,2017-2018
13/11/2017 09:00,Utah Jazz,Minnesota Timberwolves,98 - 109,,2017-2018
