Date,Home Team,Away Team,Result,Overtime,Season
28/10/2014 08:00,New Orleans Pelicans,Orlando Magic,101 - 84,,2014-2015
28/10/2014 08:00,San Antonio Spurs,Dallas Mavericks,101 - 100,,2014-2015
28/10/2014 10:30,Los Angeles Lakers,Houston Rockets,90 - 108,,2014-2015
29/10/2014 07:00,Charlotte Hornets,Milwaukee Bucks,108 - 106,OT,2014-2015
29/10/2014 07:00,Indiana Pacers,Philadelphia 76ers,103 - 91,,2014-2015
29/10/2014 07:30,Toronto Raptors,Atlanta Hawks,109 - 102,,2014-2015
29/10/2014 07:30,Miami Heat,Washington Wizards,107 - 95,,2014-2015
29/10/2014 07:30,Boston Celtics,Brooklyn Nets,121 - 105,,2014-2015
29/10/2014 08:00,New York Knicks,Chicago Bulls,80 - 104,,2014-2015
29/10/2014 08:00,Memphis Grizzlies,Minnesota Timberwolves,105 - 101,,2014-2015
29/10/2014 09:00,Denver Nuggets,Detroit Pistons,89 - 79,,2014-2015
29/10/2014 09:00,Utah Jazz,Houston Rockets,93 - 104,,2014-2015
29/10/2014 10:00,Phoenix Suns,Los Angeles Lakers,119 - 99,,2014-2015
29/10/2014 10:00,Sacramento Kings,Golden State Warriors,77 - 95,,2014-2015
29/10/2014 10:30,Portland Trail Blazers,Oklahoma City Thunder,106 - 89,,2014-2015
30/10/2014 07:00,Orlando Magic,Washington Wizards,98 - 105,,2014-2015
30/10/2014 08:00,Cleveland Cavaliers,New York Knicks,90 - 95,,2014-2015
30/10/2014 08:00,Minnesota Timberwolves,Detroit Pistons,97 - 91,,2014-2015
30/10/2014 08:30,Dallas Mavericks,Utah Jazz,120 - 102,,2014-2015
30/10/2014 10:30,Los Angeles Clippers,Oklahoma City Thunder,93 - 90,,2014-2015
31/10/2014 07:00,Indiana Pacers,Memphis Grizzlies,89 - 97,,2014-2015
31/10/2014 08:00,Chicago Bulls,Cleveland Cavaliers,108 - 114,OT,2014-2015
31/10/2014 08:30,Milwaukee Bucks,Philadelphia 76ers,93 - 81,,2014-2015
31/10/2014 10:00,Phoenix Suns,San Antonio Spurs,94 - 89,,2014-2015
31/10/2014 10:00,Sacramento Kings,Portland Trail Blazers,103 - 94,,2014-2015
31/10/2014 10:30,Los Angeles Lakers,Los Angeles Clippers,111 - 118,,2014-2015
01/11/2014 07:00,Charlotte Hornets,Memphis Grizzlies,69 - 71,,2014-2015
01/11/2014 07:00,New Orleans Pelicans,Dallas Mavericks,104 - 109,,2014-2015
01/11/2014 07:00,Orlando Magic,Toronto Raptors,95 - 108,,2014-2015
01/11/2014 07:00,Philadelphia 76ers,Miami Heat,96 - 114,,2014-2015
01/11/2014 07:00,Washington Wizards,Milwaukee Bucks,108 - 97,,2014-2015
01/11/2014 07:30,Atlanta Hawks,Indiana Pacers,102 - 92,,2014-2015
01/11/2014 07:30,Detroit Pistons,Brooklyn Nets,90 - 102,,2014-2015
01/11/2014 08:00,Houston Rockets,Boston Celtics,104 - 90,,2014-2015
01/11/2014 08:00,Minnesota Timberwolves,Chicago Bulls,105 - 106,,2014-2015
01/11/2014 08:00,Oklahoma City Thunder,Denver Nuggets,102 - 91,,2014-2015
