Date,Home Team,Away Team,Result,Overtime,Season
28/10/2008 08:00,Boston Celtics,Cleveland Cavaliers,90 - 85,,2008-2009
28/10/2008 08:30,Chicago Bulls,Milwaukee Bucks,108 - 95,,2008-2009
28/10/2008 10:30,Los Angeles Lakers,Portland Trail Blazers,96 - 76,,2008-2009
29/10/2008 06:00,Philadelphia 76ers,Toronto Raptors,84 - 95,,2008-2009
29/10/2008 07:00,Washington Wizards,New Jersey Nets,85 - 95,,2008-2009
29/10/2008 07:00,Orlando Magic,Atlanta Hawks,85 - 99,,2008-2009
29/10/2008 07:30,New York Knicks,Miami Heat,120 - 115,,2008-2009
29/10/2008 08:00,San Antonio Spurs,Phoenix Suns,98 - 103,,2008-2009
29/10/2008 08:00,Oklahoma City Thunder,Milwaukee Bucks,87 - 98,,2008-2009
29/10/2008 08:00,Minnesota Timberwolves,Sacramento Kings,98 - 96,,2008-2009
29/10/2008 08:00,Detroit Pistons,Indiana Pacers,100 - 94,,2008-2009
29/10/2008 08:30,Houston Rockets,Memphis Grizzlies,82 - 71,,2008-2009
29/10/2008 09:00,Utah Jazz,Denver Nuggets,98 - 94,,2008-2009
29/10/2008 10:30,Los Angeles Clippers,Los Angeles Lakers,79 - 117,,2008-2009
29/10/2008 10:30,Golden State Warriors,New Orleans Hornets,103 - 108,,2008-2009
30/10/2008 07:00,Cleveland Cavaliers,Charlotte Bobcats,96 - 79,,2008-2009
30/10/2008 08:00,Dallas Mavericks,Houston Rockets,102 - 112,,2008-2009
30/10/2008 10:30,Phoenix Suns,New Orleans Hornets,95 - 108,,2008-2009
31/10/2008 07:00,Philadelphia 76ers,New York Knicks,116 - 87,,2008-2009
31/10/2008 07:00,Toronto Raptors,Golden State Warriors,112 - 108,OT,2008-2009
31/10/2008 07:30,Miami Heat,Sacramento Kings,103 - 77,,2008-2009
31/10/2008 08:00,Boston Celtics,Chicago Bulls,96 - 80,,2008-2009
31/10/2008 08:00,Memphis Grizzlies,Orlando Magic,86 - 84,,2008-2009
31/10/2008 10:30,Los Angeles Clippers,Denver Nuggets,103 - 113,OT,2008-2009
31/10/2008 10:30,Portland Trail Blazers,San Antonio Spurs,100 - 99,,2008-2009
01/11/2008 07:00,Atlanta Hawks,Philadelphia 76ers,95 - 88,,2008-2009
01/11/2008 07:00,Charlotte Bobcats,Miami Heat,100 - 87,,2008-2009
01/11/2008 07:00,Indiana Pacers,Boston Celtics,95 - 79,,2008-2009
01/11/2008 07:00,Orlando Magic,Sacramento Kings,121 - 103,,2008-2009
01/11/2008 07:30,Detroit Pistons,Washington Wizards,117 - 109,,2008-2009
01/11/2008 07:30,New Jersey Nets,Golden State Warriors,97 - 105,,2008-2009
01/11/2008 08:00,Minnesota Timberwolves,Dallas Mavericks,85 - 95,,2008-2009
01/11/2008 08:00,New Orleans Hornets,Cleveland Cavaliers,104 - 92,,2008-2009
01/11/2008 08:30,Chicago Bulls,Memphis Grizzlies,96 - 86,,2008-2009
01/11/2008 08:30,Houston Rockets,Oklahoma City Thunder,89 - 77,,2008-2009
01/11/2008 08:30,Milwaukee Bucks,Toronto Raptors,87 - 91,,2008-2009
01/11/2008 09:00,Denver Nuggets,Los Angeles Lakers,97 - 104,,2008-2009
01/11/2008 09:00,Utah Jazz,Los Angeles Clippers,101 - 79,,2008-2009
01/11/2008 10:00,Phoenix Suns,Portland Trail Blazers,107 - 96,,2008-2009
02/11/2008 06:00,New York Knicks,Milwaukee Bucks,86 - 94,,2008-2009
02/11/2008 07:00,Oklahoma City Thunder,Minnesota Timberwolves,88 - 85,,2008-2009
03/11/2008 07:00,Charlotte Bobcats,Detroit Pistons,83 - 101,,2008-2009
03/11/2008 07:00,Orlando Magic,Chicago Bulls,96 - 93,,2008-2009
03/11/2008 07:00,Philadelphia 76ers,Sacramento Kings,125 - 91,,2008-2009
03/11/2008 08:00,Memphis Grizzlies,Golden State Warriors,90 - 79,,2008-2009
03/11/2008 08:30,Dallas Mavericks,Cleveland Cavaliers,81 - 100,,2008-2009
03/11/2008 10:30,Los Angeles Clippers,Utah Jazz,73 - 89,,2008-2009
04/11/2008 07:30,New Jersey Nets,Phoenix Suns,86 - 114,,2008-2009
04/11/2008 08:30,Houston Rockets,Boston Celtics,99 - 103,,2008-2009
04/11/2008 08:30,San Antonio Spurs,Dallas Mavericks,81 - 98,,2008-2009
05/11/2008 07:00,Indiana Pacers,Phoenix Suns,103 - 113,,2008-2009
05/11/2008 07:00,Toronto Raptors,Detroit Pistons,93 - 100,,2008-2009
05/11/2008 07:30,Miami Heat,Philadelphia 76ers,106 - 83,,2008-2009
05/11/2008 07:30,New York Knicks,Charlotte Bobcats,101 - 98,,2008-2009
05/11/2008 08:00,Cleveland Cavaliers,Chicago Bulls,107 - 93,,2008-2009
05/11/2008 08:00,Milwaukee Bucks,Washington Wizards,112 - 104,OT,2008-2009
05/11/2008 08:00,Minnesota Timberwolves,San Antonio Spurs,125 - 129,2OT,2008-2009
05/11/2008 08:00,New Orleans Hornets,Atlanta Hawks,79 - 87,,2008-2009
05/11/2008 08:00,Oklahoma City Thunder,Boston Celtics,83 - 96,,2008-2009
05/11/2008 09:00,Utah Jazz,Portland Trail Blazers,103 - 96,,2008-2009
05/11/2008 10:00,Sacramento Kings,Memphis Grizzlies,100 - 95,,2008-2009
05/11/2008 10:30,Golden State Warriors,Denver Nuggets,111 - 101,,2008-2009
05/11/2008 10:30,Los Angeles Lakers,Los Angeles Clippers,106 - 88,,2008-2009
06/11/2008 08:00,Orlando Magic,Philadelphia 76ers,98 - 88,,2008-2009
06/11/2008 10:30,Portland Trail Blazers,Houston Rockets,101 - 99,OT,2008-2009
07/11/2008 07:00,Charlotte Bobcats,New Orleans Hornets,92 - 89,,2008-2009
07/11/2008 07:00,Washington Wizards,New York Knicks,108 - 114,,2008-2009
07/11/2008 07:30,Atlanta Hawks,Toronto Raptors,110 - 92,,2008-2009
07/11/2008 07:30,Boston Celtics,Milwaukee Bucks,101 - 89,,2008-2009
07/11/2008 07:30,Cleveland Cavaliers,Indiana Pacers,111 - 107,,2008-2009
07/11/2008 07:30,New Jersey Nets,Detroit Pistons,103 - 96,,2008-2009
07/11/2008 08:00,San Antonio Spurs,Miami Heat,83 - 99,,2008-2009
07/11/2008 08:30,Chicago Bulls,Phoenix Suns,100 - 83,,2008-2009
07/11/2008 09:00,Utah Jazz,Oklahoma City Thunder,104 - 97,,2008-2009
07/11/2008 10:00,Sacramento Kings,Minnesota Timberwolves,121 - 109,,2008-2009
07/11/2008 10:30,Denver Nuggets,Dallas Mavericks,108 - 105,,2008-2009
07/11/2008 10:30,Golden State Warriors,Memphis Grizzlies,104 - 109,,2008-2009
07/11/2008 10:30,Los Angeles Clippers,Houston Rockets,83 - 92,,2008-2009
08/11/2008 07:00,Indiana Pacers,New Jersey Nets,98 - 80,,2008-2009
08/11/2008 07:00,Orlando Magic,Washington Wizards,106 - 81,,2008-2009
08/11/2008 08:00,New Orleans Hornets,Miami Heat,100 - 89,,2008-2009
08/11/2008 08:30,Chicago Bulls,Cleveland Cavaliers,97 - 106,,2008-2009
08/11/2008 08:30,Milwaukee Bucks,Phoenix Suns,96 - 104,,2008-2009
08/11/2008 10:00,Portland Trail Blazers,Minnesota Timberwolves,97 - 93,,2008-2009
09/11/2008 01:00,Charlotte Bobcats,Toronto Raptors,79 - 89,,2008-2009
09/11/2008 03:00,New York Knicks,Utah Jazz,107 - 99,,2008-2009
09/11/2008 03:30,Los Angeles Clippers,Dallas Mavericks,103 - 92,,2008-2009
09/11/2008 06:00,Detroit Pistons,Boston Celtics,76 - 88,,2008-2009
09/11/2008 07:00,Oklahoma City Thunder,Atlanta Hawks,85 - 89,,2008-2009
