Date,Home Team,Away Team,Result,Overtime,Season
27/10/2009 07:30,Cleveland Cavaliers,Boston Celtics,89 - 95,,2009-2010
27/10/2009 08:30,Dallas Mavericks,Washington Wizards,91 - 102,,2009-2010
27/10/2009 10:00,Portland Trail Blazers,Houston Rockets,96 - 87,,2009-2010
27/10/2009 10:30,Los Angeles Lakers,Los Angeles Clippers,99 - 92,,2009-2010
28/10/2009 07:00,Atlanta Hawks,Indiana Pacers,120 - 109,,2009-2010
28/10/2009 07:00,Toronto Raptors,Cleveland Cavaliers,101 - 91,,2009-2010
28/10/2009 07:00,Orlando Magic,Philadelphia 76ers,120 - 106,,2009-2010
28/10/2009 07:30,Boston Celtics,Charlotte Bobcats,92 - 59,,2009-2010
28/10/2009 07:30,Miami Heat,New York Knicks,115 - 93,,2009-2010
28/10/2009 08:00,Oklahoma City Thunder,Sacramento Kings,102 - 89,,2009-2010
28/10/2009 08:00,San Antonio Spurs,New Orleans Hornets,113 - 96,,2009-2010
28/10/2009 08:00,Minnesota Timberwolves,New Jersey Nets,95 - 93,,2009-2010
28/10/2009 08:00,Memphis Grizzlies,Detroit Pistons,74 - 96,,2009-2010
28/10/2009 10:30,Los Angeles Clippers,Phoenix Suns,107 - 109,,2009-2010
28/10/2009 10:30,Golden State Warriors,Houston Rockets,107 - 108,,2009-2010
28/10/2009 10:30,Denver Nuggets,Utah Jazz,114 - 105,,2009-2010
29/10/2009 08:00,Chicago Bulls,San Antonio Spurs,92 - 85,,2009-2010
29/10/2009 10:30,Portland Trail Blazers,Denver Nuggets,94 - 97,,2009-2010
30/10/2009 07:00,Charlotte Bobcats,New York Knicks,102 - 100,2OT,2009-2010
30/10/2009 07:00,Philadelphia 76ers,Milwaukee Bucks,99 - 86,,2009-2010
30/10/2009 07:30,Atlanta Hawks,Washington Wizards,100 - 89,,2009-2010
30/10/2009 08:00,Boston Celtics,Chicago Bulls,118 - 90,,2009-2010
30/10/2009 08:00,New Orleans Hornets,Sacramento Kings,97 - 92,,2009-2010
30/10/2009 08:00,New Jersey Nets,Orlando Magic,85 - 95,,2009-2010
30/10/2009 08:00,Minnesota Timberwolves,Cleveland Cavaliers,87 - 104,,2009-2010
30/10/2009 08:00,Memphis Grizzlies,Toronto Raptors,115 - 107,,2009-2010
30/10/2009 08:00,Indiana Pacers,Miami Heat,83 - 96,,2009-2010
30/10/2009 08:00,Detroit Pistons,Oklahoma City Thunder,83 - 91,,2009-2010
30/10/2009 09:00,Utah Jazz,Los Angeles Clippers,111 - 98,,2009-2010
30/10/2009 10:00,Phoenix Suns,Golden State Warriors,123 - 101,,2009-2010
30/10/2009 10:30,Los Angeles Lakers,Dallas Mavericks,80 - 94,,2009-2010
31/10/2009 07:00,Washington Wizards,New Jersey Nets,123 - 104,,2009-2010
31/10/2009 07:30,Cleveland Cavaliers,Charlotte Bobcats,90 - 79,,2009-2010
31/10/2009 07:30,New York Knicks,Philadelphia 76ers,127 - 141,OT,2009-2010
31/10/2009 08:30,Houston Rockets,Portland Trail Blazers,111 - 107,,2009-2010
31/10/2009 08:30,Milwaukee Bucks,Detroit Pistons,96 - 85,,2009-2010
31/10/2009 08:30,San Antonio Spurs,Sacramento Kings,113 - 94,,2009-2010
31/10/2009 10:30,Los Angeles Clippers,Dallas Mavericks,84 - 93,,2009-2010
01/11/2009 01:00,Toronto Raptors,Orlando Magic,116 - 125,,2009-2010
01/11/2009 06:00,Boston Celtics,New Orleans Hornets,97 - 87,,2009-2010
01/11/2009 06:00,Miami Heat,Chicago Bulls,95 - 87,,2009-2010
01/11/2009 07:00,Oklahoma City Thunder,Portland Trail Blazers,74 - 83,,2009-2010
01/11/2009 08:00,Denver Nuggets,Memphis Grizzlies,133 - 123,,2009-2010
01/11/2009 08:00,Phoenix Suns,Minnesota Timberwolves,120 - 112,,2009-2010
01/11/2009 09:30,Los Angeles Lakers,Atlanta Hawks,118 - 110,,2009-2010
02/11/2009 07:00,Charlotte Bobcats,New Jersey Nets,79 - 68,,2009-2010
02/11/2009 07:30,New York Knicks,New Orleans Hornets,117 - 111,,2009-2010
02/11/2009 09:00,Utah Jazz,Houston Rockets,96 - 113,,2009-2010
02/11/2009 10:00,Sacramento Kings,Memphis Grizzlies,127 - 116,OT,2009-2010
