Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
2009-10-27,Cleveland Cavaliers,Boston Celtics,89 - 95,,2009-2010,07:30,89,95,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333,0.03333333333333317,0.033333333333333,0.03333333333333317,0.033333333333333,0.03333333333333317
2009-10-27,Dallas Mavericks,Washington Wizards,91 - 102,,2009-2010,08:30,91,102,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333305,0.03333333333333345,0.03333333333333305,0.03333333333333345,0.03333333333333305,0.03333333333333345
2009-10-27,Portland Trail Blazers,Houston Rockets,96 - 87,,2009-2010,10:00,96,87,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333341,0.03333333333333321,0.03333333333333341,0.03333333333333321,0.03333333333333341,0.03333333333333321
2009-10-27,Los Angeles Lakers,Los Angeles Clippers,99 - 92,,2009-2010,10:30,99,92,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333332,0.03333333333333337,0.03333333333333332,0.03333333333333337,0.03333333333333332,0.03333333333333337
2009-10-28,Atlanta Hawks,Indiana Pacers,120 - 109,,2009-2010,07:00,120,109,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333346,0.03333333333333325,0.03333333333333346,0.03333333333333325,0.03333333333333336,0.03333333333333334
2009-10-28,Toronto Raptors,Cleveland Cavaliers,101 - 91,,2009-2010,07:00,101,91,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.03333333333333338,0.013333333333333423,0.03333333333333338,0.013333333333333423,0.03333333333333347,0.033333333333332923
2009-10-28,Orlando Magic,Philadelphia 76ers,120 - 106,,2009-2010,07:00,120,106,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.033333333333333284,0.03333333333333332,0.033333333333333284,0.03333333333333332,0.033333333333333416,0.03333333333333332
2009-10-28,Boston Celtics,Charlotte Hornets,92 - 59,,2009-2010,07:30,92,59,1.0,0.0,0.625,0.5,,,,,,,,,,,,,0.05333333333333356,0.03333333333333338,0.05333333333333356,0.03333333333333338,0.033333333333332923,0.03333333333333365
2009-10-28,Miami Heat,New York Knicks,115 - 93,,2009-2010,07:30,115,93,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333354,0.0333333333333333,0.03333333333333354,0.0333333333333333,0.03333333333333345,0.03333333333333342
2009-10-28,Oklahoma City Thunder,Sacramento Kings,102 - 89,,2009-2010,08:00,102,89,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333328,0.03333333333333332,0.03333333333333328,0.03333333333333332,0.03333333333333341,0.03333333333333332
2009-10-28,San Antonio Spurs,New Orleans Pelicans,113 - 96,,2009-2010,08:00,113,96,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333332,0.033333333333333284,0.03333333333333332,0.033333333333333284,0.03333333333333332,0.0333333333333335
2009-10-28,Minnesota Timberwolves,Brooklyn Nets,95 - 93,,2009-2010,08:00,95,93,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333328,0.033333333333333506,0.03333333333333328,0.033333333333333506,0.03333333333333349,0.0333333333333335
2009-10-28,Memphis Grizzlies,Detroit Pistons,74 - 96,,2009-2010,08:00,74,96,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.03333333333333353,0.03333333333333318,0.03333333333333353,0.03333333333333318,0.03333333333333347,0.03333333333333332
2009-10-28,Los Angeles Clippers,Phoenix Suns,107 - 109,,2009-2010,10:30,107,109,0.0,0.0,0.375,0.5,,,,,,,,,,,,,0.013333333333333405,0.03333333333333332,0.013333333333333405,0.03333333333333332,0.0333333333333332,0.03333333333333333
2009-10-28,Golden State Warriors,Houston Rockets,107 - 108,,2009-2010,10:30,107,108,0.0,0.0,0.5,0.375,,,,,,,,,,,,,0.033333333333333166,0.013333333333333267,0.033333333333333166,0.013333333333333267,0.03333333333333333,0.03333333333333294
2009-10-28,Denver Nuggets,Utah Jazz,114 - 105,,2009-2010,10:30,114,105,0.0,0.0,0.5,0.5,,,,,,,,,,,,,0.0333333333333332,0.03333333333333341,0.0333333333333332,0.03333333333333341,0.033333333333333666,0.03333333333333354
2009-10-29,Chicago Bulls,San Antonio Spurs,92 - 85,,2009-2010,08:00,92,85,0.0,1.0,0.5,0.6250000000000001,,,,,,,,,,,,,0.03333333333333334,0.05333333333333319,0.03333333333333346,0.05333333333333328,0.03333333333333382,0.033333333333333486
2009-10-29,Portland Trail Blazers,Denver Nuggets,94 - 97,,2009-2010,10:30,94,97,1.0,1.0,0.6666666666666667,0.625,,,,,,,,,,,,,0.06533333333333333,0.05333333333333318,0.06533333333333358,0.05333333333333362,0.026338259441707618,0.03333333333333343
2009-10-30,Charlotte Hornets,New York Knicks,102 - 100,2OT,2009-2010,07:00,102,100,0.0,0.0,0.39285714285714285,0.375,,,,,,,,,,,,,0.013333333333333298,0.013333333333333346,0.013333333333333275,0.013333333333333357,0.02284967491550866,0.03333333333333323
2009-10-30,Philadelphia 76ers,Milwaukee Bucks,99 - 86,,2009-2010,07:00,99,86,0.0,0.0,0.375,0.5,,,,,,,,,,,,,0.01333333333333334,0.03333333333333339,0.01333333333333335,0.033333333333333416,0.03333333333333341,0.03333333333333348
2009-10-30,Atlanta Hawks,Washington Wizards,100 - 89,,2009-2010,07:30,100,89,1.0,1.0,0.625,0.6250000000000001,,,,,,,,,,,,,0.053333333333333205,0.05333333333333334,0.0533333333333332,0.05333333333333337,0.03333333333333325,0.03333333333333355
2009-10-30,Boston Celtics,Chicago Bulls,118 - 90,,2009-2010,08:00,118,90,1.0,1.0,0.6785714285714285,0.6666666666666666,,,,,,,,,,,,,0.06333333333333298,0.0653333333333333,0.06083333333333262,0.0653333333333333,0.039785834863332106,0.026790780141844165
2009-10-30,New Orleans Pelicans,Sacramento Kings,97 - 92,,2009-2010,08:00,97,92,0.0,0.0,0.3333333333333333,0.375,,,,,,,,,,,,,0.013333333333333334,0.013333333333333348,0.013333333333333341,0.013333333333333353,0.02737588652482287,0.03333333333333344
2009-10-30,Brooklyn Nets,Orlando Magic,85 - 95,,2009-2010,08:00,85,95,0.0,1.0,0.375,0.625,,,,,,,,,,,,,0.013333333333333343,0.05333333333333335,0.013333333333333355,0.053333333333333385,0.03333333333333327,0.03333333333333341
2009-10-30,Minnesota Timberwolves,Cleveland Cavaliers,87 - 104,,2009-2010,08:00,87,104,1.0,0.0,0.6250000000000001,0.3214285714285714,,,,,,,,,,,,,0.05333333333333339,0.01333333333333329,0.05333333333333345,0.013333333333333272,0.03333333333333318,0.04381699175115742
2009-10-30,Memphis Grizzlies,Toronto Raptors,115 - 107,,2009-2010,08:00,115,107,0.0,1.0,0.375,0.6071428571428571,,,,,,,,,,,,,0.01333333333333335,0.04333333333333335,0.013333333333333364,0.04583333333333322,0.033333333333333305,0.026880831803333945
2009-10-30,Indiana Pacers,Miami Heat,83 - 96,,2009-2010,08:00,83,96,0.0,1.0,0.375,0.625,,,,,,,,,,,,,0.013333333333333279,0.053333333333333365,0.01333333333333329,0.0533333333333334,0.03333333333333324,0.03333333333333323
2009-10-30,Detroit Pistons,Oklahoma City Thunder,83 - 91,,2009-2010,08:00,83,91,1.0,1.0,0.625,0.625,,,,,,,,,,,,,0.05333333333333341,0.053333333333333385,0.05333333333333346,0.05333333333333339,0.033333333333333305,0.033333333333333416
2009-10-30,Utah Jazz,Los Angeles Clippers,111 - 98,,2009-2010,09:00,111,98,0.0,0.0,0.4138755980861244,0.3,,,,,,,,,,,,,0.013333333333333355,0.013333333333333343,0.013333333333333362,0.013333333333333358,0.02609424138958451,0.04583333333333324
2009-10-30,Phoenix Suns,Golden State Warriors,123 - 101,,2009-2010,10:00,123,101,1.0,0.0,0.6,0.3229665071770335,,,,,,,,,,,,,0.04333333333333336,0.013333333333333306,0.03777777777777781,0.013333333333333317,0.027744391025640983,0.02562254209515586
2009-10-30,Los Angeles Lakers,Dallas Mavericks,80 - 94,,2009-2010,10:30,80,94,1.0,0.0,0.6,0.375,,,,,,,,,,,,,0.04333333333333339,0.013333333333333338,0.04888888888888901,0.013333333333333345,0.026422275641025596,0.033333333333333534
2009-10-31,Washington Wizards,Brooklyn Nets,123 - 104,,2009-2010,07:00,123,104,0.5,0.0,0.555158929756881,0.282494161761406,5.033333333333335,56.266666666666595,-51.23333333333326,-2.566666666666685,27.666666666667105,-30.23333333333379,226.16097320368326,143.9798341998904,0.6366254626531893,156.77709012666463,576.9311342065657,3.6799454163899,0.027093333333333323,0.013333333333333334,0.027049696969696977,0.013333333333333365,0.03356051264627043,0.03171903113028943
2009-10-31,Cleveland Cavaliers,Charlotte Hornets,90 - 79,,2009-2010,07:30,90,79,0.3333333333333333,0.5,0.44644308209177685,0.5268720385116071,16.433333333333305,38.66666666666706,-22.233333333333757,-1.966666666666693,11.766666666666996,-13.73333333333369,191.75120079834073,443.5960693784491,2.313393958064265,179.7435856221481,96.73669417796077,0.5381927474247561,0.023733333333333256,0.017333333333333277,0.022133333333333234,0.01399999999999991,0.04075822227919158,0.028653876192756333
2009-10-31,New York Knicks,Philadelphia 76ers,127 - 141,OT,2009-2010,07:30,127,141,0.0,0.5,0.2969377659636693,0.5084751825679078,-3.9666666666666877,86.26666666666638,-90.23333333333306,-6.566666666666684,48.666666666667105,-55.23333333333379,179.40577649757958,325.7826666596202,1.8158984232261632,152.42464425039924,2236.482016765802,14.67270616089986,0.013333333333333364,0.021333333333333378,0.013333333333333426,0.021333333333333388,0.0327126844216099,0.039466363484226455
2009-10-31,Houston Rockets,Portland Trail Blazers,111 - 107,,2009-2010,08:30,111,107,0.5,0.5,0.4557624039378379,0.5543539532336126,-33.538095238095174,35.48095238095244,-69.01904761904761,-20.395238095238025,29.052380952380968,-49.44761904761899,186.97736328986323,173.49098408289558,0.9278715938139512,211.485917897279,163.6949879453602,0.7740231102520435,0.017333333333333357,0.0237333333333334,0.013681159420289885,0.021542028985507312,0.03155809018020736,0.03191356502002862
2009-10-31,Milwaukee Bucks,Detroit Pistons,96 - 85,,2009-2010,08:30,96,85,0.0,0.5,0.33615839418930255,0.5556883428253256,-19.566666666666684,30.766666666666218,-50.3333333333329,30.633333333333297,51.266666666666254,-20.63333333333296,165.9004104281081,7.343739189163617,0.044265949494717974,238.08275833945632,141.84249687359318,0.595769714123336,0.01333333333333336,0.02869653333333331,0.013333333333333362,0.02912133333333332,0.023219082633265813,0.03259635633689727
2009-10-31,San Antonio Spurs,Sacramento Kings,113 - 94,,2009-2010,08:30,113,94,0.5,0.0,0.5071968911588921,0.2902060881417298,13.2333333333333,56.266666666666225,-43.033333333332926,8.433333333333296,46.26666666666625,-37.83333333333295,211.03573990569183,249.18706453058235,1.180781343681121,193.80324255337166,178.67833796697516,0.921957422450085,0.023733333333333252,0.013333333333333353,0.022666666666666557,0.013333333333333353,0.03224574241057295,0.032784176335187876
2009-10-31,Los Angeles Clippers,Dallas Mavericks,84 - 93,,2009-2010,10:30,84,93,0.0,0.5,0.2073853220147354,0.4952014027361506,-26.96666666666661,37.76666666666672,-64.73333333333333,-5.966666666666647,39.76666666666672,-45.73333333333337,183.0633550893841,623.1266303840607,3.4038851198799867,207.55968764016222,357.9475912021935,1.724552562551321,0.013333333333333345,0.022933333333333313,0.013333333333333364,0.022860606060606057,0.041043425678439105,0.031833264813963806
2009-11-01,Toronto Raptors,Orlando Magic,116 - 125,,2009-2010,01:00,116,125,0.5,1.0,0.502790480390927,0.7103148509987993,0.657894145409588,56.33481257696019,-55.676918431550604,14.786560287672774,57.3216292568967,-42.53506896922393,227.72986412676082,199.00877542134626,0.8738808859543007,294.61091901936305,54.75141912041475,0.18584314289049234,0.02165333333333327,0.08386470400000008,0.022223146576117656,0.08537662921752597,0.03010549540659306,0.028908041940123665
2009-11-01,Boston Celtics,New Orleans Pelicans,97 - 87,,2009-2010,06:00,97,87,1.0,0.5,0.8060675003060682,0.44686446515810013,21.87409821328238,60.98407840795668,-39.1099801946743,-14.393965614113956,42.40850447529442,-56.802470089408374,345.25697805006814,488.1987669979176,1.4140156406255762,226.2966071016286,74.16002793914993,0.3277116209959129,0.10917333333333339,0.016000000000000018,0.10562281848911775,0.014414414414414423,0.03644607931165777,0.028074810809747
2009-11-01,Miami Heat,Chicago Bulls,95 - 87,,2009-2010,06:00,95,87,1.0,0.5,0.6436024845129072,0.5900316229403005,18.711945162377795,32.21382223287417,-13.501877070496379,0.1877851443982356,46.027377277205,-45.839592132806764,295.56030945803957,147.20185261823082,0.49804337019456574,273.7262598992179,106.54079322054343,0.38922386642688295,0.05000000000000013,0.02869333333333333,0.05574561403508775,0.02898738738738746,0.029369209504133006,0.0290484238771542
2009-11-01,Oklahoma City Thunder,Portland Trail Blazers,74 - 83,,2009-2010,07:00,74,83,1.0,0.3333333333333333,0.6660708892731015,0.4647412332924072,3.0242836273738534,47.21158080278949,-44.18729717541564,-8.010854287862935,39.50299246118745,-47.51384674905039,258.71143986939666,55.43253848651719,0.2142639634122897,251.6184792856924,254.34392145548696,1.0108316455036677,0.06184640000000008,0.028943089430894305,0.058886886318719724,0.0271212595141277,0.028585020119808298,0.036100493148157296
2009-11-01,Denver Nuggets,Memphis Grizzlies,133 - 123,,2009-2010,08:00,133,123,1.0,0.5,0.7358078582930632,0.48341879207651667,0.45068417367552716,52.683244061243165,-52.23255988756764,-6.0020676480503505,46.04698448626191,-52.04905213431226,269.76692976883373,325.21993021179657,1.2055589263312636,239.971777322555,153.1599831139568,0.6382416500090707,0.0780406504065042,0.02632533333333325,0.07580068679978863,0.026667221279003846,0.030201377486120264,0.02985795675622973
2009-11-01,Phoenix Suns,Minnesota Timberwolves,120 - 112,,2009-2010,08:00,120,112,1.0,0.5,0.6171040612659843,0.4450380471233039,-3.164700441709087,58.49342622521572,-61.65812666692481,-6.377222159793247,45.512314679878436,-51.889536839671685,262.37543376497683,129.8441323217188,0.49487915258875514,234.7972067950411,56.73520585237373,0.24163492669612105,0.048333333333333325,0.015999999999999927,0.05375409069658707,0.013849462365591385,0.029953754415704515,0.02632188009757591
2009-11-01,Los Angeles Lakers,Atlanta Hawks,118 - 110,,2009-2010,09:30,118,110,0.5,1.0,0.4302952654876807,0.7380248048096655,-7.62623890324753,44.01006884087887,-51.636307744126405,21.819822451960906,49.597839956927956,-27.778017504967053,238.13248068293223,88.28613108372181,0.3707437592323775,299.5335772399278,220.17732562903666,0.7350672590962101,0.015333333333333308,0.08941333333333329,0.01513978494623653,0.09212064516129058,0.02607951106485786,0.03189253984760971
2009-11-02,Charlotte Hornets,Brooklyn Nets,79 - 68,,2009-2010,07:00,79,68,0.3333333333333333,0.0,0.4115900280956235,0.24588435984370385,-13.363433614649988,25.727189223860993,-39.09062283851098,-6.937055738122542,42.09949195458337,-49.036547692705916,262.1000408037655,213.8788850015119,0.8160200370271714,279.71415606895727,357.4003040755838,1.2777340592925683,0.016000000000000018,0.013333333333333345,0.013754385964912312,0.013333333333333289,0.02840954117160981,0.032029675202872775
2009-11-02,New York Knicks,New Orleans Pelicans,117 - 111,,2009-2010,07:30,117,111,0.0,0.3333333333333333,0.24565873122472462,0.40354475879233814,-13.339323124328372,65.38013053953682,-78.7194536638652,-5.95811836767244,45.606638727031616,-51.564757094704056,270.132766700117,260.3072865086213,0.9636272181582354,284.3652695201522,227.559097838002,0.8002351982785841,0.013333333333333435,0.015999999999999983,0.013333333333333442,0.014414414414414455,0.03507457060280385,0.032426556202703
2009-11-02,Utah Jazz,Houston Rockets,96 - 113,,2009-2010,09:00,96,113,0.5,0.6666666666666666,0.5076256505233754,0.6004115028308146,4.840019542122269,53.02591540427523,-48.18589586215296,-2.6325954769906788,64.79494227795763,-67.4275377549483,308.743543654023,113.2481761781826,0.36680338263231227,286.42838775386525,357.65153542043277,1.248659527866949,0.01533333333333345,0.03078971967479685,0.016688172043010836,0.028555110315825524,0.026907478686886855,0.03343720152377883
2009-11-02,Sacramento Kings,Memphis Grizzlies,127 - 116,OT,2009-2010,10:00,127,116,0.0,0.3333333333333333,0.19181841061466037,0.4270229276524145,-13.134923995059191,43.39928149304669,-56.53420548810588,-5.702499851363988,50.730251037756666,-56.432750889120655,261.30677846814444,324.3007320578738,1.2410727879277301,287.4448158235279,201.1111349741785,0.6996512857537407,0.013333333333333384,0.01939733333333343,0.013333333333333384,0.019326552708146188,0.03245702665682983,0.03428808316322659
