Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
2019-10-25,Oklahoma City Thunder,Washington Wizards,85 - 97,,2019-2020,08:00,85,97,0.0,0.0,0.375,0.375,,,,,,,95.0,95.0,1.0,100.0,100.0,1.0,0.013333333333333279,0.013333333333333374,0.013333333333333279,0.013333333333333374,0.033333333333333416,0.03333333333333321
2019-10-25,Denver Nuggets,Phoenix Suns,108 - 107,OT,2019-2020,09:00,108,107,1.0,1.0,0.625,0.625,,,,,,,108.0,108.0,1.0,124.0,124.0,1.0,0.05333333333333328,0.05333333333333321,0.05333333333333328,0.05333333333333321,0.033333333333333236,0.03333333333333357
2019-10-25,Sacramento Kings,Portland Trail Blazers,112 - 122,,2019-2020,10:00,112,122,0.0,0.0,0.375,0.375,,,,,,,95.0,95.0,1.0,100.0,100.0,1.0,0.013333333333333305,0.013333333333333329,0.013333333333333305,0.013333333333333329,0.03333333333333357,0.03333333333333325
2019-10-25,Los Angeles Lakers,Utah Jazz,95 - 86,,2019-2020,10:30,95,86,0.0,1.0,0.4000000000000001,0.6250000000000001,,,,,,,230.41071428571428,0.3984375,0.0017292490118577075,100.0,100.0,1.0,0.013333333333333317,0.05333333333333311,0.013333333333333317,0.05333333333333311,0.025855654761904743,0.033333333333333416
2019-10-26,Milwaukee Bucks,Miami Heat,126 - 131,OT,2019-2020,05:00,126,131,1.0,1.0,0.6250000000000001,0.5867083946980854,,,,,,,117.0,117.0,1.0,224.67023311947693,16.022758360673034,0.07131678343945246,0.05333333333333337,0.0433333333333332,0.05333333333333338,0.04740740740740732,0.03333333333333336,0.025128261391116364
2019-10-26,Detroit Pistons,Philadelphia 76ers,111 - 117,,2019-2020,07:00,111,117,0.5,1.0,0.5000000000000001,0.6777246736872674,,,,,,,109.5,56064.0,512.0,261.0106851781826,12.716645547421964,0.04872078527643712,0.02133333333333328,0.06893333333333337,0.021333333333333284,0.06917333333333343,0.04583333333333284,0.024972877315247558
2019-10-26,Atlanta Hawks,Orlando Magic,103 - 99,,2019-2020,07:30,103,99,1.0,1.0,0.6666666666666666,0.6250000000000001,,,,,,,256.23,0.45703125,0.001783675799086758,94.0,94.0,1.0,0.06533333333333308,0.05333333333333372,0.06533333333333324,0.05333333333333374,0.027507342143905714,0.033333333333333215
2019-10-26,New York Knicks,Boston Celtics,95 - 118,,2019-2020,07:30,95,118,0.0,0.5,0.2755891016200294,0.5331740210618025,,,,,,,193.68162315947788,1625.7687710406403,8.394026983664727,185.36499649080844,1908.8362281586146,10.297716744235833,0.013333333333333355,0.023733333333333287,0.013333333333333393,0.02389333333333334,0.038556151851907694,0.038617178631584655
2019-10-26,Chicago Bulls,Toronto Raptors,84 - 108,,2019-2020,08:00,84,108,0.5,0.5,0.4537923416789396,0.4549714105599422,,,,,,,192.0454328003684,90.270360662737,0.470046901644223,218.22154571801036,56.27676776843029,0.257888228145685,0.017333333333333305,0.01733333333333335,0.015703703703703654,0.01760000000000002,0.03452766520338707,0.0358664854870548
2019-10-26,Cleveland Cavaliers,Indiana Pacers,110 - 99,,2019-2020,08:00,110,99,0.0,0.0,0.375,0.33333333333333337,,,,,,,85.0,85.0,1.0,202.43697478991595,0.4296875,0.002122574200913242,0.013333333333333381,0.01333333333333327,0.013333333333333404,0.013333333333333272,0.03333333333333322,0.026659324522760434
