Date,Home Team,Away Team,Result,Overtime,Season
26/10/2010 07:30,Boston Celtics,Miami Heat,88 - 80,,2010-2011
26/10/2010 10:00,Portland Trail Blazers,Phoenix Suns,106 - 92,,2010-2011
26/10/2010 10:30,Los Angeles Lakers,Houston Rockets,112 - 110,,2010-2011
27/10/2010 07:00,Cleveland Cavaliers,Boston Celtics,95 - 87,,2010-2011
27/10/2010 07:00,Toronto Raptors,New York Knicks,93 - 98,,2010-2011
27/10/2010 07:00,Philadelphia 76ers,Miami Heat,87 - 97,,2010-2011
27/10/2010 07:00,New Jersey Nets,Detroit Pistons,101 - 98,,2010-2011
27/10/2010 08:00,Oklahoma City Thunder,Chicago Bulls,106 - 95,,2010-2011
27/10/2010 08:00,New Orleans Hornets,Milwaukee Bucks,95 - 91,,2010-2011
27/10/2010 08:00,Minnesota Timberwolves,Sacramento Kings,116 - 117,,2010-2011
27/10/2010 08:00,Memphis Grizzlies,Atlanta Hawks,104 - 119,,2010-2011
27/10/2010 08:30,San Antonio Spurs,Indiana Pacers,122 - 109,,2010-2011
27/10/2010 08:30,Dallas Mavericks,Charlotte Bobcats,101 - 86,,2010-2011
27/10/2010 09:00,Denver Nuggets,Utah Jazz,110 - 88,,2010-2011
27/10/2010 10:30,Los Angeles Clippers,Portland Trail Blazers,88 - 98,,2010-2011
27/10/2010 10:30,Golden State Warriors,Houston Rockets,132 - 128,,2010-2011
28/10/2010 08:00,Orlando Magic,Washington Wizards,112 - 83,,2010-2011
28/10/2010 10:30,Utah Jazz,Phoenix Suns,94 - 110,,2010-2011
29/10/2010 07:00,Charlotte Bobcats,Indiana Pacers,101 - 104,,2010-2011
29/10/2010 07:00,Toronto Raptors,Cleveland Cavaliers,101 - 81,,2010-2011
29/10/2010 07:00,Philadelphia 76ers,Atlanta Hawks,101 - 104,,2010-2011
29/10/2010 07:00,New Jersey Nets,Sacramento Kings,106 - 100,,2010-2011
29/10/2010 07:30,Boston Celtics,New York Knicks,105 - 101,,2010-2011
29/10/2010 08:00,Detroit Pistons,Oklahoma City Thunder,104 - 105,,2010-2011
29/10/2010 08:00,New Orleans Hornets,Denver Nuggets,101 - 95,,2010-2011
29/10/2010 08:00,Miami Heat,Orlando Magic,96 - 70,,2010-2011
