index,Date,Home Team,Away Team,Result,Overtime,Season,Time,Home Score,Away Score,home_win_percentage,away_win_percentage,colley_home_rating,colley_away_rating,massey_home_overall_rating,massey_home_offensive_rating,massey_home_defensive_rating,massey_away_overall_rating,massey_away_offensive_rating,massey_away_defensive_rating,od_home_overall_rating,od_home_offensive_rating,od_home_defensive_rating,od_away_overall_rating,od_away_offensive_rating,od_away_defensive_rating,markov_home_rating1,markov_away_rating1,markov_home_rating2,markov_away_rating2,markov_home_rating3,markov_away_rating3
10,2018-10-17,Sacramento Kings,Utah Jazz,117 - 123,,2018-2019,10:00,117,123,0.32926829268292684,0.5853658536585366,0.3427394605438127,0.5910731672083112,-6.593230615566801,45.57552626902027,-52.168756884587076,4.4737119760455055,50.715902963454674,-46.24219098740917,8179.276263647848,8096.674557020574,0.9899010983411343,9123.534554264479,8518.538623404018,0.9336884266440711,0.027557516796580174,0.03797887868629001,0.022580199472410366,0.04968973101839659,0.03193066999195526,0.03289174970494045
11,2018-10-17,Los Angeles Clippers,Denver Nuggets,98 - 107,,2018-2019,10:30,98,107,0.5121951219512195,0.5609756097560976,0.5155340986036498,0.5594778636601908,0.15212191115369883,55.93628157088631,-55.78415965973261,1.571540507589304,57.17089250615483,-55.599351998565524,8743.075233841013,8945.67675045241,1.0231727980364629,8857.677783245073,9041.97871750703,1.0208069133662296,0.03436906323071437,0.03599245511562779,0.03440111375823556,0.03684074618552417,0.033817957029073455,0.03401792333728208
12,2018-10-17,Phoenix Suns,Dallas Mavericks,121 - 100,,2018-2019,10:30,121,100,0.25609756097560976,0.2926829268292683,0.2767336996807151,0.3114614819415308,-8.796629840884174,51.216005845015964,-60.012635685900136,-2.70033829588812,49.15300011123069,-51.85333840711881,8055.1790689805075,8558.201910093709,1.0624471333046188,8510.410654476707,8391.849619172868,0.9860687057161603,0.021786526056081387,0.02555058953218185,0.020534780427890285,0.026769679218466035,0.03294429172906503,0.03258874261806442
13,2018-10-18,Philadelphia 76ers,Chicago Bulls,127 - 108,,2018-2019,08:00,127,108,0.6265060240963856,0.32926829268292684,0.6207213361503755,0.3389921067488091,4.087933105134379,56.395094944064084,-52.30716183892971,-6.825511383819449,49.93178186235957,-56.75729324617902,9151.193434179322,9091.003991481042,0.9934227766977939,8268.428220568196,8448.79393278162,1.0218137846035544,0.03815745143001673,0.024366793544485652,0.04112420037037944,0.021817068257119758,0.03394677076928439,0.03252129943040776
14,2018-10-18,Washington Wizards,Miami Heat,112 - 113,,2018-2019,08:00,112,113,0.524390243902439,0.5301204819277109,0.5226100204425838,0.5162502289485982,0.5333207457006637,53.444798111552586,-52.91147736585192,0.0658014217371672,49.92052459732808,-49.85472317559091,8858.891448098482,8740.94742046486,0.9866863672137061,8817.117475501824,8561.475624244582,0.9710061874566674,0.03647872122187929,0.03422321634372989,0.03648161775974617,0.029152003580626862,0.033176220164903195,0.03274646850752363
15,2018-10-18,Portland Trail Blazers,Los Angeles Lakers,128 - 119,,2018-2019,10:30,128,119,0.5975609756097561,0.4268292682926829,0.5950770335848296,0.43206205840444045,2.595383362925279,52.298443176689815,-49.70305981376454,-1.4439466064251265,54.96413216541433,-56.408078771839456,9036.054298119076,8645.03742194907,0.95672703336329,8700.075087986996,8860.899574188108,1.0184854135825998,0.03638249908344299,0.02930703018702891,0.03388257484574288,0.02858905692561494,0.032972767535541465,0.033456354692595766
16,2018-10-19,Orlando Magic,Charlotte Hornets,88 - 120,,2018-2019,07:00,88,120,0.3132530120481928,0.43373493975903615,0.3174603118231068,0.4334842287063214,-4.817723537166578,50.188706563145296,-55.006430100311874,0.05717671571030776,55.08493861113801,-55.0277618954277,8442.43307703535,8575.636034709512,1.0157777925461433,8834.63195191447,8982.066056407082,1.0166881999493667,0.024998581774434907,0.02799801330827526,0.02510854530377566,0.03086623116885991,0.03274848668165339,0.0336298493952044
17,2018-10-19,Brooklyn Nets,New York Knicks,107 - 105,,2018-2019,07:30,107,105,0.3373493975903614,0.3614457831325301,0.3458011851322118,0.36565485692981564,-3.6552791723591866,53.563502558624776,-57.21878173098396,-3.3241193347789304,51.48804564499771,-54.81216497977664,8547.399386077837,8858.592736270095,1.036407957103202,8564.968814324902,8684.645416453644,1.0139728006865107,0.024977611709161303,0.02717213275031568,0.02295870270984707,0.028349286919432004,0.03337278999170712,0.03299824989081179
18,2018-10-19,Memphis Grizzlies,Atlanta Hawks,131 - 117,,2018-2019,08:00,131,117,0.26506024096385544,0.2891566265060241,0.28380548146347834,0.2991460801875367,-6.058529418626963,45.90867152986307,-51.96720094849003,-5.4868399680311875,50.313189594356345,-55.800029562387536,8323.590646761342,8227.319968008032,0.9884339964759358,8395.246971543127,8591.309203972265,1.0233539564820093,0.02648628074605559,0.024845802818215586,0.02372033556979234,0.022115049711693417,0.03200076703748277,0.03278069394979349
19,2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,131 - 123,,2018-2019,08:00,131,123,0.5662650602409639,0.6024096385542169,0.5680602101697431,0.5899375374144209,2.301832040264846,56.399690270801905,-54.09785823053706,0.5388721432294828,57.627992371668384,-57.0891202284389,9024.208321671693,9095.953551831735,1.007950307395691,8880.423456284221,9196.068087845482,1.0355438716537662,0.03636546355727656,0.03649809130857589,0.03593309610262871,0.034609928640629506,0.03392755875084194,0.034117201315875416
20,2018-10-19,New Orleans Pelicans,Sacramento Kings,149 - 129,,2018-2019,08:00,149,129,0.5903614457831325,0.3253012048192771,0.593199332353137,0.3400147816475854,1.763538314088909,59.17714618114423,-57.41360786705532,-6.536033695421512,45.852889402105205,-52.38892309752672,8981.377126038122,9332.583037729493,1.0391037929665798,8283.807838124441,8224.248417361167,0.9928101397416336,0.038524909128487037,0.027384511988982625,0.03704733870236345,0.022313632028354485,0.03443039563349764,0.03199323360466219
21,2018-10-19,Toronto Raptors,Boston Celtics,113 - 101,,2018-2019,08:00,113,101,0.7228915662650602,0.6746987951807228,0.704994052785869,0.6597499729980184,7.363700220912635,58.34194423748069,-50.978244016568055,3.462581939481121,50.4835377587513,-47.02095581927018,9463.318688997664,9250.451973790894,0.9775061242041594,9140.757750577064,8605.045811192127,0.941393049241337,0.042171007817435775,0.04081854511555204,0.04812182068364155,0.036100766002994465,0.03424912320740499,0.032816277440865745
22,2018-10-19,Milwaukee Bucks,Indiana Pacers,118 - 101,,2018-2019,08:30,118,101,0.5421686746987951,0.5903614457831325,0.5357440218223429,0.5795508891830407,-0.42256056607650094,53.32123675821318,-53.74379732428968,1.4237894052315208,52.30780492720275,-50.88401552197123,8805.752475259242,8838.243794747277,1.003689783420477,8951.314348732894,8751.010608875406,0.9776229800391444,0.03406097916619042,0.03656286163601789,0.029288526702266886,0.033380026187241264,0.03333418813418486,0.033122290481396595
23,2018-10-19,Los Angeles Clippers,Oklahoma City Thunder,108 - 92,,2018-2019,10:30,108,92,0.5060240963855421,0.5783132530120482,0.5103419268283352,0.5778251759459776,0.06051971779871865,55.7291381939219,-55.66861847612318,3.3463516530157262,54.66217731874958,-51.315825665733854,8839.932756888145,9043.011477663971,1.022972880717626,9120.409410690703,8954.338773142377,0.9817913176843068,0.0340606701203093,0.039212485477325934,0.033840172402725875,0.04235200425859135,0.03380191579982813,0.03359754640844255
24,2018-10-19,Utah Jazz,Golden State Warriors,123 - 124,,2018-2019,10:30,123,124,0.5903614457831325,0.7108433734939759,0.5939670153343316,0.6993289481598545,4.414874869926881,50.936306740115256,-46.52143187018837,5.851252905135497,60.28334555099547,-54.432092645859974,9225.3888587179,8646.229088433227,0.9372210993862471,9310.852417711463,9415.140205397804,1.0112006702509815,0.03808486867717912,0.04262982754613989,0.04969762195432725,0.04913744790724778,0.0329341469545477,0.034615157594996386
25,2018-10-20,Indiana Pacers,Brooklyn Nets,132 - 112,,2018-2019,07:00,132,112,0.5833333333333334,0.34523809523809523,0.5734010064204746,0.3510502008731418,1.2103278418004546,52.22415893265043,-51.013831090849976,-3.642433799571773,53.51215299913845,-57.15458679871022,9002.179664989522,8850.177789133124,0.9831149919782705,8615.938628349026,8963.483238569124,1.0403374055006116,0.03640954912191062,0.02516968387810492,0.03326828157117349,0.022925395768442616,0.033194556481784106,0.03344857741188431
26,2018-10-20,Washington Wizards,Toronto Raptors,113 - 117,,2018-2019,07:00,113,117,0.5180722891566265,0.7261904761904762,0.5167220385028466,0.7096215067432721,0.5126570718866603,53.50902920660965,-52.99637213472299,7.448342083789,58.402162334496744,-50.95382025070774,8949.97411198025,8854.550507234626,0.9893381138814813,9545.389689253372,9370.672305984435,0.9816961497689674,0.03624926724193783,0.04274135175351094,0.036214552393565504,0.04873812292475006,0.03322098385769579,0.03435015064748694
27,2018-10-20,New York Knicks,Boston Celtics,101 - 103,,2018-2019,07:30,101,103,0.35714285714285715,0.6666666666666666,0.3596516042106088,0.6544166156085593,-3.3554621632015924,51.41498420465105,-54.77044636785264,3.3616414550633205,50.45243435021778,-47.09079289515446,8629.277255767336,8784.84250706806,1.0180276107360848,9203.448968453064,8709.572015026726,0.946337839746902,0.02700765124169181,0.04066323215728472,0.028199942698151823,0.03598270261131374,0.03307198375347208,0.03290427994940086
28,2018-10-20,Philadelphia 76ers,Orlando Magic,116 - 115,,2018-2019,07:30,116,115,0.6309523809523809,0.30952380952380953,0.6229138513634431,0.3128963543508998,4.17909151727797,56.52244271374818,-52.34335119647021,-5.128687110220813,49.962625366176226,-55.091312476397036,9255.641137018301,9213.781067254005,0.9954773452055228,8483.554985990684,8663.03419497775,1.02115613198517,0.03818380849818488,0.024863387174420905,0.041310183587703685,0.024942199026218404,0.03400070126133335,0.03279585478962246
29,2018-10-20,Chicago Bulls,Detroit Pistons,116 - 118,,2018-2019,08:00,116,118,0.3253012048192771,0.4819277108433735,0.33625118121906433,0.4794810113828822,-6.92402494799238,49.9663859648389,-56.89041091283128,-0.2650448412408829,50.29151642686518,-50.556561268106066,8348.049847290142,8555.702109628692,1.0248743438452221,8880.83211436364,8585.339156650756,0.9667268839329863,0.0242281235319084,0.031692308899458364,0.02160760472101825,0.031327428118242726,0.03256837143632791,0.03262668666151608
30,2018-10-20,Miami Heat,Charlotte Hornets,112 - 113,,2018-2019,08:00,112,113,0.5357142857142857,0.44047619047619047,0.5214171850887707,0.4374738480144251,0.06986867489499866,49.99991825973972,-49.930049584844724,0.35867871702210313,55.16562210940627,-54.80694339238417,8910.38612686257,8675.083413468732,0.9735923101374407,8927.560556853725,9098.701897523424,1.0191700005370798,0.034535683829008554,0.028124819683636053,0.029101060060113263,0.03131184795282452,0.0327968097205026,0.033728278697988626
31,2018-10-20,Dallas Mavericks,Minnesota Timberwolves,140 - 136,,2018-2019,08:30,140,136,0.2891566265060241,0.5714285714285714,0.305693427724558,0.5740623057580159,-3.01370226165552,48.972086315053744,-51.98578857670926,2.3788986651962887,56.58204607717562,-54.20314741197933,8654.140639993455,8487.82812743905,0.9807823191842037,9100.030566630972,9228.653023274557,1.0141342884182425,0.02539178525517175,0.03685397698373754,0.026597445752130387,0.03615419605146017,0.03242697208748136,0.03406398627568244
