Date,Home Team,Away Team,Result,Overtime,Season
01/11/2015 03:30,Boston Celtics,San Antonio Spurs,87 - 95,,2015-2016
01/11/2015 06:00,Miami Heat,Houston Rockets,109 - 89,,2015-2016
01/11/2015 06:00,Toronto Raptors,Milwaukee Bucks,106 - 87,,2015-2016
01/11/2015 07:00,Chicago Bulls,Orlando Magic,92 - 87,,2015-2016
01/11/2015 07:00,Oklahoma City Thunder,Denver Nuggets,117 - 93,,2015-2016
01/11/2015 09:30,Los Angeles Lakers,Dallas Mavericks,93 - 103,,2015-2016
02/11/2015 07:00,Philadelphia 76ers,Cleveland Cavaliers,100 - 107,,2015-2016
02/11/2015 07:30,Brooklyn Nets,Milwaukee Bucks,96 - 103,,2015-2016
02/11/2015 07:30,New York Knicks,San Antonio Spurs,84 - 94,,2015-2016
02/11/2015 08:00,Houston Rockets,Oklahoma City Thunder,110 - 105,,2015-2016
02/11/2015 08:00,Minnesota Timberwolves,Portland Trail Blazers,101 - 106,,2015-2016
02/11/2015 10:30,Golden State Warriors,Memphis Grizzlies,119 - 69,,2015-2016
02/11/2015 10:30,Los Angeles Clippers,Phoenix Suns,102 - 96,,2015-2016
03/11/2015 07:00,Charlotte Hornets,Chicago Bulls,130 - 105,,2015-2016
03/11/2015 07:30,Detroit Pistons,Indiana Pacers,82 - 94,,2015-2016
03/11/2015 07:30,Miami Heat,Atlanta Hawks,92 - 98,,2015-2016
03/11/2015 08:00,New Orleans Pelicans,Orlando Magic,94 - 103,,2015-2016
03/11/2015 08:30,Dallas Mavericks,Toronto Raptors,91 - 102,,2015-2016
03/11/2015 10:00,Sacramento Kings,Memphis Grizzlies,89 - 103,,2015-2016
03/11/2015 10:30,Los Angeles Lakers,Denver Nuggets,109 - 120,,2015-2016
04/11/2015 07:00,Indiana Pacers,Boston Celtics,100 - 98,,2015-2016
04/11/2015 07:00,Washington Wizards,San Antonio Spurs,102 - 99,,2015-2016
04/11/2015 08:00,Atlanta Hawks,Brooklyn Nets,101 - 87,,2015-2016
04/11/2015 08:00,Cleveland Cavaliers,New York Knicks,96 - 86,,2015-2016
04/11/2015 08:00,Houston Rockets,Orlando Magic,119 - 114,OT,2015-2016
04/11/2015 08:00,Milwaukee Bucks,Philadelphia 76ers,91 - 87,,2015-2016
04/11/2015 08:00,Oklahoma City Thunder,Toronto Raptors,98 - 103,,2015-2016
04/11/2015 09:00,Phoenix Suns,Sacramento Kings,118 - 97,,2015-2016
04/11/2015 09:00,Utah Jazz,Portland Trail Blazers,92 - 108,,2015-2016
04/11/2015 10:30,Golden State Warriors,Los Angeles Clippers,112 - 108,,2015-2016
05/11/2015 08:00,Chicago Bulls,Oklahoma City Thunder,104 - 98,,2015-2016
05/11/2015 08:00,Minnesota Timberwolves,Miami Heat,84 - 96,,2015-2016
05/11/2015 08:30,Dallas Mavericks,Charlotte Hornets,94 - 108,,2015-2016
05/11/2015 09:00,Denver Nuggets,Utah Jazz,84 - 96,,2015-2016
05/11/2015 10:30,Portland Trail Blazers,Memphis Grizzlies,115 - 96,,2015-2016
06/11/2015 07:00,Orlando Magic,Toronto Raptors,92 - 87,,2015-2016
06/11/2015 07:30,Boston Celtics,Washington Wizards,118 - 98,,2015-2016
06/11/2015 07:30,Brooklyn Nets,Los Angeles Lakers,98 - 104,,2015-2016
06/11/2015 07:30,Cleveland Cavaliers,Philadelphia 76ers,108 - 102,,2015-2016
06/11/2015 07:30,New York Knicks,Milwaukee Bucks,92 - 99,,2015-2016
06/11/2015 08:00,Indiana Pacers,Miami Heat,90 - 87,,2015-2016
06/11/2015 08:00,New Orleans Pelicans,Atlanta Hawks,115 - 121,,2015-2016
