2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,Type
0.6284552845528455,0.6004065040650407,0.5861788617886179,0.616260162601626,0.6353658536585366,0.6394308943089431,0.634959349593496,0.6148648648648649,0.6065795403334836,0.6161041073607157,0.6386178861788618,0.6455284552845528,0.6109756097560975,0.5963414634146341,0.598780487804878,0.6024534302589732,Colley_1Months
0.6260162601626016,0.6036585365853658,0.583739837398374,0.6097560975609756,0.6284552845528455,0.6313008130081301,0.634959349593496,0.6148648648648649,0.6133393420459666,0.6278975193167955,0.6357723577235772,0.6353658536585366,0.6065040650406504,0.5890243902439024,0.6052845528455284,0.6106315311222171,MasseyOverall_1Months
0.567479674796748,0.53130081300813,0.5117886178861789,0.5475609756097561,0.5479674796747968,0.5337398373983739,0.5353658536585366,0.5463963963963964,0.5673726904010815,0.5717771451809679,0.5756097560975609,0.5686991869918699,0.5443089430894309,0.5447154471544715,0.566260162601626,0.5724670604270786,MasseyOffensive_1Months
0.5211382113821138,0.5402439024390244,0.541869918699187,0.541869918699187,0.574390243902439,0.5865853658536585,0.5906504065040651,0.5792792792792792,0.562415502478594,0.5664904432696218,0.552439024390244,0.5585365853658537,0.5556910569105691,0.5373983739837398,0.5426829268292683,0.5411176737846434,MasseyDefensive_1Months
0.6227642276422765,0.6032520325203252,0.5886178861788618,0.6134146341463415,0.6398373983739838,0.6402439024390244,0.634959349593496,0.6216216216216216,0.6151419558359621,0.6303375355835705,0.6447154471544716,0.6467479674796748,0.6195121951219512,0.6008130081300813,0.6146341463414634,0.6215356656065425,ODOverall_1Months
0.5300813008130081,0.5,0.491869918699187,0.5182926829268293,0.5056910569105691,0.4943089430894309,0.5113821138211382,0.536036036036036,0.5178008111762055,0.5075233834892232,0.5292682926829269,0.5353658536585366,0.5260162601626016,0.5292682926829269,0.5365853658536586,0.5147660154475239,ODOffensive_1Months
0.46422764227642277,0.44959349593495934,0.4459349593495935,0.44471544715447153,0.4317073170731707,0.4304878048780488,0.4296747967479675,0.44504504504504505,0.45065344749887337,0.4469296461976413,0.45284552845528453,0.4504065040650406,0.44471544715447153,0.458130081300813,0.466260162601626,0.44025442980463425,ODDeffensive_1Months
0.6032520325203252,0.5768292682926829,0.558130081300813,0.5951219512195122,0.6097560975609756,0.6052845528455284,0.616260162601626,0.6063063063063063,0.590806669671023,0.5994306628710858,0.6195121951219512,0.6223577235772357,0.5963414634146341,0.5886178861788618,0.5861788617886179,0.5860972285324852,Markov1_1Months
0.5983739837398374,0.5841463414634146,0.5699186991869919,0.598780487804878,0.6105691056910569,0.6138211382113821,0.6268292682926829,0.6054054054054054,0.597566471383506,0.6124440829605531,0.6260162601626016,0.6239837398373984,0.6004065040650407,0.5898373983739837,0.5853658536585366,0.5851885506587915,Markov2_1Months
0.524390243902439,0.49878048780487805,0.48495934959349596,0.509349593495935,0.5097560975609756,0.4943089430894309,0.5056910569105691,0.5333333333333333,0.5236593059936908,0.5176901179341196,0.5398373983739837,0.5345528455284553,0.5178861788617887,0.5247967479674797,0.5308943089430894,0.5129486597001363,Markov3_1Months
0.6463414634146342,0.6231707317073171,0.5947154471544716,0.6174796747967479,0.6516260162601626,0.6475609756097561,0.6369918699186992,0.6346846846846846,0.6403785488958991,0.6437576250508337,0.6434959349593496,0.6410569105691057,0.6146341463414634,0.608130081300813,0.6203252032520326,0.619263970922308,Colley_2Months
0.6373983739837399,0.6117886178861789,0.5861788617886179,0.6170731707317073,0.6479674796747967,0.6402439024390244,0.6329268292682927,0.6243243243243243,0.6322667868409193,0.6429442862952419,0.641869918699187,0.6398373983739838,0.6126016260162601,0.5910569105691057,0.6040650406504066,0.6174466151749205,MasseyOverall_2Months
0.5804878048780487,0.5536585365853659,0.5264227642276422,0.5455284552845528,0.5475609756097561,0.5357723577235772,0.5369918699186992,0.55,0.5736818386660658,0.5782838552257015,0.5934959349593496,0.582520325203252,0.5447154471544715,0.5487804878048781,0.5703252032520325,0.5656519763743753,MasseyOffensive_2Months
0.5341463414634147,0.5447154471544715,0.5467479674796748,0.5463414634146342,0.5776422764227642,0.5906504065040651,0.593089430894309,0.5837837837837838,0.5610635421360973,0.5697437982919886,0.566260162601626,0.5752032520325203,0.5634146341463414,0.5357723577235772,0.5439024390243903,0.5552021808268969,MasseyDefensive_2Months
0.640650406504065,0.6195121951219512,0.5955284552845529,0.6199186991869918,0.651219512195122,0.640650406504065,0.6353658536585366,0.6360360360360361,0.6376746282109058,0.6466043106954046,0.6487804878048781,0.6479674796747967,0.6227642276422765,0.6032520325203252,0.6121951219512195,0.6247160381644707,ODOverall_2Months
0.5382113821138211,0.5288617886178861,0.5223577235772358,0.5231707317073171,0.5130081300813009,0.5186991869918699,0.5341463414634147,0.5418918918918919,0.5380802163136548,0.5368035786905246,0.5451219512195122,0.5394308943089431,0.524390243902439,0.5321138211382114,0.5422764227642276,0.5252158109950023,ODOffensive_2Months
0.4691056910569106,0.4524390243902439,0.44634146341463415,0.4483739837398374,0.4239837398373984,0.42032520325203254,0.42560975609756097,0.43198198198198196,0.44975214060387564,0.447742984953233,0.43333333333333335,0.4268292682926829,0.4475609756097561,0.4634146341463415,0.45934959349593496,0.4275329395729214,ODDeffensive_2Months
