,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
306,0.5993485342019544,0.7068403908794788,0.7068403908794788,0.6612377850162866,0.6938110749185668,0.6970684039087948,0.6612377850162866,0.6710097719869706,0.6644951140065146,0.6579804560260586,0.6123778501628665,0.6221498371335505,0.6710097719869706
307,0.6006493506493507,0.7077922077922078,0.7077922077922078,0.6623376623376623,0.6948051948051948,0.6948051948051948,0.6590909090909091,0.672077922077922,0.6655844155844156,0.6590909090909091,0.6136363636363636,0.6233766233766234,0.672077922077922
308,0.598705501618123,0.7055016181229773,0.7087378640776699,0.6601941747572816,0.6957928802588996,0.6957928802588996,0.656957928802589,0.6731391585760518,0.6634304207119741,0.6601941747572816,0.6116504854368932,0.6213592233009708,0.6731391585760518
309,0.6,0.7064516129032258,0.7096774193548387,0.6580645161290323,0.6967741935483871,0.6967741935483871,0.6580645161290323,0.6741935483870968,0.6612903225806451,0.6612903225806451,0.6096774193548387,0.6225806451612903,0.6741935483870968
310,0.6012861736334405,0.707395498392283,0.7106109324758842,0.6591639871382636,0.6977491961414791,0.6977491961414791,0.6591639871382636,0.6752411575562701,0.662379421221865,0.662379421221865,0.6109324758842444,0.6237942122186495,0.6752411575562701
311,0.5993589743589743,0.7051282051282052,0.7115384615384616,0.6602564102564102,0.6987179487179487,0.6987179487179487,0.6602564102564102,0.6762820512820513,0.6634615384615384,0.6634615384615384,0.6121794871794872,0.625,0.6730769230769231
312,0.597444089456869,0.7028753993610224,0.7124600638977636,0.6613418530351438,0.6996805111821086,0.6964856230031949,0.6613418530351438,0.6741214057507987,0.6645367412140575,0.6645367412140575,0.6134185303514377,0.6261980830670927,0.6741214057507987
313,0.5987261146496815,0.7038216560509554,0.7101910828025477,0.6624203821656051,0.7006369426751592,0.697452229299363,0.6592356687898089,0.6719745222929936,0.6656050955414012,0.6624203821656051,0.6146496815286624,0.6273885350318471,0.6719745222929936
314,0.6,0.7015873015873015,0.7111111111111111,0.6634920634920635,0.7015873015873015,0.6984126984126984,0.6571428571428571,0.6698412698412698,0.6634920634920635,0.6634920634920635,0.6158730158730159,0.6285714285714286,0.6730158730158731
315,0.6012658227848101,0.7025316455696202,0.7120253164556962,0.6645569620253164,0.6993670886075949,0.6993670886075949,0.6550632911392406,0.6708860759493671,0.6613924050632911,0.6613924050632911,0.6139240506329114,0.629746835443038,0.6708860759493671
