Feature Count,Mean,SD,Time
1,0.5915015641293013,0.010177529740732138,0.7687005996704102
2,0.6625130344108446,0.00836821357828946,1.6483380794525146
3,0.666058394160584,0.007606558758574228,2.643831968307495
5,0.6665797705943691,0.007709498672724484,4.743502140045166
6,0.6667361835245046,0.006900314184177561,5.745176792144775
7,0.6669447340980188,0.007837312794207943,6.762625694274902
13,0.6683524504692389,0.007352886649689294,15.242410659790039
15,0.668978102189781,0.008653749443351245,18.708808660507202
16,0.6697080291970804,0.008574225280708498,20.66679358482361
17,0.6697601668404588,0.008057585608738876,22.741644859313965
18,0.6699165797705944,0.008212133989405056,24.84805679321289
19,0.67007299270073,0.008432125495117411,26.998546600341797
