,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
bs only / liblinear,0.6536585365853659,0.6414634146341464,0.6804878048780488,0.7024390243902439,0.6796747967479675,0.6845528455284553,0.6666666666666666,0.677786818551668,0.6707317073170732,0.675609756097561,0.691869918699187,0.6325203252032521,0.6577235772357723,0.6609756097560976,0.6560247167868177
bs only / newton_cg,0.6536585365853659,0.6414634146341464,0.6821138211382114,0.7032520325203252,0.6796747967479675,0.6845528455284553,0.6676767676767676,0.6769731489015459,0.6707317073170732,0.675609756097561,0.691869918699187,0.6325203252032521,0.6577235772357723,0.6609756097560976,0.6560247167868177
bs only / lbfgs,0.6536585365853659,0.6414634146341464,0.6821138211382114,0.7032520325203252,0.6796747967479675,0.6845528455284553,0.6676767676767676,0.6769731489015459,0.6707317073170732,0.675609756097561,0.691869918699187,0.6325203252032521,0.6585365853658537,0.6609756097560976,0.6560247167868177
bs only / saga,0.6536585365853659,0.6414634146341464,0.6821138211382114,0.7032520325203252,0.6796747967479675,0.6845528455284553,0.6676767676767676,0.6769731489015459,0.6707317073170732,0.675609756097561,0.691869918699187,0.6325203252032521,0.6577235772357723,0.6609756097560976,0.6560247167868177
bs / acute / liblinear,0.6585365853658537,0.6357723577235772,0.6747967479674797,0.7056910569105691,0.6796747967479675,0.6829268292682927,0.6757575757575758,0.6769731489015459,0.6634146341463415,0.6813008130081301,0.6886178861788618,0.6430894308943089,0.6528455284552845,0.6609756097560976,0.6611740473738414
bs / acute / newton_cg,0.6601626016260163,0.6365853658536585,0.6764227642276422,0.7056910569105691,0.6796747967479675,0.6829268292682927,0.6757575757575758,0.6769731489015459,0.6634146341463415,0.6813008130081301,0.6886178861788618,0.6430894308943089,0.6520325203252032,0.6609756097560976,0.6611740473738414
bs / acute / lbfgs,0.6601626016260163,0.6365853658536585,0.6764227642276422,0.7056910569105691,0.6796747967479675,0.6821138211382114,0.6757575757575758,0.677786818551668,0.6634146341463415,0.6813008130081301,0.6886178861788618,0.6430894308943089,0.6520325203252032,0.6609756097560976,0.6601441812564367
bs / acute / saga,0.6601626016260163,0.6365853658536585,0.6764227642276422,0.7056910569105691,0.6796747967479675,0.6829268292682927,0.6757575757575758,0.6769731489015459,0.6634146341463415,0.6813008130081301,0.6886178861788618,0.6430894308943089,0.6520325203252032,0.6609756097560976,0.6611740473738414
bs / chronic / liblinear,0.6528455284552845,0.634959349593496,0.6739837398373983,0.7056910569105691,0.6780487804878049,0.6788617886178862,0.6717171717171717,0.677786818551668,0.667479674796748,0.6780487804878049,0.6878048780487804,0.6447154471544716,0.6536585365853659,0.6552845528455284,0.650875386199794
bs / chronic / newton_cg,0.6528455284552845,0.6341463414634146,0.675609756097561,0.7056910569105691,0.6780487804878049,0.6788617886178862,0.6707070707070707,0.677786818551668,0.667479674796748,0.6788617886178862,0.6886178861788618,0.6439024390243903,0.6536585365853659,0.6552845528455284,0.650875386199794
bs / chronic / lbfgs,0.6528455284552845,0.6341463414634146,0.6764227642276422,0.7056910569105691,0.6780487804878049,0.6796747967479675,0.6707070707070707,0.677786818551668,0.667479674796748,0.6788617886178862,0.6886178861788618,0.6430894308943089,0.6544715447154471,0.6544715447154471,0.650875386199794
bs / chronic / saga,0.6528455284552845,0.6341463414634146,0.675609756097561,0.7056910569105691,0.6780487804878049,0.6788617886178862,0.6707070707070707,0.677786818551668,0.667479674796748,0.6788617886178862,0.6886178861788618,0.6439024390243903,0.6536585365853659,0.6552845528455284,0.650875386199794
bs / acwr / liblinear,0.6560975609756098,0.6414634146341464,0.6772357723577236,0.7048780487804878,0.675609756097561,0.6813008130081301,0.6737373737373737,0.6769731489015459,0.6650406504065041,0.6764227642276422,0.6894308943089431,0.6422764227642277,0.656910569105691,0.6577235772357723,0.6560247167868177
bs / acwr / newton_cg,0.6577235772357723,0.640650406504065,0.6772357723577236,0.7048780487804878,0.6764227642276422,0.6813008130081301,0.6737373737373737,0.6769731489015459,0.667479674796748,0.6764227642276422,0.6886178861788618,0.6430894308943089,0.656910569105691,0.6577235772357723,0.654994850669413
bs / acwr / lbfgs,0.6577235772357723,0.640650406504065,0.6772357723577236,0.7048780487804878,0.675609756097561,0.6813008130081301,0.6737373737373737,0.6769731489015459,0.667479674796748,0.6764227642276422,0.6886178861788618,0.6430894308943089,0.656910569105691,0.656910569105691,0.6560247167868177
bs / acwr / saga,0.6577235772357723,0.640650406504065,0.6772357723577236,0.7048780487804878,0.6764227642276422,0.6813008130081301,0.6737373737373737,0.6769731489015459,0.667479674796748,0.6764227642276422,0.6886178861788618,0.6430894308943089,0.656910569105691,0.6577235772357723,0.6560247167868177
fs only / liblinear,0.6536585365853659,0.6430894308943089,0.6780487804878049,0.7048780487804878,0.6796747967479675,0.6739837398373983,0.6646464646464646,0.6851098454027664,0.6634146341463415,0.6804878048780488,0.6813008130081301,0.6463414634146342,0.6544715447154471,0.6626016260162602,0.6477857878475798
fs only / newton_cg,0.6536585365853659,0.6430894308943089,0.6772357723577236,0.7065040650406504,0.6796747967479675,0.6739837398373983,0.6646464646464646,0.6851098454027664,0.6634146341463415,0.6813008130081301,0.6796747967479675,0.6463414634146342,0.6544715447154471,0.6626016260162602,0.6477857878475798
fs only / lbfgs,0.6536585365853659,0.6430894308943089,0.6772357723577236,0.7065040650406504,0.6804878048780488,0.6739837398373983,0.6646464646464646,0.6851098454027664,0.6634146341463415,0.6813008130081301,0.6796747967479675,0.6463414634146342,0.6552845528455284,0.6626016260162602,0.6477857878475798
fs only / saga,0.6536585365853659,0.6430894308943089,0.6772357723577236,0.7065040650406504,0.6796747967479675,0.6739837398373983,0.6646464646464646,0.6851098454027664,0.6634146341463415,0.6813008130081301,0.6796747967479675,0.6463414634146342,0.6544715447154471,0.6626016260162602,0.6477857878475798
fs / acute / liblinear,0.656910569105691,0.6341463414634146,0.6691056910569105,0.7008130081300813,0.6796747967479675,0.6747967479674797,0.6717171717171717,0.6883645240032547,0.6560975609756098,0.683739837398374,0.6861788617886179,0.6414634146341464,0.6544715447154471,0.6585365853658537,0.6457260556127703
fs / acute / newton_cg,0.6560975609756098,0.6365853658536585,0.6699186991869919,0.7008130081300813,0.6796747967479675,0.6747967479674797,0.6717171717171717,0.6883645240032547,0.6560975609756098,0.683739837398374,0.6861788617886179,0.640650406504065,0.6544715447154471,0.6593495934959349,0.646755921730175
fs / acute / lbfgs,0.6560975609756098,0.6365853658536585,0.6699186991869919,0.7008130081300813,0.6796747967479675,0.6747967479674797,0.6717171717171717,0.6883645240032547,0.6560975609756098,0.683739837398374,0.6861788617886179,0.6422764227642277,0.6544715447154471,0.6593495934959349,0.646755921730175
fs / acute / saga,0.6560975609756098,0.6365853658536585,0.6699186991869919,0.7008130081300813,0.6796747967479675,0.6747967479674797,0.6717171717171717,0.6883645240032547,0.6560975609756098,0.683739837398374,0.6861788617886179,0.640650406504065,0.6544715447154471,0.6593495934959349,0.646755921730175
fs / chronic / liblinear,0.6552845528455284,0.6439024390243903,0.6764227642276422,0.7040650406504065,0.6764227642276422,0.6723577235772358,0.6686868686868687,0.6859235150528885,0.6642276422764227,0.6821138211382114,0.6894308943089431,0.6504065040650406,0.6528455284552845,0.656910569105691,0.6477857878475798
fs / chronic / newton_cg,0.6560975609756098,0.6430894308943089,0.6764227642276422,0.7040650406504065,0.6764227642276422,0.6731707317073171,0.6676767676767676,0.6859235150528885,0.6642276422764227,0.6821138211382114,0.6894308943089431,0.6504065040650406,0.6520325203252032,0.6560975609756098,0.6477857878475798
fs / chronic / lbfgs,0.6560975609756098,0.6430894308943089,0.6764227642276422,0.7040650406504065,0.6764227642276422,0.6731707317073171,0.6676767676767676,0.6859235150528885,0.6642276422764227,0.6821138211382114,0.6894308943089431,0.6504065040650406,0.6528455284552845,0.656910569105691,0.6477857878475798
fs / chronic / saga,0.6560975609756098,0.6430894308943089,0.6764227642276422,0.7040650406504065,0.6764227642276422,0.6731707317073171,0.6676767676767676,0.6859235150528885,0.6642276422764227,0.6821138211382114,0.6894308943089431,0.6504065040650406,0.6520325203252032,0.6560975609756098,0.6477857878475798
fs / acwr / liblinear,0.6601626016260163,0.6365853658536585,0.6715447154471544,0.7024390243902439,0.683739837398374,0.6731707317073171,0.6696969696969697,0.6834825061025224,0.6609756097560976,0.6845528455284553,0.6821138211382114,0.6479674796747967,0.656910569105691,0.6601626016260163,0.646755921730175
fs / acwr / newton_cg,0.6601626016260163,0.6365853658536585,0.6731707317073171,0.7016260162601626,0.6829268292682927,0.6731707317073171,0.6696969696969697,0.6834825061025224,0.6601626016260163,0.6845528455284553,0.683739837398374,0.6479674796747967,0.656910569105691,0.6601626016260163,0.6477857878475798
fs / acwr / lbfgs,0.6601626016260163,0.6365853658536585,0.6731707317073171,0.7016260162601626,0.6829268292682927,0.6731707317073171,0.6696969696969697,0.6834825061025224,0.6601626016260163,0.6845528455284553,0.683739837398374,0.6479674796747967,0.656910569105691,0.6601626016260163,0.6477857878475798
fs / acwr / saga,0.6601626016260163,0.6365853658536585,0.6731707317073171,0.7016260162601626,0.6829268292682927,0.6731707317073171,0.6696969696969697,0.6834825061025224,0.6601626016260163,0.6845528455284553,0.683739837398374,0.6479674796747967,0.656910569105691,0.6601626016260163,0.6477857878475798
bf only / liblinear,0.6560975609756098,0.6463414634146342,0.6699186991869919,0.6934959349593496,0.6804878048780488,0.683739837398374,0.6696969696969697,0.6753458096013019,0.6609756097560976,0.675609756097561,0.691869918699187,0.6398373983739838,0.6552845528455284,0.6609756097560976,0.6539649845520082
bf only / newton_cg,0.6552845528455284,0.6487804878048781,0.6699186991869919,0.6934959349593496,0.6804878048780488,0.683739837398374,0.6696969696969697,0.6745321399511798,0.6609756097560976,0.6764227642276422,0.691869918699187,0.6398373983739838,0.6552845528455284,0.6617886178861788,0.6539649845520082
bf only / lbfgs,0.6552845528455284,0.6487804878048781,0.6691056910569105,0.6934959349593496,0.6804878048780488,0.683739837398374,0.6696969696969697,0.6745321399511798,0.6609756097560976,0.675609756097561,0.691869918699187,0.6398373983739838,0.6552845528455284,0.6609756097560976,0.6539649845520082
bf only / saga,0.6552845528455284,0.6487804878048781,0.6699186991869919,0.6934959349593496,0.6804878048780488,0.683739837398374,0.6696969696969697,0.6745321399511798,0.6609756097560976,0.6764227642276422,0.691869918699187,0.6398373983739838,0.6552845528455284,0.6617886178861788,0.6539649845520082
bf / acute / liblinear,0.6536585365853659,0.6365853658536585,0.6666666666666666,0.6951219512195121,0.6878048780487804,0.6723577235772358,0.6707070707070707,0.6834825061025224,0.6634146341463415,0.6739837398373983,0.6934959349593496,0.6398373983739838,0.6593495934959349,0.6536585365853659,0.6560247167868177
bf / acute / newton_cg,0.6544715447154471,0.6365853658536585,0.667479674796748,0.6951219512195121,0.6878048780487804,0.6723577235772358,0.6707070707070707,0.6834825061025224,0.6626016260162602,0.6739837398373983,0.6926829268292682,0.6398373983739838,0.6601626016260163,0.6536585365853659,0.6560247167868177
bf / acute / lbfgs,0.6544715447154471,0.6365853658536585,0.667479674796748,0.6951219512195121,0.6878048780487804,0.6723577235772358,0.6707070707070707,0.6834825061025224,0.6634146341463415,0.6739837398373983,0.6926829268292682,0.6398373983739838,0.6593495934959349,0.6536585365853659,0.6560247167868177
