Date,Home Team,Away Team,Result,Overtime,Season
10/11/2016 08:00,Miami Heat,Chicago Bulls,95 - 98,,2016-2017
10/11/2016 08:00,Milwaukee Bucks,New Orleans Pelicans,106 - 112,,2016-2017
10/11/2016 09:00,Denver Nuggets,Golden State Warriors,101 - 125,,2016-2017
10/11/2016 10:30,Sacramento Kings,Los Angeles Lakers,91 - 101,,2016-2017
11/11/2016 07:00,Charlotte Hornets,Toronto Raptors,111 - 113,,2016-2017
11/11/2016 07:00,Orlando Magic,Utah Jazz,74 - 87,,2016-2017
11/11/2016 07:00,Philadelphia 76ers,Indiana Pacers,109 - 105,OT,2016-2017
11/11/2016 07:00,Washington Wizards,Cleveland Cavaliers,94 - 105,,2016-2017
11/11/2016 07:30,Boston Celtics,New York Knicks,115 - 87,,2016-2017
11/11/2016 08:00,Oklahoma City Thunder,Los Angeles Clippers,108 - 110,,2016-2017
11/11/2016 08:30,San Antonio Spurs,Detroit Pistons,96 - 86,,2016-2017
11/11/2016 10:00,Portland Trail Blazers,Sacramento Kings,122 - 120,OT,2016-2017
12/11/2016 07:00,Indiana Pacers,Boston Celtics,99 - 105,,2016-2017
12/11/2016 07:00,New Orleans Pelicans,Los Angeles Lakers,99 - 126,,2016-2017
12/11/2016 07:30,Atlanta Hawks,Philadelphia 76ers,117 - 96,,2016-2017
12/11/2016 07:30,Toronto Raptors,New York Knicks,118 - 107,,2016-2017
12/11/2016 08:00,Chicago Bulls,Washington Wizards,106 - 95,,2016-2017
12/11/2016 08:00,Houston Rockets,San Antonio Spurs,100 - 106,,2016-2017
12/11/2016 08:00,Miami Heat,Utah Jazz,91 - 102,,2016-2017
12/11/2016 08:00,Minnesota Timberwolves,Los Angeles Clippers,105 - 119,,2016-2017
12/11/2016 08:30,Milwaukee Bucks,Memphis Grizzlies,106 - 96,,2016-2017
12/11/2016 09:00,Denver Nuggets,Detroit Pistons,95 - 106,,2016-2017
12/11/2016 09:00,Phoenix Suns,Brooklyn Nets,104 - 122,,2016-2017
13/11/2016 03:30,Cleveland Cavaliers,Charlotte Hornets,100 - 93,,2016-2017
13/11/2016 07:00,Minnesota Timberwolves,Los Angeles Lakers,125 - 99,,2016-2017
13/11/2016 07:00,Oklahoma City Thunder,Orlando Magic,117 - 119,,2016-2017
13/11/2016 08:00,Golden State Warriors,Phoenix Suns,133 - 120,,2016-2017
13/11/2016 09:00,Portland Trail Blazers,Denver Nuggets,112 - 105,,2016-2017
14/11/2016 07:00,Indiana Pacers,Orlando Magic,88 - 69,,2016-2017
14/11/2016 07:30,Detroit Pistons,Oklahoma City Thunder,104 - 88,,2016-2017
14/11/2016 07:30,New York Knicks,Dallas Mavericks,93 - 77,,2016-2017
14/11/2016 08:00,Houston Rockets,Philadelphia 76ers,115 - 88,,2016-2017
14/11/2016 08:00,New Orleans Pelicans,Boston Celtics,106 - 105,,2016-2017
14/11/2016 08:30,San Antonio Spurs,Miami Heat,94 - 90,,2016-2017
14/11/2016 09:00,Utah Jazz,Memphis Grizzlies,96 - 102,,2016-2017
14/11/2016 10:30,Los Angeles Clippers,Brooklyn Nets,127 - 95,,2016-2017
15/11/2016 07:00,Cleveland Cavaliers,Toronto Raptors,121 - 117,,2016-2017
15/11/2016 07:30,Miami Heat,Atlanta Hawks,90 - 93,,2016-2017
15/11/2016 08:00,Minnesota Timberwolves,Charlotte Hornets,108 - 115,,2016-2017
15/11/2016 10:00,Portland Trail Blazers,Chicago Bulls,88 - 113,,2016-2017
15/11/2016 10:30,Los Angeles Lakers,Brooklyn Nets,125 - 118,,2016-2017
16/11/2016 07:00,Indiana Pacers,Cleveland Cavaliers,103 - 93,,2016-2017
16/11/2016 07:00,Orlando Magic,New Orleans Pelicans,89 - 82,,2016-2017
16/11/2016 07:00,Philadelphia 76ers,Washington Wizards,109 - 102,,2016-2017
16/11/2016 07:30,Atlanta Hawks,Milwaukee Bucks,107 - 100,,2016-2017
16/11/2016 07:30,Boston Celtics,Dallas Mavericks,90 - 83,,2016-2017
16/11/2016 07:30,New York Knicks,Detroit Pistons,105 - 102,,2016-2017
16/11/2016 08:00,Oklahoma City Thunder,Houston Rockets,105 - 103,,2016-2017
16/11/2016 08:00,Toronto Raptors,Golden State Warriors,121 - 127,,2016-2017
16/11/2016 09:00,Denver Nuggets,Phoenix Suns,120 - 104,,2016-2017
16/11/2016 10:30,Los Angeles Clippers,Memphis Grizzlies,107 - 111,,2016-2017
16/11/2016 10:30,Sacramento Kings,San Antonio Spurs,105 - 110,,2016-2017
17/11/2016 07:00,Washington Wizards,New York Knicks,119 - 112,,2016-2017
17/11/2016 07:30,Miami Heat,Milwaukee Bucks,96 - 73,,2016-2017
17/11/2016 08:00,Houston Rockets,Portland Trail Blazers,126 - 109,,2016-2017
17/11/2016 08:00,Minnesota Timberwolves,Philadelphia 76ers,110 - 86,,2016-2017
17/11/2016 10:30,Utah Jazz,Chicago Bulls,77 - 85,,2016-2017
18/11/2016 07:00,Charlotte Hornets,Atlanta Hawks,100 - 96,,2016-2017
18/11/2016 07:00,Indiana Pacers,Phoenix Suns,96 - 116,,2016-2017
18/11/2016 07:30,Cleveland Cavaliers,Detroit Pistons,104 - 81,,2016-2017
18/11/2016 08:00,Boston Celtics,Golden State Warriors,88 - 104,,2016-2017
18/11/2016 08:00,New Orleans Pelicans,Portland Trail Blazers,113 - 101,,2016-2017
18/11/2016 08:00,Oklahoma City Thunder,Brooklyn Nets,124 - 105,,2016-2017
18/11/2016 08:30,Dallas Mavericks,Memphis Grizzlies,64 - 80,,2016-2017
18/11/2016 09:00,Denver Nuggets,Toronto Raptors,111 - 113,OT,2016-2017
18/11/2016 10:30,Los Angeles Lakers,San Antonio Spurs,107 - 116,,2016-2017
18/11/2016 10:30,Sacramento Kings,Los Angeles Clippers,115 - 121,,2016-2017
19/11/2016 05:00,Houston Rockets,Utah Jazz,111 - 102,,2016-2017
19/11/2016 07:00,Detroit Pistons,Boston Celtics,92 - 94,,2016-2017
19/11/2016 07:00,New Orleans Pelicans,Charlotte Hornets,121 - 116,OT,2016-2017
19/11/2016 07:00,Orlando Magic,Dallas Mavericks,95 - 87,,2016-2017
19/11/2016 07:00,Washington Wizards,Miami Heat,111 - 114,,2016-2017
19/11/2016 07:30,Philadelphia 76ers,Phoenix Suns,120 - 105,,2016-2017
19/11/2016 08:00,Memphis Grizzlies,Minnesota Timberwolves,93 - 71,,2016-2017
19/11/2016 08:30,Milwaukee Bucks,Golden State Warriors,121 - 124,,2016-2017
19/11/2016 10:30,Los Angeles Clippers,Chicago Bulls,102 - 95,,2016-2017
20/11/2016 12:00,New York Knicks,Atlanta Hawks,104 - 94,,2016-2017
20/11/2016 03:30,Brooklyn Nets,Portland Trail Blazers,109 - 129,,2016-2017
20/11/2016 07:00,Oklahoma City Thunder,Indiana Pacers,111 - 115,OT,2016-2017
20/11/2016 09:00,Denver Nuggets,Utah Jazz,105 - 91,,2016-2017
20/11/2016 09:00,Sacramento Kings,Toronto Raptors,102 - 99,,2016-2017
20/11/2016 09:30,Los Angeles Lakers,Chicago Bulls,110 - 118,,2016-2017
21/11/2016 07:00,Charlotte Hornets,Memphis Grizzlies,90 - 105,,2016-2017
21/11/2016 07:00,Indiana Pacers,Golden State Warriors,83 - 120,,2016-2017
21/11/2016 07:00,Philadelphia 76ers,Miami Heat,101 - 94,,2016-2017
21/11/2016 07:00,Washington Wizards,Phoenix Suns,106 - 101,,2016-2017
21/11/2016 07:30,Detroit Pistons,Houston Rockets,96 - 99,,2016-2017
21/11/2016 08:00,Milwaukee Bucks,Orlando Magic,93 - 89,,2016-2017
21/11/2016 08:00,Minnesota Timberwolves,Boston Celtics,93 - 99,,2016-2017
21/11/2016 08:30,San Antonio Spurs,Dallas Mavericks,96 - 91,,2016-2017
21/11/2016 10:30,Los Angeles Clippers,Toronto Raptors,123 - 115,,2016-2017
22/11/2016 07:30,Atlanta Hawks,New Orleans Pelicans,94 - 112,,2016-2017
22/11/2016 07:30,New York Knicks,Portland Trail Blazers,107 - 103,,2016-2017
22/11/2016 09:00,Denver Nuggets,Chicago Bulls,110 - 107,,2016-2017
22/11/2016 10:30,Los Angeles Lakers,Oklahoma City Thunder,111 - 109,,2016-2017
23/11/2016 07:00,Charlotte Hornets,San Antonio Spurs,114 - 119,,2016-2017
23/11/2016 07:00,Cleveland Cavaliers,Portland Trail Blazers,137 - 125,,2016-2017
23/11/2016 07:00,Indiana Pacers,Atlanta Hawks,85 - 96,,2016-2017
23/11/2016 07:00,Orlando Magic,Phoenix Suns,87 - 92,,2016-2017
23/11/2016 07:00,Philadelphia 76ers,Memphis Grizzlies,99 - 104,2OT,2016-2017
23/11/2016 07:30,Brooklyn Nets,Boston Celtics,92 - 111,,2016-2017
23/11/2016 07:30,Detroit Pistons,Miami Heat,107 - 84,,2016-2017
23/11/2016 08:00,Houston Rockets,Toronto Raptors,102 - 115,,2016-2017
23/11/2016 08:30,Dallas Mavericks,Los Angeles Clippers,104 - 124,,2016-2017
23/11/2016 09:00,Utah Jazz,Denver Nuggets,108 - 83,,2016-2017
23/11/2016 09:30,New Orleans Pelicans,Minnesota Timberwolves,117 - 96,,2016-2017
23/11/2016 10:30,Golden State Warriors,Los Angeles Lakers,149 - 106,,2016-2017
23/11/2016 10:30,Sacramento Kings,Oklahoma City Thunder,116 - 101,,2016-2017
25/11/2016 01:00,Boston Celtics,San Antonio Spurs,103 - 109,,2016-2017
25/11/2016 07:00,Orlando Magic,Washington Wizards,91 - 94,,2016-2017
25/11/2016 07:30,Cleveland Cavaliers,Dallas Mavericks,128 - 90,,2016-2017
25/11/2016 07:30,Detroit Pistons,Los Angeles Clippers,108 - 97,,2016-2017
25/11/2016 07:30,New York Knicks,Charlotte Hornets,113 - 111,OT,2016-2017
25/11/2016 07:30,Philadelphia 76ers,Chicago Bulls,89 - 105,,2016-2017
25/11/2016 08:00,Indiana Pacers,Brooklyn Nets,118 - 97,,2016-2017
25/11/2016 08:00,Memphis Grizzlies,Miami Heat,81 - 90,,2016-2017
25/11/2016 08:00,Milwaukee Bucks,Toronto Raptors,99 - 105,,2016-2017
25/11/2016 08:00,Utah Jazz,Atlanta Hawks,95 - 68,,2016-2017
25/11/2016 09:00,Denver Nuggets,Oklahoma City Thunder,129 - 132,OT,2016-2017
25/11/2016 09:00,Phoenix Suns,Minnesota Timberwolves,85 - 98,,2016-2017
25/11/2016 10:00,Portland Trail Blazers,New Orleans Pelicans,119 - 104,,2016-2017
25/11/2016 10:30,Los Angeles Lakers,Golden State Warriors,85 - 109,,2016-2017
25/11/2016 10:30,Sacramento Kings,Houston Rockets,104 - 117,,2016-2017
26/11/2016 07:00,Charlotte Hornets,New York Knicks,107 - 102,,2016-2017
26/11/2016 07:00,Washington Wizards,San Antonio Spurs,100 - 112,,2016-2017
26/11/2016 08:00,Miami Heat,Memphis Grizzlies,107 - 110,,2016-2017
26/11/2016 08:00,Oklahoma City Thunder,Detroit Pistons,106 - 88,,2016-2017
26/11/2016 10:30,Golden State Warriors,Minnesota Timberwolves,115 - 102,,2016-2017
27/11/2016 01:00,Philadelphia 76ers,Cleveland Cavaliers,108 - 112,,2016-2017
27/11/2016 03:30,Phoenix Suns,Denver Nuggets,114 - 120,,2016-2017
27/11/2016 06:00,Brooklyn Nets,Sacramento Kings,105 - 122,,2016-2017
27/11/2016 06:00,Indiana Pacers,Los Angeles Clippers,91 - 70,,2016-2017
27/11/2016 06:00,Orlando Magic,Milwaukee Bucks,96 - 104,,2016-2017
27/11/2016 07:00,Dallas Mavericks,New Orleans Pelicans,91 - 81,,2016-2017
27/11/2016 09:00,Portland Trail Blazers,Houston Rockets,114 - 130,,2016-2017
27/11/2016 09:30,Los Angeles Lakers,Atlanta Hawks,109 - 94,,2016-2017
28/11/2016 07:00,Washington Wizards,Sacramento Kings,101 - 95,OT,2016-2017
28/11/2016 07:30,Miami Heat,Boston Celtics,104 - 112,,2016-2017
28/11/2016 07:30,New York Knicks,Oklahoma City Thunder,103 - 112,,2016-2017
28/11/2016 07:30,Toronto Raptors,Philadelphia 76ers,122 - 95,,2016-2017
28/11/2016 08:00,Memphis Grizzlies,Charlotte Hornets,85 - 104,,2016-2017
28/11/2016 08:00,Minnesota Timberwolves,Utah Jazz,103 - 112,,2016-2017
28/11/2016 10:30,Golden State Warriors,Atlanta Hawks,105 - 100,,2016-2017
29/11/2016 07:00,Charlotte Hornets,Detroit Pistons,89 - 112,,2016-2017
29/11/2016 07:30,Brooklyn Nets,Los Angeles Clippers,127 - 122,2OT,2016-2017
29/11/2016 08:00,Milwaukee Bucks,Cleveland Cavaliers,118 - 101,,2016-2017
29/11/2016 08:00,New Orleans Pelicans,Los Angeles Lakers,105 - 88,,2016-2017
29/11/2016 08:30,San Antonio Spurs,Orlando Magic,83 - 95,,2016-2017
29/11/2016 09:00,Utah Jazz,Houston Rockets,120 - 101,,2016-2017
30/11/2016 07:30,Boston Celtics,Detroit Pistons,114 - 121,,2016-2017
30/11/2016 07:30,Toronto Raptors,Memphis Grizzlies,120 - 105,,2016-2017
30/11/2016 08:00,Chicago Bulls,Los Angeles Lakers,90 - 96,,2016-2017
30/11/2016 08:00,Minnesota Timberwolves,New York Knicks,104 - 106,,2016-2017
30/11/2016 08:00,Oklahoma City Thunder,Washington Wizards,126 - 115,OT,2016-2017
30/11/2016 08:30,Dallas Mavericks,San Antonio Spurs,87 - 94,,2016-2017
30/11/2016 09:00,Denver Nuggets,Miami Heat,98 - 106,,2016-2017
30/11/2016 09:00,Phoenix Suns,Atlanta Hawks,109 - 107,,2016-2017
30/11/2016 10:00,Portland Trail Blazers,Indiana Pacers,131 - 109,,2016-2017
01/12/2016 07:00,Charlotte Hornets,Dallas Mavericks,97 - 87,,2016-2017
01/12/2016 07:30,Brooklyn Nets,Milwaukee Bucks,93 - 111,,2016-2017
01/12/2016 08:00,Cleveland Cavaliers,Los Angeles Clippers,94 - 113,,2016-2017
01/12/2016 08:00,Memphis Grizzlies,Orlando Magic,95 - 94,,2016-2017
01/12/2016 09:00,Utah Jazz,Miami Heat,110 - 111,,2016-2017
01/12/2016 10:30,Golden State Warriors,Houston Rockets,127 - 132,2OT,2016-2017
02/12/2016 07:00,Philadelphia 76ers,Orlando Magic,88 - 105,,2016-2017
02/12/2016 07:30,Boston Celtics,Sacramento Kings,97 - 92,,2016-2017
02/12/2016 07:30,New York Knicks,Minnesota Timberwolves,118 - 114,,2016-2017
02/12/2016 07:30,Toronto Raptors,Los Angeles Lakers,113 - 80,,2016-2017
02/12/2016 08:00,Atlanta Hawks,Detroit Pistons,85 - 121,,2016-2017
02/12/2016 08:00,Chicago Bulls,Cleveland Cavaliers,111 - 105,,2016-2017
02/12/2016 08:00,New Orleans Pelicans,Los Angeles Clippers,96 - 114,,2016-2017
02/12/2016 08:30,San Antonio Spurs,Washington Wizards,107 - 105,,2016-2017
02/12/2016 10:30,Denver Nuggets,Houston Rockets,110 - 128,,2016-2017
03/12/2016 05:00,Milwaukee Bucks,Brooklyn Nets,112 - 103,,2016-2017
03/12/2016 07:00,Charlotte Hornets,Minnesota Timberwolves,120 - 125,OT,2016-2017
03/12/2016 07:30,Philadelphia 76ers,Boston Celtics,106 - 107,,2016-2017
03/12/2016 07:30,Toronto Raptors,Atlanta Hawks,128 - 84,,2016-2017
03/12/2016 08:00,Memphis Grizzlies,Los Angeles Lakers,103 - 100,,2016-2017
03/12/2016 08:30,Dallas Mavericks,Chicago Bulls,107 - 82,,2016-2017
03/12/2016 09:00,Utah Jazz,Denver Nuggets,105 - 98,,2016-2017
03/12/2016 10:00,Portland Trail Blazers,Miami Heat,99 - 92,,2016-2017
03/12/2016 10:30,Golden State Warriors,Phoenix Suns,138 - 109,,2016-2017
04/12/2016 06:00,Detroit Pistons,Orlando Magic,92 - 98,,2016-2017
04/12/2016 07:00,Oklahoma City Thunder,New Orleans Pelicans,101 - 92,,2016-2017
04/12/2016 07:30,New York Knicks,Sacramento Kings,106 - 98,,2016-2017
04/12/2016 09:30,Los Angeles Clippers,Indiana Pacers,102 - 111,,2016-2017
05/12/2016 07:00,Philadelphia 76ers,Denver Nuggets,98 - 106,,2016-2017
05/12/2016 07:30,Atlanta Hawks,Oklahoma City Thunder,99 - 102,,2016-2017
05/12/2016 07:30,Brooklyn Nets,Washington Wizards,113 - 118,,2016-2017
05/12/2016 07:30,Toronto Raptors,Cleveland Cavaliers,112 - 116,,2016-2017
05/12/2016 08:00,Chicago Bulls,Portland Trail Blazers,110 - 112,,2016-2017
05/12/2016 08:00,Houston Rockets,Boston Celtics,107 - 106,,2016-2017
05/12/2016 08:00,Milwaukee Bucks,San Antonio Spurs,96 - 97,,2016-2017
05/12/2016 08:00,New Orleans Pelicans,Memphis Grizzlies,108 - 110,2OT,2016-2017
05/12/2016 08:30,Dallas Mavericks,Charlotte Hornets,101 - 109,,2016-2017
05/12/2016 10:30,Golden State Warriors,Indiana Pacers,142 - 106,,2016-2017
05/12/2016 10:30,Los Angeles Lakers,Utah Jazz,101 - 107,,2016-2017
06/12/2016 07:00,Washington Wizards,Orlando Magic,116 - 124,,2016-2017
06/12/2016 07:30,Detroit Pistons,Chicago Bulls,102 - 91,,2016-2017
06/12/2016 07:30,Miami Heat,New York Knicks,103 - 114,,2016-2017
06/12/2016 08:00,Memphis Grizzlies,Philadelphia 76ers,96 - 91,,2016-2017
06/12/2016 08:00,Minnesota Timberwolves,San Antonio Spurs,91 - 105,,2016-2017
06/12/2016 09:00,Utah Jazz,Phoenix Suns,112 - 105,,2016-2017
07/12/2016 07:00,Charlotte Hornets,Detroit Pistons,87 - 77,,2016-2017
07/12/2016 07:00,Orlando Magic,Boston Celtics,87 - 117,,2016-2017
