Date,Home Team,Away Team,Result,Overtime,Season
25/10/2016 07:30,Cleveland Cavaliers,New York Knicks,117 - 88,,2016-2017
25/10/2016 10:00,Portland Trail Blazers,Utah Jazz,113 - 104,,2016-2017
25/10/2016 10:30,Golden State Warriors,San Antonio Spurs,100 - 129,,2016-2017
26/10/2016 07:00,Indiana Pacers,Dallas Mavericks,130 - 121,OT,2016-2017
26/10/2016 07:00,Orlando Magic,Miami Heat,96 - 108,,2016-2017
26/10/2016 07:30,Toronto Raptors,Detroit Pistons,109 - 91,,2016-2017
26/10/2016 07:30,Boston Celtics,Brooklyn Nets,122 - 117,,2016-2017
26/10/2016 08:00,Milwaukee Bucks,Charlotte Hornets,96 - 107,,2016-2017
26/10/2016 08:00,New Orleans Pelicans,Denver Nuggets,102 - 107,,2016-2017
26/10/2016 08:00,Memphis Grizzlies,Minnesota Timberwolves,102 - 98,,2016-2017
26/10/2016 08:00,Philadelphia 76ers,Oklahoma City Thunder,97 - 103,,2016-2017
26/10/2016 10:00,Phoenix Suns,Sacramento Kings,94 - 113,,2016-2017
26/10/2016 10:30,Los Angeles Lakers,Houston Rockets,120 - 114,,2016-2017
27/10/2016 07:30,Atlanta Hawks,Washington Wizards,114 - 99,,2016-2017
27/10/2016 08:00,Chicago Bulls,Boston Celtics,105 - 99,,2016-2017
27/10/2016 10:30,Portland Trail Blazers,Los Angeles Clippers,106 - 114,,2016-2017
27/10/2016 10:30,Sacramento Kings,San Antonio Spurs,94 - 102,,2016-2017
28/10/2016 07:00,Toronto Raptors,Cleveland Cavaliers,91 - 94,,2016-2017
28/10/2016 07:30,Brooklyn Nets,Indiana Pacers,103 - 94,,2016-2017
28/10/2016 07:30,Detroit Pistons,Orlando Magic,108 - 82,,2016-2017
28/10/2016 08:00,Oklahoma City Thunder,Phoenix Suns,113 - 110,OT,2016-2017
28/10/2016 08:00,Miami Heat,Charlotte Hornets,91 - 97,,2016-2017
28/10/2016 08:30,Dallas Mavericks,Houston Rockets,98 - 106,,2016-2017
28/10/2016 09:00,Utah Jazz,Los Angeles Lakers,96 - 89,,2016-2017
28/10/2016 09:30,New Orleans Pelicans,Golden State Warriors,114 - 122,,2016-2017
29/10/2016 12:30,Philadelphia 76ers,Atlanta Hawks,72 - 104,,2016-2017
29/10/2016 07:00,Charlotte Hornets,Boston Celtics,98 - 104,,2016-2017
29/10/2016 07:30,Cleveland Cavaliers,Orlando Magic,105 - 99,,2016-2017
29/10/2016 07:30,New York Knicks,Memphis Grizzlies,111 - 104,,2016-2017
29/10/2016 08:00,San Antonio Spurs,New Orleans Pelicans,98 - 79,,2016-2017
29/10/2016 08:00,Milwaukee Bucks,Brooklyn Nets,110 - 108,,2016-2017
29/10/2016 08:00,Chicago Bulls,Indiana Pacers,118 - 101,,2016-2017
29/10/2016 09:00,Denver Nuggets,Portland Trail Blazers,113 - 115,OT,2016-2017
29/10/2016 10:30,Sacramento Kings,Minnesota Timberwolves,106 - 103,,2016-2017
30/10/2016 04:30,Los Angeles Clippers,Utah Jazz,88 - 75,,2016-2017
30/10/2016 06:00,Detroit Pistons,Milwaukee Bucks,98 - 83,,2016-2017
30/10/2016 06:00,Miami Heat,San Antonio Spurs,99 - 106,,2016-2017
30/10/2016 06:00,Phoenix Suns,Golden State Warriors,100 - 106,,2016-2017
30/10/2016 07:00,Oklahoma City Thunder,Los Angeles Lakers,113 - 96,,2016-2017
30/10/2016 08:00,Houston Rockets,Dallas Mavericks,93 - 92,,2016-2017
30/10/2016 08:00,Memphis Grizzlies,Washington Wizards,112 - 103,OT,2016-2017
31/10/2016 07:30,Atlanta Hawks,Sacramento Kings,106 - 95,,2016-2017
31/10/2016 07:30,Brooklyn Nets,Chicago Bulls,88 - 118,,2016-2017
31/10/2016 07:30,Toronto Raptors,Denver Nuggets,105 - 102,,2016-2017
31/10/2016 10:30,Los Angeles Clippers,Phoenix Suns,116 - 98,,2016-2017
01/11/2016 06:00,Cleveland Cavaliers,Houston Rockets,128 - 120,,2016-2017
01/11/2016 07:00,Indiana Pacers,Los Angeles Lakers,115 - 108,,2016-2017
01/11/2016 07:00,Philadelphia 76ers,Orlando Magic,101 - 103,,2016-2017
01/11/2016 07:30,Detroit Pistons,New York Knicks,102 - 89,,2016-2017
01/11/2016 07:30,Miami Heat,Sacramento Kings,108 - 96,OT,2016-2017
01/11/2016 08:00,Minnesota Timberwolves,Memphis Grizzlies,116 - 80,,2016-2017
01/11/2016 08:00,New Orleans Pelicans,Milwaukee Bucks,113 - 117,,2016-2017
01/11/2016 08:30,San Antonio Spurs,Utah Jazz,91 - 106,,2016-2017
01/11/2016 10:00,Portland Trail Blazers,Golden State Warriors,104 - 127,,2016-2017
02/11/2016 07:00,Charlotte Hornets,Philadelphia 76ers,109 - 93,,2016-2017
02/11/2016 07:00,Washington Wizards,Toronto Raptors,103 - 113,,2016-2017
02/11/2016 07:30,Atlanta Hawks,Los Angeles Lakers,116 - 123,,2016-2017
02/11/2016 07:30,Brooklyn Nets,Detroit Pistons,109 - 101,,2016-2017
02/11/2016 07:30,New York Knicks,Houston Rockets,99 - 118,,2016-2017
02/11/2016 08:00,Boston Celtics,Chicago Bulls,107 - 100,,2016-2017
02/11/2016 08:00,Memphis Grizzlies,New Orleans Pelicans,89 - 83,OT,2016-2017
02/11/2016 09:00,Utah Jazz,Dallas Mavericks,97 - 81,,2016-2017
02/11/2016 10:00,Phoenix Suns,Portland Trail Blazers,118 - 115,OT,2016-2017
02/11/2016 10:30,Los Angeles Clippers,Oklahoma City Thunder,83 - 85,,2016-2017
03/11/2016 07:00,Orlando Magic,Sacramento Kings,102 - 94,,2016-2017
03/11/2016 08:00,Cleveland Cavaliers,Boston Celtics,128 - 122,,2016-2017
03/11/2016 08:00,Milwaukee Bucks,Indiana Pacers,125 - 107,,2016-2017
03/11/2016 08:00,Minnesota Timberwolves,Denver Nuggets,99 - 102,,2016-2017
03/11/2016 10:30,Golden State Warriors,Oklahoma City Thunder,122 - 96,,2016-2017
04/11/2016 07:00,Washington Wizards,Atlanta Hawks,95 - 92,,2016-2017
04/11/2016 07:30,Brooklyn Nets,Charlotte Hornets,95 - 99,,2016-2017
04/11/2016 07:30,Toronto Raptors,Miami Heat,96 - 87,,2016-2017
04/11/2016 08:00,Chicago Bulls,New York Knicks,104 - 117,,2016-2017
04/11/2016 08:00,Memphis Grizzlies,Los Angeles Clippers,88 - 99,,2016-2017
04/11/2016 08:00,New Orleans Pelicans,Phoenix Suns,111 - 112,OT,2016-2017
04/11/2016 08:30,Dallas Mavericks,Portland Trail Blazers,95 - 105,,2016-2017
04/11/2016 09:00,Utah Jazz,San Antonio Spurs,86 - 100,,2016-2017
04/11/2016 10:30,Los Angeles Lakers,Golden State Warriors,117 - 97,,2016-2017
05/11/2016 06:00,Oklahoma City Thunder,Minnesota Timberwolves,112 - 92,,2016-2017
05/11/2016 07:00,Detroit Pistons,Denver Nuggets,103 - 86,,2016-2017
05/11/2016 07:00,Indiana Pacers,Chicago Bulls,111 - 94,,2016-2017
05/11/2016 07:00,Orlando Magic,Washington Wizards,88 - 86,,2016-2017
05/11/2016 07:00,Philadelphia 76ers,Cleveland Cavaliers,101 - 102,,2016-2017
05/11/2016 07:30,Atlanta Hawks,Houston Rockets,112 - 97,,2016-2017
05/11/2016 08:00,Milwaukee Bucks,Sacramento Kings,117 - 91,,2016-2017
05/11/2016 08:30,San Antonio Spurs,Los Angeles Clippers,92 - 116,,2016-2017
06/11/2016 12:00,New York Knicks,Utah Jazz,109 - 114,,2016-2017
06/11/2016 03:30,Memphis Grizzlies,Portland Trail Blazers,94 - 100,,2016-2017
06/11/2016 06:00,Toronto Raptors,Sacramento Kings,91 - 96,,2016-2017
06/11/2016 07:00,Dallas Mavericks,Milwaukee Bucks,86 - 75,OT,2016-2017
06/11/2016 07:30,Boston Celtics,Denver Nuggets,107 - 123,,2016-2017
06/11/2016 09:30,Los Angeles Lakers,Phoenix Suns,119 - 108,,2016-2017
07/11/2016 07:00,Charlotte Hornets,Indiana Pacers,122 - 100,,2016-2017
07/11/2016 07:00,Philadelphia 76ers,Utah Jazz,84 - 109,,2016-2017
07/11/2016 07:00,Washington Wizards,Houston Rockets,106 - 114,,2016-2017
07/11/2016 08:00,Chicago Bulls,Orlando Magic,112 - 80,,2016-2017
07/11/2016 08:00,Oklahoma City Thunder,Miami Heat,97 - 85,,2016-2017
07/11/2016 10:30,Golden State Warriors,New Orleans Pelicans,116 - 106,,2016-2017
07/11/2016 10:30,Los Angeles Clippers,Detroit Pistons,114 - 82,,2016-2017
08/11/2016 07:00,Cleveland Cavaliers,Atlanta Hawks,106 - 110,,2016-2017
08/11/2016 07:30,Brooklyn Nets,Minnesota Timberwolves,119 - 110,,2016-2017
08/11/2016 08:00,Memphis Grizzlies,Denver Nuggets,108 - 107,,2016-2017
08/11/2016 10:00,Portland Trail Blazers,Phoenix Suns,124 - 121,,2016-2017
08/11/2016 10:30,Los Angeles Lakers,Dallas Mavericks,97 - 109,,2016-2017
08/11/2016 10:30,Sacramento Kings,New Orleans Pelicans,102 - 94,,2016-2017
09/11/2016 07:00,Charlotte Hornets,Utah Jazz,104 - 98,,2016-2017
09/11/2016 07:00,Indiana Pacers,Philadelphia 76ers,122 - 115,OT,2016-2017
09/11/2016 07:00,New York Knicks,Brooklyn Nets,110 - 96,,2016-2017
09/11/2016 07:00,Orlando Magic,Minnesota Timberwolves,107 - 123,,2016-2017
09/11/2016 07:00,Washington Wizards,Boston Celtics,118 - 93,,2016-2017
09/11/2016 07:30,Atlanta Hawks,Chicago Bulls,115 - 107,,2016-2017
09/11/2016 08:00,Oklahoma City Thunder,Toronto Raptors,102 - 112,,2016-2017
09/11/2016 09:00,Phoenix Suns,Detroit Pistons,107 - 100,,2016-2017
09/11/2016 09:30,San Antonio Spurs,Houston Rockets,99 - 101,,2016-2017
09/11/2016 10:30,Golden State Warriors,Dallas Mavericks,116 - 95,,2016-2017
09/11/2016 10:30,Los Angeles Clippers,Portland Trail Blazers,111 - 80,,2016-2017
