Date,Home Team,Away Team,Result,Overtime,Season
31/10/2006 08:00,Miami Heat,Chicago Bulls,66 - 108,,2006-2007
31/10/2006 10:30,Los Angeles Lakers,Phoenix Suns,114 - 106,,2006-2007
01/11/2006 07:00,Charlotte Bobcats,Indiana Pacers,99 - 106,,2006-2007
01/11/2006 07:00,Orlando Magic,Chicago Bulls,109 - 94,,2006-2007
01/11/2006 07:00,Philadelphia 76ers,Atlanta Hawks,88 - 75,,2006-2007
01/11/2006 07:30,Boston Celtics,New Orleans/Oklahoma City Hornets,87 - 91,,2006-2007
01/11/2006 07:30,New Jersey Nets,Toronto Raptors,102 - 92,,2006-2007
01/11/2006 08:00,Cleveland Cavaliers,Washington Wizards,97 - 94,,2006-2007
01/11/2006 08:00,Detroit Pistons,Milwaukee Bucks,97 - 105,,2006-2007
01/11/2006 08:00,Memphis Grizzlies,New York Knicks,117 - 118,3OT,2006-2007
01/11/2006 08:00,Minnesota Timberwolves,Sacramento Kings,92 - 83,,2006-2007
01/11/2006 09:00,Utah Jazz,Houston Rockets,107 - 97,,2006-2007
01/11/2006 10:00,Seattle SuperSonics,Portland Trail Blazers,106 - 110,,2006-2007
01/11/2006 10:30,Golden State Warriors,Los Angeles Lakers,98 - 110,,2006-2007
01/11/2006 10:30,Phoenix Suns,Los Angeles Clippers,112 - 104,,2006-2007
02/11/2006 08:00,Dallas Mavericks,San Antonio Spurs,91 - 97,,2006-2007
02/11/2006 10:30,Los Angeles Clippers,Denver Nuggets,96 - 95,,2006-2007
03/11/2006 07:00,Indiana Pacers,New Orleans/Oklahoma City Hornets,91 - 100,,2006-2007
03/11/2006 07:00,Orlando Magic,Philadelphia 76ers,103 - 105,,2006-2007
03/11/2006 07:00,Toronto Raptors,Milwaukee Bucks,109 - 92,,2006-2007
03/11/2006 07:30,Atlanta Hawks,New York Knicks,102 - 92,,2006-2007
03/11/2006 07:30,Boston Celtics,Detroit Pistons,88 - 101,,2006-2007
03/11/2006 07:30,Miami Heat,New Jersey Nets,91 - 85,,2006-2007
03/11/2006 08:00,Memphis Grizzlies,Charlotte Bobcats,96 - 83,,2006-2007
03/11/2006 08:00,San Antonio Spurs,Cleveland Cavaliers,81 - 88,,2006-2007
03/11/2006 08:30,Chicago Bulls,Sacramento Kings,88 - 89,,2006-2007
03/11/2006 09:00,Denver Nuggets,Minnesota Timberwolves,109 - 112,,2006-2007
03/11/2006 09:00,Phoenix Suns,Utah Jazz,104 - 108,,2006-2007
03/11/2006 10:30,Golden State Warriors,Portland Trail Blazers,102 - 89,,2006-2007
03/11/2006 10:30,Los Angeles Lakers,Seattle SuperSonics,118 - 112,,2006-2007
04/11/2006 07:00,Charlotte Bobcats,Cleveland Cavaliers,92 - 88,,2006-2007
04/11/2006 07:00,Washington Wizards,Boston Celtics,124 - 117,,2006-2007
04/11/2006 07:30,Detroit Pistons,Memphis Grizzlies,95 - 86,,2006-2007
04/11/2006 07:30,New York Knicks,Indiana Pacers,95 - 109,,2006-2007
04/11/2006 08:30,Houston Rockets,Dallas Mavericks,107 - 76,,2006-2007
04/11/2006 08:30,Milwaukee Bucks,Sacramento Kings,104 - 91,,2006-2007
04/11/2006 09:00,Utah Jazz,Golden State Warriors,106 - 82,,2006-2007
04/11/2006 10:00,Portland Trail Blazers,Minnesota Timberwolves,88 - 86,,2006-2007
04/11/2006 10:30,Los Angeles Clippers,Phoenix Suns,114 - 108,,2006-2007
05/11/2006 01:00,Toronto Raptors,San Antonio Spurs,94 - 103,,2006-2007
05/11/2006 02:00,Atlanta Hawks,Orlando Magic,95 - 82,,2006-2007
05/11/2006 02:00,Philadelphia 76ers,Miami Heat,107 - 98,,2006-2007
05/11/2006 07:00,New Orleans/Oklahoma City Hornets,Houston Rockets,96 - 90,,2006-2007
05/11/2006 09:00,Seattle SuperSonics,Los Angeles Lakers,117 - 101,,2006-2007
06/11/2006 07:00,Orlando Magic,Washington Wizards,106 - 103,,2006-2007
06/11/2006 07:30,New York Knicks,San Antonio Spurs,93 - 105,,2006-2007
06/11/2006 08:30,Chicago Bulls,Milwaukee Bucks,110 - 85,,2006-2007
06/11/2006 08:30,Dallas Mavericks,Golden State Warriors,104 - 107,,2006-2007
06/11/2006 09:00,Utah Jazz,Detroit Pistons,103 - 101,,2006-2007
06/11/2006 10:00,Sacramento Kings,Minnesota Timberwolves,93 - 81,,2006-2007
06/11/2006 10:30,Los Angeles Clippers,Portland Trail Blazers,102 - 89,,2006-2007
07/11/2006 07:00,Cleveland Cavaliers,Atlanta Hawks,95 - 104,OT,2006-2007
07/11/2006 07:00,Indiana Pacers,Philadelphia 76ers,97 - 86,,2006-2007
07/11/2006 07:30,Miami Heat,Seattle SuperSonics,90 - 87,,2006-2007
07/11/2006 08:00,Memphis Grizzlies,Houston Rockets,80 - 86,,2006-2007
07/11/2006 08:00,New Orleans/Oklahoma City Hornets,Golden State Warriors,97 - 93,,2006-2007
07/11/2006 10:30,Los Angeles Lakers,Minnesota Timberwolves,95 - 88,,2006-2007
08/11/2006 07:00,Orlando Magic,Seattle SuperSonics,88 - 87,,2006-2007
08/11/2006 07:00,Toronto Raptors,Philadelphia 76ers,106 - 104,,2006-2007
08/11/2006 07:00,Washington Wizards,Indiana Pacers,117 - 91,,2006-2007
