Date,Home Team,Away Team,Result,Overtime,Season
29/10/2013 07:00,Indiana Pacers,Orlando Magic,97 - 87,,2013-2014
29/10/2013 08:00,Miami Heat,Chicago Bulls,107 - 95,,2013-2014
29/10/2013 10:30,Los Angeles Lakers,Los Angeles Clippers,116 - 103,,2013-2014
30/10/2013 07:00,Cleveland Cavaliers,Brooklyn Nets,98 - 94,,2013-2014
30/10/2013 07:00,Toronto Raptors,Boston Celtics,93 - 87,,2013-2014
30/10/2013 07:00,Philadelphia 76ers,Miami Heat,114 - 110,,2013-2014
30/10/2013 07:30,Detroit Pistons,Washington Wizards,113 - 102,,2013-2014
30/10/2013 07:30,New York Knicks,Milwaukee Bucks,90 - 83,,2013-2014
30/10/2013 08:00,New Orleans Pelicans,Indiana Pacers,90 - 95,,2013-2014
30/10/2013 08:00,Minnesota Timberwolves,Orlando Magic,120 - 115,OT,2013-2014
30/10/2013 08:00,Houston Rockets,Charlotte Bobcats,96 - 83,,2013-2014
30/10/2013 08:30,San Antonio Spurs,Memphis Grizzlies,101 - 94,,2013-2014
30/10/2013 08:30,Dallas Mavericks,Atlanta Hawks,118 - 109,,2013-2014
30/10/2013 09:00,Utah Jazz,Oklahoma City Thunder,98 - 101,,2013-2014
30/10/2013 10:00,Phoenix Suns,Portland Trail Blazers,104 - 91,,2013-2014
30/10/2013 10:00,Sacramento Kings,Denver Nuggets,90 - 88,,2013-2014
30/10/2013 10:30,Golden State Warriors,Los Angeles Lakers,125 - 94,,2013-2014
31/10/2013 08:00,Chicago Bulls,New York Knicks,82 - 81,,2013-2014
31/10/2013 10:30,Los Angeles Clippers,Golden State Warriors,126 - 115,,2013-2014
01/11/2013 07:00,Charlotte Bobcats,Cleveland Cavaliers,90 - 84,,2013-2014
01/11/2013 07:00,Orlando Magic,New Orleans Pelicans,110 - 90,,2013-2014
01/11/2013 07:00,Washington Wizards,Philadelphia 76ers,102 - 109,,2013-2014
01/11/2013 07:30,Atlanta Hawks,Toronto Raptors,102 - 95,,2013-2014
01/11/2013 07:30,Boston Celtics,Milwaukee Bucks,98 - 105,,2013-2014
01/11/2013 08:00,Brooklyn Nets,Miami Heat,101 - 100,,2013-2014
01/11/2013 08:00,Houston Rockets,Dallas Mavericks,113 - 105,,2013-2014
01/11/2013 08:00,Memphis Grizzlies,Detroit Pistons,111 - 108,OT,2013-2014
