Date,Home Team,Away Team,Result,Overtime,Season
25/12/2011 12:00,New York Knicks,Boston Celtics,106 - 104,,2011-2012
25/12/2011 02:30,Dallas Mavericks,Miami Heat,94 - 105,,2011-2012
25/12/2011 05:00,Los Angeles Lakers,Chicago Bulls,87 - 88,,2011-2012
25/12/2011 08:00,Oklahoma City Thunder,Orlando Magic,97 - 89,,2011-2012
25/12/2011 10:30,Golden State Warriors,Los Angeles Clippers,86 - 105,,2011-2012
26/12/2011 07:00,Cleveland Cavaliers,Toronto Raptors,96 - 104,,2011-2012
26/12/2011 07:00,Washington Wizards,New Jersey Nets,84 - 90,,2011-2012
26/12/2011 07:00,Orlando Magic,Houston Rockets,104 - 95,,2011-2012
26/12/2011 07:00,Indiana Pacers,Detroit Pistons,91 - 79,,2011-2012
26/12/2011 07:00,Charlotte Bobcats,Milwaukee Bucks,96 - 95,,2011-2012
26/12/2011 08:00,Minnesota Timberwolves,Oklahoma City Thunder,100 - 104,,2011-2012
26/12/2011 08:30,Dallas Mavericks,Denver Nuggets,93 - 115,,2011-2012
26/12/2011 08:30,San Antonio Spurs,Memphis Grizzlies,95 - 82,,2011-2012
26/12/2011 09:00,Phoenix Suns,New Orleans Hornets,84 - 85,,2011-2012
26/12/2011 10:00,Portland Trail Blazers,Philadelphia 76ers,107 - 103,,2011-2012
26/12/2011 10:00,Sacramento Kings,Los Angeles Lakers,100 - 91,,2011-2012
26/12/2011 10:30,Golden State Warriors,Chicago Bulls,99 - 91,,2011-2012
27/12/2011 07:30,New Jersey Nets,Atlanta Hawks,70 - 106,,2011-2012
27/12/2011 08:00,Miami Heat,Boston Celtics,115 - 107,,2011-2012
27/12/2011 08:30,Milwaukee Bucks,Minnesota Timberwolves,98 - 95,,2011-2012
27/12/2011 10:00,Portland Trail Blazers,Sacramento Kings,101 - 79,,2011-2012
27/12/2011 10:30,Los Angeles Lakers,Utah Jazz,96 - 71,,2011-2012
28/12/2011 06:00,Toronto Raptors,Indiana Pacers,85 - 90,,2011-2012
28/12/2011 07:00,Charlotte Bobcats,Miami Heat,95 - 96,,2011-2012
28/12/2011 07:30,Atlanta Hawks,Washington Wizards,101 - 83,,2011-2012
28/12/2011 07:30,Detroit Pistons,Cleveland Cavaliers,89 - 105,,2011-2012
28/12/2011 08:00,New Orleans Hornets,Boston Celtics,97 - 78,,2011-2012
28/12/2011 08:00,Memphis Grizzlies,Oklahoma City Thunder,95 - 98,,2011-2012
28/12/2011 08:30,San Antonio Spurs,Los Angeles Clippers,115 - 90,,2011-2012
28/12/2011 09:00,Phoenix Suns,Philadelphia 76ers,83 - 103,,2011-2012
28/12/2011 09:00,Denver Nuggets,Utah Jazz,117 - 100,,2011-2012
28/12/2011 10:30,Golden State Warriors,New York Knicks,92 - 78,,2011-2012
29/12/2011 07:00,Orlando Magic,New Jersey Nets,94 - 78,,2011-2012
29/12/2011 08:00,Houston Rockets,San Antonio Spurs,105 - 85,,2011-2012
29/12/2011 08:00,Oklahoma City Thunder,Dallas Mavericks,104 - 102,,2011-2012
29/12/2011 10:00,Portland Trail Blazers,Denver Nuggets,111 - 102,,2011-2012
29/12/2011 10:00,Sacramento Kings,Chicago Bulls,98 - 108,,2011-2012
29/12/2011 10:30,Los Angeles Lakers,New York Knicks,99 - 82,,2011-2012
