Date,Home Team,Away Team,Result,Overtime,Season
11/11/2005 07:30,Boston Celtics,San Antonio Spurs,82 - 103,,2005-2006
11/11/2005 07:30,Charlotte Bobcats,Dallas Mavericks,88 - 98,,2005-2006
11/11/2005 07:30,Cleveland Cavaliers,Memphis Grizzlies,89 - 70,,2005-2006
11/11/2005 07:30,Washington Wizards,Seattle SuperSonics,137 - 96,,2005-2006
11/11/2005 08:00,Philadelphia 76ers,Los Angeles Lakers,85 - 81,,2005-2006
11/11/2005 10:00,Sacramento Kings,Denver Nuggets,101 - 85,,2005-2006
11/11/2005 10:30,Golden State Warriors,New York Knicks,86 - 84,,2005-2006
11/11/2005 10:30,Portland Trail Blazers,Detroit Pistons,81 - 84,,2005-2006
12/11/2005 07:00,Atlanta Hawks,Memphis Grizzlies,84 - 85,,2005-2006
12/11/2005 07:00,Washington Wizards,San Antonio Spurs,110 - 95,,2005-2006
12/11/2005 07:30,Miami Heat,Charlotte Bobcats,108 - 99,,2005-2006
12/11/2005 08:00,New Jersey Nets,Houston Rockets,91 - 99,,2005-2006
12/11/2005 08:00,New Orleans/Oklahoma City Hornets,Dallas Mavericks,103 - 109,,2005-2006
12/11/2005 08:30,Chicago Bulls,Utah Jazz,103 - 98,,2005-2006
12/11/2005 08:30,Milwaukee Bucks,Indiana Pacers,103 - 102,,2005-2006
12/11/2005 09:00,Phoenix Suns,Golden State Warriors,101 - 86,,2005-2006
13/11/2005 01:00,Toronto Raptors,Seattle SuperSonics,121 - 126,OT,2005-2006
13/11/2005 06:00,Boston Celtics,Houston Rockets,102 - 82,,2005-2006
13/11/2005 06:00,Orlando Magic,Cleveland Cavaliers,100 - 108,OT,2005-2006
13/11/2005 06:00,Philadelphia 76ers,Los Angeles Clippers,113 - 108,,2005-2006
13/11/2005 09:00,Denver Nuggets,Minnesota Timberwolves,102 - 91,,2005-2006
13/11/2005 09:00,Sacramento Kings,New York Knicks,95 - 105,,2005-2006
14/11/2005 08:00,Memphis Grizzlies,Los Angeles Lakers,85 - 73,,2005-2006
14/11/2005 09:00,Utah Jazz,New York Knicks,62 - 73,,2005-2006
14/11/2005 10:30,Golden State Warriors,Chicago Bulls,100 - 82,,2005-2006
15/11/2005 07:00,Cleveland Cavaliers,Washington Wizards,114 - 99,,2005-2006
15/11/2005 07:00,Orlando Magic,Charlotte Bobcats,85 - 77,,2005-2006
15/11/2005 07:00,Philadelphia 76ers,Toronto Raptors,104 - 92,,2005-2006
15/11/2005 07:30,Detroit Pistons,Boston Celtics,115 - 100,,2005-2006
15/11/2005 07:30,Miami Heat,New Orleans/Oklahoma City Hornets,109 - 102,OT,2005-2006
15/11/2005 07:30,New Jersey Nets,Seattle SuperSonics,109 - 99,,2005-2006
15/11/2005 08:00,Minnesota Timberwolves,Houston Rockets,89 - 94,,2005-2006
15/11/2005 08:30,Dallas Mavericks,Denver Nuggets,83 - 80,,2005-2006
15/11/2005 08:30,San Antonio Spurs,Atlanta Hawks,103 - 79,,2005-2006
15/11/2005 10:00,Sacramento Kings,Utah Jazz,119 - 83,,2005-2006
15/11/2005 10:30,Los Angeles Clippers,Milwaukee Bucks,109 - 85,,2005-2006
16/11/2005 07:00,Toronto Raptors,Philadelphia 76ers,115 - 121,,2005-2006
16/11/2005 07:30,Boston Celtics,Seattle SuperSonics,100 - 113,,2005-2006
16/11/2005 07:30,Charlotte Bobcats,Indiana Pacers,122 - 90,,2005-2006
16/11/2005 08:00,New Orleans/Oklahoma City Hornets,Denver Nuggets,81 - 91,,2005-2006
16/11/2005 09:00,Phoenix Suns,Memphis Grizzlies,103 - 115,,2005-2006
16/11/2005 10:00,Los Angeles Lakers,New York Knicks,97 - 92,,2005-2006
16/11/2005 10:00,Portland Trail Blazers,Chicago Bulls,96 - 93,,2005-2006
