Date,Home Team,Away Team,Result,Overtime,Season
16/10/2018 08:00,Boston Celtics,Philadelphia 76ers,105 - 87,,2018-2019
16/10/2018 10:30,Golden State Warriors,Oklahoma City Thunder,108 - 100,,2018-2019
17/10/2018 07:00,Charlotte Hornets,Milwaukee Bucks,112 - 113,,2018-2019
17/10/2018 07:00,Detroit Pistons,Brooklyn Nets,103 - 100,,2018-2019
17/10/2018 07:00,Indiana Pacers,Memphis Grizzlies,111 - 83,,2018-2019
17/10/2018 07:00,Orlando Magic,Miami Heat,104 - 101,,2018-2019
17/10/2018 07:30,New York Knicks,Atlanta Hawks,126 - 107,,2018-2019
17/10/2018 07:30,Toronto Raptors,Cleveland Cavaliers,116 - 104,,2018-2019
17/10/2018 08:00,Houston Rockets,New Orleans Pelicans,112 - 131,,2018-2019
17/10/2018 08:30,San Antonio Spurs,Minnesota Timberwolves,112 - 108,,2018-2019
17/10/2018 10:00,Sacramento Kings,Utah Jazz,117 - 123,,2018-2019
17/10/2018 10:30,Los Angeles Clippers,Denver Nuggets,98 - 107,,2018-2019
17/10/2018 10:30,Phoenix Suns,Dallas Mavericks,121 - 100,,2018-2019
18/10/2018 08:00,Philadelphia 76ers,Chicago Bulls,127 - 108,,2018-2019
18/10/2018 08:00,Washington Wizards,Miami Heat,112 - 113,,2018-2019
18/10/2018 10:30,Portland Trail Blazers,Los Angeles Lakers,128 - 119,,2018-2019
19/10/2018 07:00,Orlando Magic,Charlotte Hornets,88 - 120,,2018-2019
19/10/2018 07:30,Brooklyn Nets,New York Knicks,107 - 105,,2018-2019
19/10/2018 08:00,Memphis Grizzlies,Atlanta Hawks,131 - 117,,2018-2019
19/10/2018 08:00,Minnesota Timberwolves,Cleveland Cavaliers,131 - 123,,2018-2019
19/10/2018 08:00,New Orleans Pelicans,Sacramento Kings,149 - 129,,2018-2019
19/10/2018 08:00,Toronto Raptors,Boston Celtics,113 - 101,,2018-2019
19/10/2018 08:30,Milwaukee Bucks,Indiana Pacers,118 - 101,,2018-2019
19/10/2018 10:30,Los Angeles Clippers,Oklahoma City Thunder,108 - 92,,2018-2019
19/10/2018 10:30,Utah Jazz,Golden State Warriors,123 - 124,,2018-2019
20/10/2018 07:00,Indiana Pacers,Brooklyn Nets,132 - 112,,2018-2019
20/10/2018 07:00,Washington Wizards,Toronto Raptors,113 - 117,,2018-2019
20/10/2018 07:30,New York Knicks,Boston Celtics,101 - 103,,2018-2019
20/10/2018 07:30,Philadelphia 76ers,Orlando Magic,116 - 115,,2018-2019
20/10/2018 08:00,Chicago Bulls,Detroit Pistons,116 - 118,,2018-2019
20/10/2018 08:00,Miami Heat,Charlotte Hornets,112 - 113,,2018-2019
20/10/2018 08:30,Dallas Mavericks,Minnesota Timberwolves,140 - 136,,2018-2019
20/10/2018 09:00,Denver Nuggets,Phoenix Suns,119 - 91,,2018-2019
20/10/2018 10:00,Portland Trail Blazers,San Antonio Spurs,121 - 108,,2018-2019
20/10/2018 10:30,Los Angeles Lakers,Houston Rockets,115 - 124,,2018-2019
21/10/2018 06:00,Cleveland Cavaliers,Atlanta Hawks,111 - 133,,2018-2019
21/10/2018 07:00,Oklahoma City Thunder,Sacramento Kings,120 - 131,,2018-2019
21/10/2018 08:00,Denver Nuggets,Golden State Warriors,100 - 98,,2018-2019
21/10/2018 09:00,Los Angeles Clippers,Houston Rockets,115 - 112,,2018-2019
22/10/2018 07:30,Boston Celtics,Orlando Magic,90 - 93,,2018-2019
22/10/2018 07:30,Toronto Raptors,Charlotte Hornets,127 - 106,,2018-2019
22/10/2018 08:00,Milwaukee Bucks,New York Knicks,124 - 113,,2018-2019
22/10/2018 08:00,Minnesota Timberwolves,Indiana Pacers,101 - 91,,2018-2019
22/10/2018 08:30,Dallas Mavericks,Chicago Bulls,115 - 109,,2018-2019
22/10/2018 09:00,Utah Jazz,Memphis Grizzlies,84 - 92,,2018-2019
22/10/2018 10:00,Portland Trail Blazers,Washington Wizards,124 - 125,OT,2018-2019
22/10/2018 10:30,Golden State Warriors,Phoenix Suns,123 - 103,,2018-2019
22/10/2018 10:30,Los Angeles Lakers,San Antonio Spurs,142 - 143,OT,2018-2019
23/10/2018 07:00,Detroit Pistons,Philadelphia 76ers,133 - 132,OT,2018-2019
23/10/2018 08:00,New Orleans Pelicans,Los Angeles Clippers,116 - 109,,2018-2019
23/10/2018 09:00,Denver Nuggets,Sacramento Kings,126 - 112,,2018-2019
24/10/2018 07:00,Atlanta Hawks,Dallas Mavericks,111 - 104,,2018-2019
24/10/2018 07:00,Cleveland Cavaliers,Brooklyn Nets,86 - 102,,2018-2019
24/10/2018 07:30,Miami Heat,New York Knicks,110 - 87,,2018-2019
24/10/2018 07:30,Toronto Raptors,Minnesota Timberwolves,112 - 105,,2018-2019
24/10/2018 08:00,Chicago Bulls,Charlotte Hornets,112 - 110,,2018-2019
24/10/2018 08:00,Houston Rockets,Utah Jazz,89 - 100,,2018-2019
24/10/2018 08:30,San Antonio Spurs,Indiana Pacers,96 - 116,,2018-2019
24/10/2018 09:30,Milwaukee Bucks,Philadelphia 76ers,123 - 108,,2018-2019
24/10/2018 10:00,Phoenix Suns,Los Angeles Lakers,113 - 131,,2018-2019
24/10/2018 10:00,Sacramento Kings,Memphis Grizzlies,97 - 92,,2018-2019
24/10/2018 10:30,Golden State Warriors,Washington Wizards,144 - 122,,2018-2019
25/10/2018 07:00,Detroit Pistons,Cleveland Cavaliers,110 - 103,,2018-2019
25/10/2018 07:00,Orlando Magic,Portland Trail Blazers,114 - 128,,2018-2019
25/10/2018 08:00,Oklahoma City Thunder,Boston Celtics,95 - 101,,2018-2019
25/10/2018 10:30,Los Angeles Lakers,Denver Nuggets,121 - 114,,2018-2019
26/10/2018 07:00,Charlotte Hornets,Chicago Bulls,135 - 106,,2018-2019
26/10/2018 07:30,New York Knicks,Golden State Warriors,100 - 128,,2018-2019
26/10/2018 07:30,Toronto Raptors,Dallas Mavericks,116 - 107,,2018-2019
26/10/2018 08:00,Houston Rockets,Los Angeles Clippers,113 - 133,,2018-2019
26/10/2018 08:00,Minnesota Timberwolves,Milwaukee Bucks,95 - 125,,2018-2019
26/10/2018 08:00,New Orleans Pelicans,Brooklyn Nets,117 - 115,,2018-2019
26/10/2018 10:00,Sacramento Kings,Washington Wizards,116 - 112,,2018-2019
27/10/2018 07:00,Detroit Pistons,Boston Celtics,89 - 109,,2018-2019
27/10/2018 07:00,New Orleans Pelicans,Utah Jazz,111 - 132,,2018-2019
27/10/2018 07:30,Atlanta Hawks,Chicago Bulls,85 - 97,,2018-2019
27/10/2018 07:30,Cleveland Cavaliers,Indiana Pacers,107 - 119,,2018-2019
27/10/2018 07:30,Philadelphia 76ers,Charlotte Hornets,105 - 103,,2018-2019
27/10/2018 08:00,Memphis Grizzlies,Phoenix Suns,117 - 96,,2018-2019
27/10/2018 08:00,Miami Heat,Portland Trail Blazers,120 - 111,,2018-2019
27/10/2018 08:30,Milwaukee Bucks,Orlando Magic,113 - 91,,2018-2019
27/10/2018 08:30,San Antonio Spurs,Los Angeles Lakers,110 - 106,,2018-2019
28/10/2018 05:00,Brooklyn Nets,Golden State Warriors,114 - 120,,2018-2019
28/10/2018 07:00,Dallas Mavericks,Utah Jazz,104 - 113,,2018-2019
28/10/2018 07:00,Oklahoma City Thunder,Phoenix Suns,117 - 110,,2018-2019
28/10/2018 09:30,Los Angeles Clippers,Washington Wizards,136 - 104,,2018-2019
29/10/2018 07:00,Indiana Pacers,Portland Trail Blazers,93 - 103,,2018-2019
29/10/2018 07:00,Philadelphia 76ers,Atlanta Hawks,113 - 92,,2018-2019
29/10/2018 07:30,Miami Heat,Sacramento Kings,113 - 123,,2018-2019
29/10/2018 07:30,New York Knicks,Brooklyn Nets,115 - 96,,2018-2019
29/10/2018 08:00,Chicago Bulls,Golden State Warriors,124 - 149,,2018-2019
29/10/2018 08:00,Milwaukee Bucks,Toronto Raptors,124 - 109,,2018-2019
29/10/2018 08:00,Minnesota Timberwolves,Los Angeles Lakers,124 - 120,,2018-2019
29/10/2018 08:30,San Antonio Spurs,Dallas Mavericks,113 - 108,OT,2018-2019
29/10/2018 09:00,Denver Nuggets,New Orleans Pelicans,116 - 111,,2018-2019
30/10/2018 07:00,Charlotte Hornets,Miami Heat,125 - 113,,2018-2019
30/10/2018 07:00,Cleveland Cavaliers,Atlanta Hawks,136 - 114,,2018-2019
30/10/2018 07:00,Orlando Magic,Sacramento Kings,99 - 107,,2018-2019
30/10/2018 07:30,Boston Celtics,Detroit Pistons,108 - 105,,2018-2019
30/10/2018 07:30,Toronto Raptors,Philadelphia 76ers,129 - 112,,2018-2019
30/10/2018 08:00,Houston Rockets,Portland Trail Blazers,85 - 104,,2018-2019
30/10/2018 08:00,Memphis Grizzlies,Washington Wizards,107 - 95,,2018-2019
30/10/2018 08:00,Oklahoma City Thunder,Los Angeles Clippers,128 - 110,,2018-2019
31/10/2018 07:30,Brooklyn Nets,Detroit Pistons,120 - 119,OT,2018-2019
31/10/2018 08:00,Chicago Bulls,Denver Nuggets,107 - 108,OT,2018-2019
31/10/2018 08:00,Minnesota Timberwolves,Utah Jazz,128 - 125,,2018-2019
31/10/2018 08:00,New York Knicks,Indiana Pacers,101 - 107,,2018-2019
31/10/2018 10:30,Golden State Warriors,New Orleans Pelicans,131 - 121,,2018-2019
31/10/2018 10:30,Los Angeles Lakers,Dallas Mavericks,114 - 113,,2018-2019
31/10/2018 10:30,Phoenix Suns,San Antonio Spurs,90 - 120,,2018-2019
01/11/2018 07:00,Charlotte Hornets,Oklahoma City Thunder,107 - 111,,2018-2019
01/11/2018 07:00,Cleveland Cavaliers,Denver Nuggets,91 - 110,,2018-2019
01/11/2018 07:00,Philadelphia 76ers,Los Angeles Clippers,122 - 113,,2018-2019
01/11/2018 07:30,Atlanta Hawks,Sacramento Kings,115 - 146,,2018-2019
01/11/2018 08:00,Boston Celtics,Milwaukee Bucks,117 - 113,,2018-2019
01/11/2018 10:30,Portland Trail Blazers,New Orleans Pelicans,132 - 119,,2018-2019
02/11/2018 07:00,Orlando Magic,Los Angeles Clippers,95 - 120,,2018-2019
02/11/2018 07:30,Brooklyn Nets,Houston Rockets,111 - 119,,2018-2019
02/11/2018 08:00,Chicago Bulls,Indiana Pacers,105 - 107,,2018-2019
02/11/2018 08:00,Washington Wizards,Oklahoma City Thunder,111 - 134,,2018-2019
02/11/2018 08:30,Dallas Mavericks,New York Knicks,106 - 118,,2018-2019
02/11/2018 09:00,Utah Jazz,Memphis Grizzlies,100 - 110,,2018-2019
02/11/2018 10:00,Phoenix Suns,Toronto Raptors,98 - 107,,2018-2019
02/11/2018 10:30,Golden State Warriors,Minnesota Timberwolves,116 - 99,,2018-2019
