Date,Home Team,Away Team,Result,Overtime,Season
02/11/2004 08:00,Detroit Pistons,Houston Rockets,87 - 79,,2004-2005
02/11/2004 08:30,Dallas Mavericks,Sacramento Kings,107 - 98,,2004-2005
02/11/2004 10:30,Los Angeles Lakers,Denver Nuggets,89 - 78,,2004-2005
03/11/2004 07:00,Cleveland Cavaliers,Indiana Pacers,104 - 109,2OT,2004-2005
03/11/2004 07:00,Orlando Magic,Milwaukee Bucks,93 - 92,,2004-2005
03/11/2004 07:00,Toronto Raptors,Houston Rockets,95 - 88,,2004-2005
03/11/2004 07:30,Boston Celtics,Philadelphia 76ers,95 - 98,,2004-2005
03/11/2004 08:00,Memphis Grizzlies,Washington Wizards,91 - 103,,2004-2005
03/11/2004 08:00,Minnesota Timberwolves,New York Knicks,99 - 93,,2004-2005
03/11/2004 08:00,New Jersey Nets,Miami Heat,77 - 100,,2004-2005
03/11/2004 08:00,New Orleans Hornets,Dallas Mavericks,91 - 106,,2004-2005
03/11/2004 08:30,San Antonio Spurs,Sacramento Kings,101 - 85,,2004-2005
03/11/2004 09:00,Phoenix Suns,Atlanta Hawks,112 - 82,,2004-2005
03/11/2004 10:30,Golden State Warriors,Portland Trail Blazers,75 - 78,,2004-2005
03/11/2004 10:30,Los Angeles Clippers,Seattle SuperSonics,114 - 84,,2004-2005
03/11/2004 10:30,Utah Jazz,Los Angeles Lakers,104 - 78,,2004-2005
04/11/2004 07:00,Charlotte Bobcats,Washington Wizards,96 - 103,,2004-2005
04/11/2004 08:00,Miami Heat,Cleveland Cavaliers,92 - 86,,2004-2005
04/11/2004 10:30,Denver Nuggets,Minnesota Timberwolves,94 - 92,OT,2004-2005
05/11/2004 07:00,Philadelphia 76ers,Phoenix Suns,98 - 108,,2004-2005
05/11/2004 07:00,Toronto Raptors,Detroit Pistons,101 - 89,,2004-2005
05/11/2004 07:30,Boston Celtics,Indiana Pacers,94 - 100,,2004-2005
05/11/2004 08:00,Memphis Grizzlies,Houston Rockets,81 - 89,,2004-2005
05/11/2004 08:00,New Orleans Hornets,Orlando Magic,89 - 90,,2004-2005
05/11/2004 08:30,Chicago Bulls,New Jersey Nets,106 - 111,2OT,2004-2005
05/11/2004 10:00,Portland Trail Blazers,Los Angeles Clippers,94 - 81,,2004-2005
05/11/2004 10:30,Golden State Warriors,Utah Jazz,80 - 102,,2004-2005
05/11/2004 10:30,Los Angeles Lakers,San Antonio Spurs,96 - 105,,2004-2005
05/11/2004 10:30,Seattle SuperSonics,Atlanta Hawks,106 - 85,,2004-2005
06/11/2004 07:00,Charlotte Bobcats,Orlando Magic,111 - 100,,2004-2005
06/11/2004 07:00,Washington Wizards,Miami Heat,106 - 118,,2004-2005
06/11/2004 07:30,Detroit Pistons,Philadelphia 76ers,99 - 91,,2004-2005
06/11/2004 07:30,New York Knicks,Boston Celtics,73 - 107,,2004-2005
06/11/2004 08:00,Indiana Pacers,Chicago Bulls,100 - 90,,2004-2005
06/11/2004 08:00,Minnesota Timberwolves,New Orleans Hornets,99 - 92,,2004-2005
06/11/2004 08:00,New Jersey Nets,Phoenix Suns,80 - 112,,2004-2005
06/11/2004 08:30,Dallas Mavericks,Memphis Grizzlies,112 - 88,,2004-2005
06/11/2004 08:30,Houston Rockets,Sacramento Kings,104 - 101,OT,2004-2005
06/11/2004 08:30,Milwaukee Bucks,Cleveland Cavaliers,102 - 88,,2004-2005
06/11/2004 09:00,Denver Nuggets,Utah Jazz,82 - 106,,2004-2005
06/11/2004 10:30,Golden State Warriors,Los Angeles Clippers,86 - 94,,2004-2005
07/11/2004 12:30,Toronto Raptors,Portland Trail Blazers,101 - 97,,2004-2005
07/11/2004 08:00,Seattle SuperSonics,San Antonio Spurs,113 - 94,,2004-2005
07/11/2004 09:30,Los Angeles Lakers,Atlanta Hawks,106 - 90,,2004-2005
08/11/2004 08:30,Dallas Mavericks,Golden State Warriors,101 - 98,OT,2004-2005
08/11/2004 09:00,Utah Jazz,Denver Nuggets,102 - 91,,2004-2005
08/11/2004 10:30,Los Angeles Clippers,Detroit Pistons,96 - 99,2OT,2004-2005
09/11/2004 07:00,Orlando Magic,Dallas Mavericks,94 - 84,,2004-2005
09/11/2004 07:30,Atlanta Hawks,Cleveland Cavaliers,79 - 93,,2004-2005
09/11/2004 07:30,Miami Heat,Washington Wizards,103 - 93,,2004-2005
09/11/2004 07:30,New Jersey Nets,Portland Trail Blazers,64 - 60,,2004-2005
09/11/2004 07:30,New York Knicks,Philadelphia 76ers,96 - 88,,2004-2005
09/11/2004 08:00,Minnesota Timberwolves,Indiana Pacers,101 - 102,,2004-2005
09/11/2004 08:00,New Orleans Hornets,Los Angeles Lakers,98 - 106,,2004-2005
09/11/2004 08:30,Chicago Bulls,Phoenix Suns,74 - 94,,2004-2005
09/11/2004 08:30,Houston Rockets,Memphis Grizzlies,90 - 87,,2004-2005
09/11/2004 09:00,Denver Nuggets,Seattle SuperSonics,88 - 108,,2004-2005
09/11/2004 10:00,Sacramento Kings,Toronto Raptors,108 - 92,,2004-2005
10/11/2004 07:00,Boston Celtics,Portland Trail Blazers,90 - 88,,2004-2005
10/11/2004 07:00,Indiana Pacers,Los Angeles Clippers,68 - 102,,2004-2005
10/11/2004 07:00,Philadelphia 76ers,New Jersey Nets,108 - 100,OT,2004-2005
10/11/2004 07:00,Washington Wizards,Orlando Magic,106 - 96,,2004-2005
10/11/2004 08:00,Cleveland Cavaliers,Phoenix Suns,114 - 109,OT,2004-2005
10/11/2004 08:00,Memphis Grizzlies,Los Angeles Lakers,110 - 87,,2004-2005
10/11/2004 08:00,Milwaukee Bucks,Charlotte Bobcats,102 - 100,,2004-2005
10/11/2004 08:30,San Antonio Spurs,Golden State Warriors,91 - 71,,2004-2005
10/11/2004 09:00,Utah Jazz,Toronto Raptors,95 - 104,,2004-2005
10/11/2004 10:30,Seattle SuperSonics,Sacramento Kings,108 - 78,,2004-2005
11/11/2004 08:00,Miami Heat,Dallas Mavericks,93 - 113,,2004-2005
11/11/2004 08:30,Houston Rockets,Minnesota Timberwolves,91 - 96,,2004-2005
11/11/2004 10:30,Denver Nuggets,Detroit Pistons,117 - 109,,2004-2005
12/11/2004 07:00,Orlando Magic,Los Angeles Lakers,122 - 113,,2004-2005
12/11/2004 07:00,Philadelphia 76ers,Indiana Pacers,106 - 104,OT,2004-2005
12/11/2004 07:30,Boston Celtics,Charlotte Bobcats,91 - 74,,2004-2005
12/11/2004 07:30,New York Knicks,Los Angeles Clippers,110 - 96,,2004-2005
12/11/2004 08:00,Memphis Grizzlies,Golden State Warriors,96 - 67,,2004-2005
12/11/2004 08:00,New Orleans Hornets,Atlanta Hawks,95 - 96,,2004-2005
12/11/2004 08:00,San Antonio Spurs,Miami Heat,93 - 84,,2004-2005
12/11/2004 10:30,Seattle SuperSonics,Toronto Raptors,88 - 87,,2004-2005
13/11/2004 01:00,Cleveland Cavaliers,Washington Wizards,105 - 74,,2004-2005
13/11/2004 01:00,New Jersey Nets,Dallas Mavericks,78 - 94,,2004-2005
13/11/2004 07:00,Atlanta Hawks,San Antonio Spurs,88 - 103,,2004-2005
13/11/2004 07:00,Charlotte Bobcats,Golden State Warriors,87 - 103,,2004-2005
13/11/2004 08:00,Indiana Pacers,New York Knicks,103 - 97,,2004-2005
13/11/2004 08:30,Chicago Bulls,Los Angeles Clippers,96 - 97,,2004-2005
13/11/2004 08:30,Houston Rockets,Los Angeles Lakers,79 - 84,,2004-2005
13/11/2004 08:30,Milwaukee Bucks,New Orleans Hornets,94 - 91,,2004-2005
13/11/2004 09:00,Phoenix Suns,Sacramento Kings,111 - 113,,2004-2005
13/11/2004 09:00,Utah Jazz,Detroit Pistons,108 - 93,,2004-2005
13/11/2004 10:00,Portland Trail Blazers,Toronto Raptors,105 - 102,,2004-2005
14/11/2004 01:00,Washington Wizards,Dallas Mavericks,113 - 122,,2004-2005
14/11/2004 02:00,Philadelphia 76ers,Orlando Magic,96 - 87,,2004-2005
14/11/2004 06:00,Miami Heat,Milwaukee Bucks,112 - 110,2OT,2004-2005
14/11/2004 08:00,Seattle SuperSonics,Memphis Grizzlies,118 - 113,,2004-2005
14/11/2004 09:00,Sacramento Kings,Denver Nuggets,101 - 89,,2004-2005
15/11/2004 07:00,Cleveland Cavaliers,Golden State Warriors,99 - 88,,2004-2005
15/11/2004 07:30,New Jersey Nets,Houston Rockets,69 - 80,,2004-2005
16/11/2004 07:00,Charlotte Bobcats,Utah Jazz,105 - 107,,2004-2005
16/11/2004 07:00,Philadelphia 76ers,Seattle SuperSonics,95 - 103,,2004-2005
16/11/2004 07:30,Atlanta Hawks,Houston Rockets,88 - 84,,2004-2005
16/11/2004 08:00,Minnesota Timberwolves,Miami Heat,108 - 97,,2004-2005
16/11/2004 08:30,Dallas Mavericks,Phoenix Suns,101 - 107,,2004-2005
16/11/2004 08:30,San Antonio Spurs,New York Knicks,99 - 81,,2004-2005
16/11/2004 10:00,Sacramento Kings,Chicago Bulls,113 - 106,,2004-2005
