,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,colley_home_1_month,colley_away_1_month,massey_home_overall_1_month,massey_away_overall_1_month,massey_home_offensive_1_month,massey_away_offensive_1_month,massey_home_defensive_1_month,massey_away_defensive_1_month,markov1_home_1_month,markov1_away_1_month,markov2_home_1_month,markov2_away_1_month,markov3_home_1_month,markov3_away_1_month,od_home_overall_1_month,od_away_overall_1_month,od_home_offensive_1_month,od_away_offensive_1_month,od_home_defensive_1_month,od_away_defensive_1_month,colley_home_2_month,colley_away_2_month,massey_home_overall_2_month,massey_away_overall_2_month,massey_home_offensive_2_month,massey_away_offensive_2_month,massey_home_defensive_2_month,massey_away_defensive_2_month,markov1_home_2_month,markov1_away_2_month,markov2_home_2_month,markov2_away_2_month,markov3_home_2_month,markov3_away_2_month,od_home_overall_2_month,od_away_overall_2_month,od_home_offensive_2_month,od_away_offensive_2_month,od_home_defensive_2_month,od_away_defensive_2_month,colley_home_3_month,colley_away_3_month,massey_home_overall_3_month,massey_away_overall_3_month,massey_home_offensive_3_month,massey_away_offensive_3_month,massey_home_defensive_3_month,massey_away_defensive_3_month,markov1_home_3_month,markov1_away_3_month,markov2_home_3_month,markov2_away_3_month,markov3_home_3_month,markov3_away_3_month,od_home_overall_3_month,od_away_overall_3_month,od_home_offensive_3_month,od_away_offensive_3_month,od_home_defensive_3_month,od_away_defensive_3_month,colley_home_4_month,colley_away_4_month,massey_home_overall_4_month,massey_away_overall_4_month,massey_home_offensive_4_month,massey_away_offensive_4_month,massey_home_defensive_4_month,massey_away_defensive_4_month,markov1_home_4_month,markov1_away_4_month,markov2_home_4_month,markov2_away_4_month,markov3_home_4_month,markov3_away_4_month,od_home_overall_4_month,od_away_overall_4_month,od_home_offensive_4_month,od_away_offensive_4_month,od_home_defensive_4_month,od_away_defensive_4_month,colley_home_5_month,colley_away_5_month,massey_home_overall_5_month,massey_away_overall_5_month,massey_home_offensive_5_month,massey_away_offensive_5_month,massey_home_defensive_5_month,massey_away_defensive_5_month,markov1_home_5_month,markov1_away_5_month,markov2_home_5_month,markov2_away_5_month,markov3_home_5_month,markov3_away_5_month,od_home_overall_5_month,od_away_overall_5_month,od_home_offensive_5_month,od_away_offensive_5_month,od_home_defensive_5_month,od_away_defensive_5_month,colley_home_6_month,colley_away_6_month,massey_home_overall_6_month,massey_away_overall_6_month,massey_home_offensive_6_month,massey_away_offensive_6_month,massey_home_defensive_6_month,massey_away_defensive_6_month,markov1_home_6_month,markov1_away_6_month,markov2_home_6_month,markov2_away_6_month,markov3_home_6_month,markov3_away_6_month,od_home_overall_6_month,od_away_overall_6_month,od_home_offensive_6_month,od_away_offensive_6_month,od_home_defensive_6_month,od_away_defensive_6_month,colley_home_7_month,colley_away_7_month,massey_home_overall_7_month,massey_away_overall_7_month,massey_home_offensive_7_month,massey_away_offensive_7_month,massey_home_defensive_7_month,massey_away_defensive_7_month,markov1_home_7_month,markov1_away_7_month,markov2_home_7_month,markov2_away_7_month,markov3_home_7_month,markov3_away_7_month,od_home_overall_7_month,od_away_overall_7_month,od_home_offensive_7_month,od_away_offensive_7_month,od_home_defensive_7_month,od_away_defensive_7_month
0,0,2011-12-25,New York Knicks,Boston Celtics,106 - 104,12:00,106,104,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,,0.5,0.5,,,,,,,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,0.10000000000000005,0.09999999999999971,,,,,,
1,1,2011-12-25,Dallas Mavericks,Miami Heat,94 - 105,02:30,94,105,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,,0.5,0.5,,,,,,,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,0.1000000000000002,0.09999999999999998,,,,,,
2,2,2011-12-25,Los Angeles Lakers,Chicago Bulls,87 - 88,05:00,87,88,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,,0.5,0.5,,,,,,,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,0.10000000000000009,0.09999999999999994,,,,,,
3,3,2011-12-25,Oklahoma City Thunder,Orlando Magic,97 - 89,08:00,97,89,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,,0.5,0.5,,,,,,,0.1,0.1000000000000001,0.1,0.1000000000000001,0.1,0.1000000000000001,,,,,,
4,4,2011-12-25,Golden State Warriors,Los Angeles Clippers,86 - 105,10:30,86,105,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,,0.5,0.5,,,,,,,0.10000000000000007,0.1,0.10000000000000007,0.1,0.10000000000000007,0.1,,,,,,
5,5,2011-12-26,Cleveland Cavaliers,Toronto Raptors,96 - 104,07:00,96,104,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,,0.5,0.5,,,,,,,0.03571428571428645,0.03571428571428543,0.03571428571428645,0.03571428571428543,0.035714285714285976,0.03571428571428533,,,,,,
6,6,2011-12-26,Washington Wizards,New Jersey Nets,84 - 90,07:00,84,90,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,,0.5,0.5,,,,,,,0.03571428571428548,0.03571428571428517,0.03571428571428548,0.03571428571428517,0.03571428571428536,0.035714285714285456,,,,,,
7,7,2011-12-26,Orlando Magic,Houston Rockets,104 - 95,07:00,104,95,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,,0.375,0.5,,,,,,,0.014285714285714176,0.0357142857142854,0.014285714285714176,0.0357142857142854,0.03571428571428569,0.03571428571428535,,,,,,
8,8,2011-12-26,Indiana Pacers,Detroit Pistons,91 - 79,07:00,91,79,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,,0.5,0.5,,,,,,,0.03571428571428539,0.03571428571428585,0.03571428571428539,0.03571428571428585,0.03571428571428545,0.035714285714286004,,,,,,
9,9,2011-12-26,Charlotte Bobcats,Milwaukee Bucks,96 - 95,07:00,96,95,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,,0.5,0.5,,,,,,,0.035714285714286385,0.035714285714285594,0.035714285714286385,0.035714285714285594,0.03571428571428515,0.03571428571428543,,,,,,
