,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,colley_home_1_month,colley_away_1_month,massey_home_overall_1_month,massey_away_overall_1_month,massey_home_offensive_1_month,massey_away_offensive_1_month,massey_home_defensive_1_month,massey_away_defensive_1_month,markov1_home_1_month,markov1_away_1_month,markov2_home_1_month,markov2_away_1_month,markov3_home_1_month,markov3_away_1_month,od_home_overall_1_month,od_away_overall_1_month,od_home_offensive_1_month,od_away_offensive_1_month,od_home_defensive_1_month,od_away_defensive_1_month,colley_home_2_month,colley_away_2_month,massey_home_overall_2_month,massey_away_overall_2_month,massey_home_offensive_2_month,massey_away_offensive_2_month,massey_home_defensive_2_month,massey_away_defensive_2_month,markov1_home_2_month,markov1_away_2_month,markov2_home_2_month,markov2_away_2_month,markov3_home_2_month,markov3_away_2_month,od_home_overall_2_month,od_away_overall_2_month,od_home_offensive_2_month,od_away_offensive_2_month,od_home_defensive_2_month,od_away_defensive_2_month,colley_home_3_month,colley_away_3_month,massey_home_overall_3_month,massey_away_overall_3_month,massey_home_offensive_3_month,massey_away_offensive_3_month,massey_home_defensive_3_month,massey_away_defensive_3_month,markov1_home_3_month,markov1_away_3_month,markov2_home_3_month,markov2_away_3_month,markov3_home_3_month,markov3_away_3_month,od_home_overall_3_month,od_away_overall_3_month,od_home_offensive_3_month,od_away_offensive_3_month,od_home_defensive_3_month,od_away_defensive_3_month,colley_home_4_month,colley_away_4_month,massey_home_overall_4_month,massey_away_overall_4_month,massey_home_offensive_4_month,massey_away_offensive_4_month,massey_home_defensive_4_month,massey_away_defensive_4_month,markov1_home_4_month,markov1_away_4_month,markov2_home_4_month,markov2_away_4_month,markov3_home_4_month,markov3_away_4_month,od_home_overall_4_month,od_away_overall_4_month,od_home_offensive_4_month,od_away_offensive_4_month,od_home_defensive_4_month,od_away_defensive_4_month,colley_home_5_month,colley_away_5_month,massey_home_overall_5_month,massey_away_overall_5_month,massey_home_offensive_5_month,massey_away_offensive_5_month,massey_home_defensive_5_month,massey_away_defensive_5_month,markov1_home_5_month,markov1_away_5_month,markov2_home_5_month,markov2_away_5_month,markov3_home_5_month,markov3_away_5_month,od_home_overall_5_month,od_away_overall_5_month,od_home_offensive_5_month,od_away_offensive_5_month,od_home_defensive_5_month,od_away_defensive_5_month,colley_home_6_month,colley_away_6_month,massey_home_overall_6_month,massey_away_overall_6_month,massey_home_offensive_6_month,massey_away_offensive_6_month,massey_home_defensive_6_month,massey_away_defensive_6_month,markov1_home_6_month,markov1_away_6_month,markov2_home_6_month,markov2_away_6_month,markov3_home_6_month,markov3_away_6_month,od_home_overall_6_month,od_away_overall_6_month,od_home_offensive_6_month,od_away_offensive_6_month,od_home_defensive_6_month,od_away_defensive_6_month,colley_home_7_month,colley_away_7_month,massey_home_overall_7_month,massey_away_overall_7_month,massey_home_offensive_7_month,massey_away_offensive_7_month,massey_home_defensive_7_month,massey_away_defensive_7_month,markov1_home_7_month,markov1_away_7_month,markov2_home_7_month,markov2_away_7_month,markov3_home_7_month,markov3_away_7_month,od_home_overall_7_month,od_away_overall_7_month,od_home_offensive_7_month,od_away_offensive_7_month,od_home_defensive_7_month,od_away_defensive_7_month
0,0,2007-10-30,San Antonio Spurs,Portland Trail Blazers,106 - 97,08:00,106,97,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,,0.5,0.5,,,,,,,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,0.1666666666666666,0.1666666666666665,,,,,,
1,1,2007-10-30,Golden State Warriors,Utah Jazz,96 - 117,10:30,96,117,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,0.1666666666666668,,,,,,
2,2,2007-10-30,Los Angeles Lakers,Houston Rockets,93 - 95,10:30,93,95,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,,0.5,0.5,,,,,,,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,0.16666666666666655,0.16666666666666674,,,,,,
3,3,2007-10-31,Indiana Pacers,Washington Wizards,119 - 110,07:00,119,110,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,,0.5,0.5,,,,,,,0.04761904761904745,0.047619047619047394,0.04761904761904745,0.047619047619047394,0.04761904761904756,0.04761904761904765,,,,,,
4,4,2007-10-31,Orlando Magic,Milwaukee Bucks,102 - 83,07:00,102,83,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,,0.5,0.5,,,,,,,0.047619047619047505,0.04761904761904759,0.047619047619047505,0.04761904761904759,0.04761904761904745,0.047619047619047325,,,,,,
5,5,2007-10-31,Toronto Raptors,Philadelphia 76ers,106 - 97,07:00,106,97,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,,0.5,0.5,,,,,,,0.04761904761904753,0.04761904761904749,0.04761904761904753,0.04761904761904749,0.04761904761904776,0.047619047619047485,,,,,,
6,6,2007-10-31,New Jersey Nets,Chicago Bulls,112 - 103,07:30,112,103,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.04761904761904802,0.04761904761904764,0.04761904761904802,0.04761904761904737,0.04761904761904776,,,,,,
7,7,2007-10-31,Cleveland Cavaliers,Dallas Mavericks,74 - 92,08:00,74,92,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,,0.5,0.5,,,,,,,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904792,0.04761904761904771,0.04761904761904779,,,,,,
8,8,2007-10-31,Memphis Grizzlies,San Antonio Spurs,101 - 104,08:00,101,104,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,,0.5,0.6250000000000001,,,,,,,0.047619047619047686,0.07619047619047617,0.047619047619047686,0.07619047619047617,0.047619047619047394,0.047619047619047714,,,,,,
9,9,2007-10-31,New Orleans Hornets,Sacramento Kings,104 - 90,08:00,104,90,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,,0.5,0.5,,,,,,,0.04761904761904764,0.047619047619047596,0.04761904761904764,0.047619047619047596,0.04761904761904743,0.0476190476190476,,,,,,
