,index,Date,Home Team,Away Team,Result,Time,Home Score,Away Score,colley_home_1_month,colley_away_1_month,massey_home_overall_1_month,massey_away_overall_1_month,massey_home_offensive_1_month,massey_away_offensive_1_month,massey_home_defensive_1_month,massey_away_defensive_1_month,markov1_home_1_month,markov1_away_1_month,markov2_home_1_month,markov2_away_1_month,markov3_home_1_month,markov3_away_1_month,od_home_overall_1_month,od_away_overall_1_month,od_home_offensive_1_month,od_away_offensive_1_month,od_home_defensive_1_month,od_away_defensive_1_month,colley_home_2_month,colley_away_2_month,massey_home_overall_2_month,massey_away_overall_2_month,massey_home_offensive_2_month,massey_away_offensive_2_month,massey_home_defensive_2_month,massey_away_defensive_2_month,markov1_home_2_month,markov1_away_2_month,markov2_home_2_month,markov2_away_2_month,markov3_home_2_month,markov3_away_2_month,od_home_overall_2_month,od_away_overall_2_month,od_home_offensive_2_month,od_away_offensive_2_month,od_home_defensive_2_month,od_away_defensive_2_month,colley_home_3_month,colley_away_3_month,massey_home_overall_3_month,massey_away_overall_3_month,massey_home_offensive_3_month,massey_away_offensive_3_month,massey_home_defensive_3_month,massey_away_defensive_3_month,markov1_home_3_month,markov1_away_3_month,markov2_home_3_month,markov2_away_3_month,markov3_home_3_month,markov3_away_3_month,od_home_overall_3_month,od_away_overall_3_month,od_home_offensive_3_month,od_away_offensive_3_month,od_home_defensive_3_month,od_away_defensive_3_month,colley_home_4_month,colley_away_4_month,massey_home_overall_4_month,massey_away_overall_4_month,massey_home_offensive_4_month,massey_away_offensive_4_month,massey_home_defensive_4_month,massey_away_defensive_4_month,markov1_home_4_month,markov1_away_4_month,markov2_home_4_month,markov2_away_4_month,markov3_home_4_month,markov3_away_4_month,od_home_overall_4_month,od_away_overall_4_month,od_home_offensive_4_month,od_away_offensive_4_month,od_home_defensive_4_month,od_away_defensive_4_month,colley_home_5_month,colley_away_5_month,massey_home_overall_5_month,massey_away_overall_5_month,massey_home_offensive_5_month,massey_away_offensive_5_month,massey_home_defensive_5_month,massey_away_defensive_5_month,markov1_home_5_month,markov1_away_5_month,markov2_home_5_month,markov2_away_5_month,markov3_home_5_month,markov3_away_5_month,od_home_overall_5_month,od_away_overall_5_month,od_home_offensive_5_month,od_away_offensive_5_month,od_home_defensive_5_month,od_away_defensive_5_month,colley_home_6_month,colley_away_6_month,massey_home_overall_6_month,massey_away_overall_6_month,massey_home_offensive_6_month,massey_away_offensive_6_month,massey_home_defensive_6_month,massey_away_defensive_6_month,markov1_home_6_month,markov1_away_6_month,markov2_home_6_month,markov2_away_6_month,markov3_home_6_month,markov3_away_6_month,od_home_overall_6_month,od_away_overall_6_month,od_home_offensive_6_month,od_away_offensive_6_month,od_home_defensive_6_month,od_away_defensive_6_month,colley_home_7_month,colley_away_7_month,massey_home_overall_7_month,massey_away_overall_7_month,massey_home_offensive_7_month,massey_away_offensive_7_month,massey_home_defensive_7_month,massey_away_defensive_7_month,markov1_home_7_month,markov1_away_7_month,markov2_home_7_month,markov2_away_7_month,markov3_home_7_month,markov3_away_7_month,od_home_overall_7_month,od_away_overall_7_month,od_home_offensive_7_month,od_away_offensive_7_month,od_home_defensive_7_month,od_away_defensive_7_month
0,0,2008-10-28,Boston Celtics,Cleveland Cavaliers,90 - 85,08:00,90,85,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,,0.5,0.5,,,,,,,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,0.1666666666666668,0.16666666666666655,,,,,,
1,1,2008-10-28,Chicago Bulls,Milwaukee Bucks,108 - 95,08:30,108,95,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,,0.5,0.5,,,,,,,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,0.16666666666666674,0.1666666666666666,,,,,,
2,2,2008-10-28,Los Angeles Lakers,Portland Trail Blazers,96 - 76,10:30,96,76,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,,0.5,0.5,,,,,,,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,0.1666666666666665,0.1666666666666668,,,,,,
3,3,2008-10-29,Philadelphia 76ers,Toronto Raptors,84 - 95,06:00,84,95,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.03571428571428579,0.03571428571428572,0.03571428571428579,0.03571428571428572,0.03571428571428553,0.035714285714285525,,,,,,
4,4,2008-10-29,Washington Wizards,New Jersey Nets,85 - 95,07:00,85,95,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,,0.5,0.5,,,,,,,0.035714285714286045,0.03571428571428571,0.035714285714286045,0.03571428571428571,0.035714285714285594,0.03571428571428545,,,,,,
5,5,2008-10-29,Orlando Magic,Atlanta Hawks,85 - 99,07:00,85,99,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,,0.5,0.5,,,,,,,0.03571428571428581,0.03571428571428545,0.03571428571428581,0.03571428571428545,0.035714285714285525,0.0357142857142858,,,,,,
6,6,2008-10-29,New York Knicks,Miami Heat,120 - 115,07:30,120,115,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,,0.5,0.5,,,,,,,0.0357142857142858,0.03571428571428567,0.0357142857142858,0.03571428571428567,0.03571428571428562,0.03571428571428552,,,,,,
7,7,2008-10-29,San Antonio Spurs,Phoenix Suns,98 - 103,08:00,98,103,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,,0.5,0.5,,,,,,,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.035714285714285796,0.03571428571428554,0.035714285714285525,,,,,,
8,8,2008-10-29,Oklahoma City Thunder,Milwaukee Bucks,87 - 98,08:00,87,98,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,,0.5,0.375,,,,,,,0.03571428571428581,0.014285714285714207,0.03571428571428581,0.014285714285714207,0.03571428571428563,0.03571428571428637,,,,,,
9,9,2008-10-29,Minnesota Timberwolves,Sacramento Kings,98 - 96,08:00,98,96,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,,0.5,0.5,,,,,,,0.03571428571428571,0.03571428571428579,0.03571428571428571,0.03571428571428579,0.03571428571428547,0.035714285714285546,,,,,,
